intent,case,space,time,control,role,status
1,Q0,coarse,coarse,FULL,,COMPLETED_Q0_GUARD_ONLY
2,QN,coarse,fine,FULL,,FAILED_EXECUTION_STOP
3,QN,medium,fine,FULL,,NOT_STARTED_AFTER_STOP
4,QN,fine,coarse,FULL,,NOT_STARTED_AFTER_STOP
5,QN,fine,medium,FULL,,NOT_STARTED_AFTER_STOP
6,QN,fine,fine,FULL,,NOT_STARTED_AFTER_STOP
7,QL,medium,medium,FULL,,NOT_STARTED_AFTER_STOP
8,QH,medium,medium,FULL,,NOT_STARTED_AFTER_STOP
9,QN,medium,fine,DIRECT_T_TO_TRANSPORT_OFF,,NOT_STARTED_AFTER_STOP
10,QN,fine,fine,DIRECT_T_TO_TRANSPORT_OFF,,NOT_STARTED_AFTER_STOP
11,QN,medium,fine,FULL_ISOTHERMAL_COUPLING_OFF,,NOT_STARTED_AFTER_STOP
12,QN,fine,fine,FULL_ISOTHERMAL_COUPLING_OFF,,NOT_STARTED_AFTER_STOP
13,QN,fine,fine,FULL,INDEPENDENT_PROCESS_EXACT_REPLAY_FOR_ORACLE_FLOOR,NOT_STARTED_AFTER_STOP
