iteration,measured_scaled_residual,accepted_step,accepted_candidate_scaled_residual,analytic_half_step_reference,frozen_tolerance,frozen_max_iterations,within_frozen_budget,diagnostic_identity
0,0.0015106745331996954,0.5,0.000755336664052738,0.0015106745331996954,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
1,0.000755336664052738,0.5,0.00037766855653687225,0.0007553372665998477,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
2,0.00037766855653687225,0.5,0.0001888343812895898,0.00037766863329992384,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
3,0.0001888343812895898,0.5,9.441722226184966e-05,0.00018883431664996192,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
4,9.441722226184966e-05,0.5,4.720861976785125e-05,9.441715832498096e-05,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
5,4.720861976785125e-05,0.5,2.36043121347491e-05,4.720857916249048e-05,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
6,2.36043121347491e-05,0.5,1.1802156641542786e-05,2.360428958124524e-05,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
7,1.1802156641542786e-05,0.5,5.901078465742117e-06,1.180214479062262e-05,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
8,5.901078465742117e-06,0.5,2.950539269303031e-06,5.90107239531131e-06,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
9,2.950539269303031e-06,0.5,1.475269643776766e-06,2.950536197655655e-06,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
10,1.475269643776766e-06,0.5,7.376348242151809e-07,1.4752680988278275e-06,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
11,7.376348242151809e-07,0.5,3.6881741266638853e-07,7.376340494139138e-07,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
12,3.6881741266638853e-07,0.5,1.844087064879663e-07,3.688170247069569e-07,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
13,1.844087064879663e-07,0.5,9.220435322246802e-08,1.8440851235347844e-07,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
14,9.220435322246802e-08,0.5,4.6102176604826094e-08,9.220425617673922e-08,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
15,4.6102176604826094e-08,0.5,2.3051088321855024e-08,4.610212808836961e-08,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
16,2.3051088321855024e-08,0.5,1.1525544152872978e-08,2.3051064044184805e-08,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
17,1.1525544152872978e-08,0.5,5.762772063779366e-09,1.1525532022092402e-08,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
18,5.762772063779366e-09,0.5,2.8813860416701875e-09,5.762766011046201e-09,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
19,2.8813860416701875e-09,0.5,1.4406929431366236e-09,2.8813830055231006e-09,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
20,1.4406929431366236e-09,,,1.4406915027615503e-09,1e-10,20,True,NON_SCIENTIFIC_DIAGNOSTIC
21,,,,7.203457513807752e-10,1e-10,20,False,NON_SCIENTIFIC_DIAGNOSTIC
22,,,,3.601728756903876e-10,1e-10,20,False,NON_SCIENTIFIC_DIAGNOSTIC
23,,,,1.800864378451938e-10,1e-10,20,False,NON_SCIENTIFIC_DIAGNOSTIC
24,,,,9.00432189225969e-11,1e-10,20,False,NON_SCIENTIFIC_DIAGNOSTIC
