candidate,control,A_w,gain,noninferior,full_A,full_B,outside_cost,window_reductions
B0,D_E,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": false, ""ET"": false, ""EI"": false, ""EV"": false, ""bottom_current_NRMSE"": false, ""power_trace_NRMSE"": false}","{""S"": 0.014496788008565464, ""Ephi"": 0.01228920721100446, ""ET"": -0.002894073815092213, ""EV"": 0.030628585720342105, ""EI"": 0.04058681293087063, ""bottom_current_NRMSE"": 0.040586812931160954, ""power_trace_NRMSE"": 0.039811476883575336}"
B0,G,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": false, ""ET"": false, ""EI"": false, ""EV"": true, ""bottom_current_NRMSE"": false, ""power_trace_NRMSE"": false}","{""S"": -0.017352668110879987, ""Ephi"": -0.013929267785526056, ""ET"": 0.0, ""EV"": 0.015899835551495878, ""EI"": 0.019632431391092164, ""bottom_current_NRMSE"": 0.019632431391772842, ""power_trace_NRMSE"": 0.01754777348389902}"
B0,N,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": false, ""ET"": false, ""EI"": false, ""EV"": false, ""bottom_current_NRMSE"": false, ""power_trace_NRMSE"": false}","{""S"": -0.51996433171505, ""Ephi"": 0.07361303723551804, ""ET"": 0.0, ""EV"": 0.0, ""EI"": 0.0, ""bottom_current_NRMSE"": 0.0, ""power_trace_NRMSE"": 0.0}"
B0,S,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": false, ""ET"": false, ""EI"": false, ""EV"": false, ""bottom_current_NRMSE"": false, ""power_trace_NRMSE"": false}","{""S"": -0.20640121628352004, ""Ephi"": -0.05290423552662982, ""ET"": 0.0, ""EV"": 0.0, ""EI"": 0.0, ""bottom_current_NRMSE"": 0.0, ""power_trace_NRMSE"": 0.0}"
D_E,B0,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": true, ""ET"": false, ""EI"": true, ""EV"": true, ""bottom_current_NRMSE"": true, ""power_trace_NRMSE"": true}","{""S"": -0.01471003628620493, ""Ephi"": -0.012442110889872238, ""ET"": 0.0028857223216832706, ""EV"": -0.03159633683143248, ""EI"": -0.04230378889710451, ""bottom_current_NRMSE"": -0.042303788897419814, ""power_trace_NRMSE"": -0.04146214615684185}"
D_E,G,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": true, ""ET"": false, ""EI"": true, ""EV"": true, ""bottom_current_NRMSE"": true, ""power_trace_NRMSE"": true}","{""S"": -0.03231796277465837, ""Ephi"": -0.026544688169800823, ""ET"": 0.0028857223216832706, ""EV"": -0.015194124720287139, ""EI"": -0.02184083127290659, ""bottom_current_NRMSE"": -0.021840831272506467, ""power_trace_NRMSE"": -0.023186804324026422}"
D_E,N,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": true, ""ET"": false, ""EI"": true, ""EV"": true, ""bottom_current_NRMSE"": true, ""power_trace_NRMSE"": true}","{""S"": -0.5423230621883155, ""Ephi"": 0.062086827917870346, ""ET"": 0.0028857223216832706, ""EV"": -0.03159633683143248, ""EI"": -0.04230378889710451, ""bottom_current_NRMSE"": -0.042303788897419814, ""power_trace_NRMSE"": -0.04146214615684185}"
D_E,S,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": true, ""ET"": false, ""EI"": true, ""EV"": true, ""bottom_current_NRMSE"": true, ""power_trace_NRMSE"": true}","{""S"": -0.2241474219507722, ""Ephi"": -0.06600458678146826, ""ET"": 0.0028857223216832706, ""EV"": -0.03159633683143248, ""EI"": -0.04230378889710451, ""bottom_current_NRMSE"": -0.042303788897419814, ""power_trace_NRMSE"": -0.04146214615684185}"
G,B0,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": false, ""ET"": false, ""EI"": false, ""EV"": false, ""bottom_current_NRMSE"": false, ""power_trace_NRMSE"": false}","{""S"": 0.017056689046780704, ""Ephi"": 0.013737908775380725, ""ET"": 0.0, ""EV"": -0.01615672481917163, ""EI"": -0.020025582260895902, ""bottom_current_NRMSE"": -0.020025582261604002, ""power_trace_NRMSE"": -0.017861197735919987}"
G,D_E,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": false, ""ET"": false, ""EI"": false, ""EV"": false, ""bottom_current_NRMSE"": false, ""power_trace_NRMSE"": false}","{""S"": 0.031306209850107014, ""Ephi"": 0.025858287978798633, ""ET"": -0.002894073815092213, ""EV"": 0.014966718532254508, ""EI"": 0.021374005231029503, ""bottom_current_NRMSE"": 0.021374005230646143, ""power_trace_NRMSE"": 0.02266135980843187}"
G,N,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": false, ""ET"": false, ""EI"": false, ""EV"": false, ""bottom_current_NRMSE"": false, ""power_trace_NRMSE"": false}","{""S"": -0.4940387727467883, ""Ephi"": 0.08633965682067857, ""ET"": 0.0, ""EV"": -0.01615672481917163, ""EI"": -0.020025582260895902, ""bottom_current_NRMSE"": -0.020025582261604002, ""power_trace_NRMSE"": -0.017861197735919987}"
G,S,False,"{""S"": false, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": false, ""ET"": false, ""EI"": false, ""EV"": false, ""bottom_current_NRMSE"": false, ""power_trace_NRMSE"": false}","{""S"": -0.185824005871714, ""Ephi"": -0.038439533189752906, ""ET"": 0.0, ""EV"": -0.01615672481917163, ""EI"": -0.020025582260895902, ""bottom_current_NRMSE"": -0.020025582261604002, ""power_trace_NRMSE"": -0.017861197735919987}"
N,B0,False,"{""S"": true, ""Ephi"": false}","{""ET"": true, ""EI"": true, ""EV"": true}",False,False,"{""S"": false, ""Ephi"": false, ""ET"": false, ""EI"": false, ""EV"": false, ""bottom_current_NRMSE"": false, ""power_trace_NRMSE"": false}","{""S"": 0.34208982465289084, ""Ephi"": -0.07946251425629458, ""ET"": 0.0, ""EV"": 0.0, ""EI"": 0.0, ""bottom_current_NRMSE"": 0.0, ""power_trace_NRMSE"": 0.0}"
