arm,strict_device_pass,cycle,event_time,pre_roi_fraction,peak_roi_fraction,peak_full_domain_fraction,peak_outside_roi_fraction,recovery_fraction,peak_time_index,recall,precision,mass_ratio,reference_event_time,timing_absolute,support_window,support_measure,teacher_active_target_mass,predicted_active_target_mass,true_positive_target_mass,reference_event_present,false_positive_event,false_negative_target_mass,false_positive_target_mass
B0,False,1,0.23761000000000002,0.0,0.06740702479338843,0.020390625,0.0,1.0,152,0.9210229833258226,0.9417117843566407,0.9780306444344303,0.24059999999999998,0.002989999999999965,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.000678203125,0.0006386718749999998,True,False,5.476562499999991e-05,3.953125000000018e-05
B0,False,2,1.2248,0.0,0.09607438016528926,0.0290625,0.0,1.0,629,0.7716703710035906,0.8548295454545455,0.9027184134040009,1.2268000000000001,0.0020000000000000018,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0008250000000000002,0.0007052343750000002,True,False,0.00020867187499999976,0.00011976562499999997
D_E,False,1,0.2356777777777778,0.0,0.06740702479338843,0.020390625,0.0,1.0,151,0.9214736367733215,0.9332496576905526,0.9873817034700314,0.24059999999999998,0.004922222222222189,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006846874999999996,0.0006389843749999999,True,False,5.4453124999999814e-05,4.570312499999974e-05
D_E,False,2,1.2260166666666668,0.0,0.09581611570247933,0.028984375,0.0,1.0,625,0.7644041716532745,0.8610495907558982,0.8877585912121733,1.2268000000000001,0.0007833333333333581,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0008113281250000002,0.0006985937500000003,True,False,0.00021531249999999968,0.00011273437499999988
G,False,1,0.2373,0.0,0.06740702479338843,0.020390625,0.0,1.0,152,0.9193330328977017,0.9457579972183591,0.9720594862550698,0.24059999999999998,0.0032999999999999696,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006740624999999996,0.0006374999999999998,True,False,5.593749999999989e-05,3.656249999999981e-05
G,False,2,1.2259,0.0,0.09555785123966942,0.02890625,0.0,1.0,628,0.7718413404000687,0.8617924978524389,0.8956231834501626,1.2268000000000001,0.0009000000000001229,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0008185156250000001,0.0007053906250000003,True,False,0.00020851562499999972,0.00011312499999999984
N,False,1,0.23761000000000002,0.0,0.06740702479338843,0.020390625,0.0,1.0,152,0.9210229833258226,0.9417117843566407,0.9780306444344303,0.24059999999999998,0.002989999999999965,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.000678203125,0.0006386718749999998,True,False,5.476562499999991e-05,3.953125000000018e-05
N,False,2,1.2248,0.0,0.07076446280991736,0.02140625,0.0,1.0,547,0.7716703710035906,0.8548295454545455,0.9027184134040009,1.2268000000000001,0.0020000000000000018,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0008250000000000002,0.0007052343750000002,True,False,0.00020867187499999976,0.00011976562499999997
S,False,1,0.23761000000000002,0.0,0.06740702479338843,0.020390625,0.0,1.0,152,0.9210229833258226,0.9417117843566407,0.9780306444344303,0.24059999999999998,0.002989999999999965,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.000678203125,0.0006386718749999998,True,False,5.476562499999991e-05,3.953125000000018e-05
S,False,2,1.2248,0.0,0.08677685950413223,0.02625,0.0,1.0,594,0.7716703710035906,0.8548295454545455,0.9027184134040009,1.2268000000000001,0.0020000000000000018,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0008250000000000002,0.0007052343750000002,True,False,0.00020867187499999976,0.00011976562499999997
