pool,state,n_times,phase_raw,thermal_raw,phase_BC,H,phase_weighted,thermal_weighted,boundary_weighted,original_variable_objective,phase_raw_ratio_to_B0,thermal_raw_ratio_to_B0,phase_BC_ratio_to_B0,H_ratio_to_B0,boundary_H_share
fixed-training,B0,32.0,0.06937691005530007,0.010929535669043002,0.07081434996266293,0.3552244739404905,0.0009250254674040009,0.00022769865977172922,0.3540717498133147,0.01866134269162118,1.0,1.0,1.0,1.0,0.9967549417009793
fixed-training,N-Adam,32.0,0.0916433889453251,0.010995862608196419,0.06998103292348445,0.35135615694103056,0.0012219118526043348,0.00022908047100409206,0.34990516461742227,0.018458124742232823,1.3209494177857808,1.006068596247989,0.9882323704218446,0.989110218233139,0.9958703091010532
fixed-training,N-final,32.0,0.35498885858571577,0.012260517074305562,0.0013566140239824396,0.011771682340103106,0.004733184781142877,0.00025542743904803254,0.006783070119912199,0.0006184129031671693,5.116815642304558,1.1217784035448508,0.019157332160751574,0.03313871426008551,0.5762192627984886
fixed-training,S-final,32.0,0.08808800226182548,0.010957241135200548,0.00349769759956883,0.01889127055165183,0.0011745066968243396,0.00022827585698334475,0.01748848799784415,0.000992432952982754,1.269702011686754,1.0025349170354985,0.04939249744455751,0.05318121902494989,0.925744404010718
independent-D,B0,64.0,0.10240511023880947,0.01077408338069919,0.07124480579712632,0.35781389052591356,0.0013654014698507928,0.00022446007043123311,0.3562240289856316,0.018797374958024207,1.0,1.0,1.0,1.0,0.9955567361067365
independent-D,N-Adam,64.0,0.126381812849335,0.010875815102590485,0.06858579171663261,0.3448406289024583,0.0016850908379911333,0.00022657948130396844,0.342928958583163,0.018115838355836394,1.2341358019596063,1.0094422623527806,0.9626777833030326,0.9637429905127853,0.9944563657554516
independent-D,N-final,64.0,1.0534799034977191,0.011563175655966294,0.010716216984803491,0.06786838313015302,0.014046398713302922,0.0002408994928326311,0.053581084924017454,0.0035653938521426377,10.28737629441535,1.0732398522811408,0.15041401074653127,0.18967509346940198,0.7894852131848135
independent-D,S-final,64.0,0.15062731817141392,0.010942217484504527,0.49812243248716026,2.4928484895423475,0.002008364242285519,0.000227962864260511,2.4906121624358013,0.13095916344275677,1.4708964994046676,1.0156054206993177,6.991701737605862,6.966885734587799,0.9991029029177153
common-128,B0,128.0,0.06833753781609941,0.010860909135627704,0.11752225289169752,0.5887487005696947,0.0009111671708813255,0.00022626894032557715,0.5876112644584875,0.03092929138215383,1.0,1.0,1.0,1.0,0.9980680448039944
common-128,N-Adam,128.0,0.08269052473719045,0.010918570494853357,0.10519751380389826,0.5273175795679638,0.001102540329829206,0.00022747021864277827,0.5259875690194913,0.027702072299451215,1.2100307880526193,1.0053090729795817,0.8951284647414214,0.8956581629101041,0.9974777807529911
common-128,N-final,128.0,0.7050218971314437,0.010889412852610653,0.009961704513814876,0.059435677298589666,0.009400291961752582,0.00022686276776272195,0.04980852256907438,0.0031223905545522835,10.316758836537273,1.0026244319538082,0.08476441072819692,0.10095254094162337,0.8380239753784429
common-128,S-final,128.0,0.1207373975529634,0.011126041838800936,0.9553123428703658,4.778403338857512,0.0016098319673728452,0.00023179253830835284,4.776561714351829,0.2510283743572957,1.7667800364402253,1.0244116491411848,8.12877833231067,8.116201928316366,0.9996145941698336
common-256,B0,256.0,0.06833753781610367,0.010860909135644685,0.1175222528916975,0.5887487005696952,0.0009111671708813823,0.00022626894032593093,0.5876112644584875,0.030929291382153855,1.0,1.0,1.0,1.0,0.9980680448039936
common-256,N-Adam,256.0,0.0826905247371948,0.01091857049487035,0.10519751380389826,0.5273175795679642,0.001102540329829264,0.0002274702186431323,0.5259875690194913,0.02770207229945124,1.2100307880526076,1.0053090729795746,0.8951284647414214,0.8956581629101042,0.9974777807529902
common-256,N-final,256.0,0.7049509969631884,0.010889190505211227,0.009958865146755362,0.05942053049547782,0.009399346626175845,0.0002268581355252339,0.04979432573377681,0.0031215948332428333,10.315721336935077,1.002603959688211,0.08474025047777924,0.10092681383072319,0.8379986734983188
common-256,S-final,256.0,0.12073747284958156,0.011126041455636207,0.9553128752590545,4.778406001796921,0.0016098329713277542,0.00023179253032575432,4.776564376295273,0.25102851425200606,1.7667811382740495,1.0244116138603332,8.128782862420294,8.11620645136568,0.9996145941761843
spatial-256,B0,256.0,0.024717757529528026,0.010055301756956745,0.060259545707262815,0.30183678408997766,0.000329570100393707,0.00020948545326993217,0.3012977285363141,0.015856676772174116,1.0,1.0,1.0,1.0,0.9982140826364527
spatial-256,N-Adam,256.0,0.03350902556030214,0.010086840753629903,0.055298616990491836,0.27715001447563065,0.00044678700747069526,0.000210142515700623,0.27649308495245917,0.014559783394834333,1.3556660842016919,1.0031365539727675,0.917673977482823,0.9182115271709631,0.9976296969552233
spatial-256,N-final,256.0,0.3320268927548136,0.010211884470171462,0.010664950502143855,0.05796452534057875,0.004427025236730848,0.0002127475931285721,0.053324752510719275,0.003045105139683908,13.432727154078266,1.0155721545707352,0.17698358620148802,0.1920393020199271,0.9199549586130856
spatial-256,S-final,256.0,0.045242244274502394,0.010105197211945995,0.17783209843298722,0.8899742470305125,0.000603229923660032,0.00021052494191554157,0.8891604921649361,0.046753857430826176,1.830353915417111,1.004962104190929,2.9511025406146385,2.9485281249392417,0.9990856422325797
