Case,Seed,Method,Cycle,Onset,Onset error,Recall,Precision,Mass ratio
O,29,E,1,0.23453333333333334,0.006066666666666637,0.8837314105452905,0.9221725840583117,0.9583145561063541
O,29,E,2,1.4919666666666667,0.006433333333333291,0.9833167330677289,0.8925302294044526,1.1017181274900396
O,29,F,1,0.23120000000000002,0.009399999999999964,0.8387787291572778,0.9089244292516176,0.9228255971158177
O,29,F,2,1.5026374999999998,0.004237499999999894,0.9056274900398404,0.9095910966612478,0.9956424302788844
O,--,B_E,1,0.2558714285714286,0.015271428571428602,0.7929247408742678,0.9879281302638967,0.8026137899954936
O,--,B_E,2,1.5133714285714286,0.014971428571428635,0.7721613545816732,0.9934326445619093,0.7772659362549801
S,29,E,1,0.23726666666666668,0.0033333333333332993,0.8666065795403333,0.9640305802732171,0.8989409643983776
S,29,E,2,1.224025,0.002775000000000194,0.9661480594973499,0.8903418938080983,1.0851427594460592
S,29,F,1,0.22393333333333335,0.016666666666666635,0.8333708877872918,0.8591173054587693,0.9700315457413248
S,29,F,2,1.2276375,0.0008374999999998245,0.9593947683364678,0.8831444759206795,1.0863395452214057
S,--,B_E,1,0.2558714285714286,0.015271428571428602,0.7929247408742678,0.9879281302638967,0.8026137899954936
S,--,B_E,2,1.2481,0.021299999999999875,0.7743203966490001,0.9956034293251265,0.7777397845785607
O,43,E,1,0.22922,0.011379999999999973,0.8027264533573683,0.8876292512769403,0.9043488057683643
O,43,E,2,1.4930999999999999,0.005300000000000082,0.9840637450199203,0.8831284916201113,1.1142928286852594
O,43,F,1,0.201525,0.03907499999999997,0.8405813429472734,0.7621820410665029,1.1028616493916181
O,43,F,2,1.5048000000000001,0.006400000000000183,0.8901892430278885,0.9262857883145487,0.9610308764940239
S,43,E,1,0.23711000000000002,0.0034899999999999654,0.8755069851284363,0.9471054235222427,0.9244028841820638
S,43,E,2,1.22236,0.0044400000000002215,0.9649512737220038,0.8953045685279188,1.0777910753975037
S,43,F,1,0.21036666666666667,0.030233333333333307,0.8737043713384407,0.806133056133056,1.0838215412347907
S,43,F,2,1.24922,0.022419999999999884,0.8137288425371861,0.9528528528528528,0.8539921354077624
