protocol,seed,candidate,baseline,metric,old_margin,new_margin,new_margin_fixed_old_denominator,tested_margin_change,triangle_bound,comparison_with_same_norm,relative_gate_only_absolute_tolerances_applied_separately
original,29,original/29/E,original/29/F,S,7.2421875e-05,7.223437500000003e-05,,-1.8749999999997068e-07,3.206249999999991e-05,True,True
original,29,original/29/E,original/29/F,Ephi,0.0015459793817544781,0.0015107374770624224,,-3.524190469205574e-05,0.0007416557806798564,True,True
original,29,original/29/E,original/29/F,ET,-0.000763026117141706,-0.0007694823657297747,,-6.456248588068703e-06,0.0008510733892974306,True,True
original,29,original/29/E,original/29/F,EV,0.0010475904685357663,0.0010175615697702936,,-3.0028898765472722e-05,0.0001371151109734132,True,True
original,29,original/29/E,original/29/F,EI,0.006607875147867771,0.006380862021220818,0.006378408014642184,-0.00022946713322558737,0.000972363210491555,True,True
original,29,original/29/E,original/29/F,power_trace_NRMSE,0.00692201420255812,0.006680231742189948,0.006677636968958237,-0.000244377233599883,0.00098801598026208,True,True
original,29,original/29/E,original/29/F,bottom_current_NRMSE,0.006607875147864801,0.006380862021217888,0.006378408014639257,-0.000229467133225544,0.000972363210491555,True,True
original,29,original/29/E,original/B_E,S,0.0002375156250000001,0.00023395312500000022,,-3.5624999999998765e-06,3.206249999999991e-05,True,True
original,29,original/29/E,original/B_E,Ephi,0.0013507411452185238,0.001225659360991213,,-0.00012508178422731067,0.0007416557806798564,True,True
original,29,original/29/E,original/B_E,ET,0.0013497100957248435,0.0014227502127770603,,7.304011705221679e-05,0.0008510733892974306,True,True
original,29,original/29/E,original/B_E,EV,0.0010067985041352753,0.0009192241644658118,,-8.757433966946355e-05,0.0001371151109734132,True,True
original,29,original/29/E,original/B_E,EI,0.006971334865573978,0.006325727204975304,0.006323294402616621,-0.0006480404629573572,0.000972363210491555,True,True
original,29,original/29/E,original/B_E,power_trace_NRMSE,0.007181172952795162,0.006505399457655391,0.006502872593764175,-0.000678300359030987,0.00098801598026208,True,True
original,29,original/29/E,original/B_E,bottom_current_NRMSE,0.006971334865567764,0.006325727204969128,0.006323294402610449,-0.0006480404629573156,0.000972363210491555,True,True
original,43,original/43/E,original/43/F,S,-4.3906249999996205e-06,-4.203124999999867e-06,,1.8749999999975384e-07,3.206249999999991e-05,True,True
original,43,original/43/E,original/43/F,Ephi,0.00041471569848300013,0.0003985435628279556,,-1.617213565504455e-05,0.0007416557806798564,True,True
original,43,original/43/E,original/43/F,ET,-0.0009288239571577598,-0.0009204235028124862,,8.40045434527363e-06,0.0008510733892974306,True,True
original,43,original/43/E,original/43/F,EV,0.0018254819053078178,0.0018140479838814312,,-1.1433921426386509e-05,0.0001371151109734132,True,True
original,43,original/43/E,original/43/F,EI,0.011909081309323999,0.011827671086578454,0.011823122299508642,-8.59590098153569e-05,0.000972363210491555,True,True
original,43,original/43/E,original/43/F,power_trace_NRMSE,0.01265426529589541,0.012561853732112372,0.012556974386146148,-9.729090974926191e-05,0.00098801598026208,True,True
original,43,original/43/E,original/43/F,bottom_current_NRMSE,0.011909081309323742,0.011827671086578246,0.011823122299508434,-8.595900981530832e-05,0.000972363210491555,True,True
original,43,original/43/E,original/B_E,S,0.00013595312500000022,0.0001319218750000001,,-4.0312500000001285e-06,3.206249999999991e-05,True,True
original,43,original/43/E,original/B_E,Ephi,-0.00022635718151095552,-0.00037427345134289497,,-0.00014791626983193945,0.0007416557806798564,True,True
original,43,original/43/E,original/B_E,ET,0.0016195840624786528,0.001699560057225654,,7.997599474700127e-05,0.0008510733892974306,True,True
original,43,original/43/E,original/B_E,EV,-5.468922040355491e-05,-0.00014446391568171194,,-8.977469527815703e-05,0.0001371151109734132,True,True
original,43,original/43/E,original/B_E,EI,-0.00016378259900741432,-0.000816932271331389,-0.0008166180885201199,-0.0006528354895127056,0.000972363210491555,True,True
original,43,original/43/E,original/B_E,power_trace_NRMSE,-0.00012144132880018144,-0.0008051507034380293,-0.0008048379622677508,-0.0006833966334675694,0.00098801598026208,True,True
original,43,original/43/E,original/B_E,bottom_current_NRMSE,-0.00016378259901239298,-0.0008169322713363139,-0.0008166180885250413,-0.0006528354895126483,0.000972363210491555,True,True
shorter,29,shorter/29/E,shorter/29/F,S,4.895312500000017e-05,5.046875000000038e-05,,1.5156250000002147e-06,3.1765624999999974e-05,True,True
shorter,29,shorter/29/E,shorter/29/F,Ephi,0.002434204867840857,0.002461637298823191,,2.7432430982334e-05,0.0006114806437327446,True,True
shorter,29,shorter/29/E,shorter/29/F,ET,-0.0004994373947765553,-0.0004875489855475888,,1.1888409228966515e-05,0.0007589362393064261,True,True
shorter,29,shorter/29/E,shorter/29/F,EV,0.0017830608041963197,0.0017788635192297548,,-4.19728496656494e-06,0.0001043756411740918,True,True
shorter,29,shorter/29/E,shorter/29/F,EI,0.010486251062779194,0.010467547161569692,0.010464416678531487,-2.183438424770666e-05,0.0007377383827681128,True,True
shorter,29,shorter/29/E,shorter/29/F,power_trace_NRMSE,0.01102452441914994,0.010993227093759715,0.01098986544598977,-3.465897316016868e-05,0.000753000550978754,True,True
shorter,29,shorter/29/E,shorter/29/F,bottom_current_NRMSE,0.010486251062777674,0.010467547161568239,0.010464416678530035,-2.1834384247639005e-05,0.0007377383827681128,True,True
shorter,29,shorter/29/E,shorter/B_E,S,0.00033175000000000023,0.00033481250000000004,,3.06249999999981e-06,3.1765624999999974e-05,True,True
shorter,29,shorter/29/E,shorter/B_E,Ephi,0.003968762896483961,0.003968261646059925,,-5.012504240356486e-07,0.0006114806437327446,True,True
shorter,29,shorter/29/E,shorter/B_E,ET,0.000498447546637304,0.0005672937652388826,,6.884621860157869e-05,0.0007589362393064261,True,True
shorter,29,shorter/29/E,shorter/B_E,EV,0.001136995651902855,0.0010733982485867587,,-6.359740331609632e-05,0.0001043756411740918,True,True
shorter,29,shorter/29/E,shorter/B_E,EI,0.008085695472427094,0.007627906299707939,0.007625625055504339,-0.0004600704169227549,0.0007377383827681128,True,True
shorter,29,shorter/29/E,shorter/B_E,power_trace_NRMSE,0.008447127918825454,0.007958750732903684,0.007956317005625553,-0.0004908109131999006,0.000753000550978754,True,True
shorter,29,shorter/29/E,shorter/B_E,bottom_current_NRMSE,0.008085695472424693,0.007627906299705611,0.00762562505550201,-0.0004600704169226838,0.0007377383827681128,True,True
shorter,29,shorter/29/E_R,shorter/29/E_C,S,-0.00012246093750000017,-0.00012242968750000025,,3.124999999992283e-08,3.1765624999999974e-05,True,True
shorter,29,shorter/29/E_R,shorter/29/E_C,Ephi,-0.001925948000601755,-0.0019207728489078688,,5.175151693886243e-06,0.0006114806437327446,True,True
shorter,29,shorter/29/E_R,shorter/29/E_C,ET,-0.0010811671176242758,-0.0010888386244032305,,-7.671506778954632e-06,0.0007589362393064261,True,True
shorter,29,shorter/29/E_R,shorter/29/E_C,EV,-8.058698935793445e-05,-8.185018938680535e-05,,-1.2632000288708995e-06,0.0001043756411740918,True,True
shorter,29,shorter/29/E_R,shorter/29/E_C,EI,-0.0006271108379625849,-0.000635150898834265,-0.0006349609470638253,-7.850109101240413e-06,0.0007377383827681128,True,True
shorter,29,shorter/29/E_R,shorter/29/E_C,power_trace_NRMSE,-0.0006248181606080816,-0.0006350053561423319,-0.0006348111761876052,-9.99301557952359e-06,0.000753000550978754,True,True
shorter,29,shorter/29/E_R,shorter/29/E_C,bottom_current_NRMSE,-0.0006271108379638894,-0.0006351508988356475,-0.0006349609470652044,-7.850109101315006e-06,0.0007377383827681128,True,True
shorter,29,shorter/29/E_I,shorter/29/E_C,S,-6.582031250000012e-05,-6.500781250000018e-05,,8.124999999999452e-07,3.1765624999999974e-05,True,True
shorter,29,shorter/29/E_I,shorter/29/E_C,Ephi,-0.0014784247218733275,-0.0014706112358588881,,7.813486014439375e-06,0.0006114806437327446,True,True
shorter,29,shorter/29/E_I,shorter/29/E_C,ET,-0.0010821038599959087,-0.001090860841295482,,-8.756981299573238e-06,0.0007589362393064261,True,True
shorter,29,shorter/29/E_I,shorter/29/E_C,EV,-5.521047966667767e-05,-5.5460251076322074e-05,,-2.4977140964440453e-07,0.0001043756411740918,True,True
shorter,29,shorter/29/E_I,shorter/29/E_C,EI,-0.000317289760166959,-0.0003192647328666212,-0.0003191692517748729,-1.879491607913869e-06,0.0007377383827681128,True,True
shorter,29,shorter/29/E_I,shorter/29/E_C,power_trace_NRMSE,-0.0002400329482883344,-0.0002476262898673202,-0.0002475505675741292,-7.517619285794808e-06,0.000753000550978754,True,True
shorter,29,shorter/29/E_I,shorter/29/E_C,bottom_current_NRMSE,-0.00031728976016802933,-0.00031926473286784766,-0.0003191692517760941,-1.87949160806479e-06,0.0007377383827681128,True,True
shorter,29,shorter/29/E_I,shorter/29/E_R,S,-4.4234375e-05,-4.3140624999999885e-05,,1.093750000000118e-06,3.1765624999999974e-05,True,True
shorter,29,shorter/29/E_I,shorter/29/E_R,Ephi,-0.0013244665490767527,-0.001319931891707319,,4.534657369433676e-06,0.0006114806437327446,True,True
shorter,29,shorter/29/E_I,shorter/29/E_R,ET,-0.0010459873838299227,-0.0010519057986412735,,-5.918414811350789e-06,0.0007589362393064261,True,True
shorter,29,shorter/29/E_I,shorter/29/E_R,EV,-0.0001185744424586604,-0.00012008878311394432,,-1.5143406552839151e-06,0.0001043756411740918,True,True
shorter,29,shorter/29/E_I,shorter/29/E_R,EI,-0.0006229397291286475,-0.0006356392138897379,-0.000635449116081075,-1.2509386952427523e-05,0.0007377383827681128,True,True
shorter,29,shorter/29/E_I,shorter/29/E_R,power_trace_NRMSE,-0.0005544605078630204,-0.0005733078645538039,-0.0005731325512369819,-1.86720433739615e-05,0.000753000550978754,True,True
shorter,29,shorter/29/E_I,shorter/29/E_R,bottom_current_NRMSE,-0.0006229397291286076,-0.0006356392138897795,-0.0006354491160811149,-1.250938695250732e-05,0.0007377383827681128,True,True
shorter,43,shorter/43/E,shorter/43/F,S,4.445312500000109e-06,7.992187500000187e-06,,3.5468750000000777e-06,3.1765624999999974e-05,True,True
shorter,43,shorter/43/E,shorter/43/F,Ephi,0.0024076802739045333,0.002421441183458585,,1.3760909554051681e-05,0.0006114806437327446,True,True
shorter,43,shorter/43/E,shorter/43/F,ET,-0.000693040597819293,-0.0006886254416445664,,4.415156174726598e-06,0.0007589362393064261,True,True
shorter,43,shorter/43/E,shorter/43/F,EV,0.0030464868984525404,0.0030392075379061007,,-7.2793605464397185e-06,0.0001043756411740918,True,True
shorter,43,shorter/43/E,shorter/43/F,EI,0.020104422618812273,0.02004181988544782,0.020035826067007097,-6.85965518051751e-05,0.0007377383827681128,True,True
shorter,43,shorter/43/E,shorter/43/F,power_trace_NRMSE,0.021124592297152696,0.02104057396030095,0.02103413990795866,-9.045238919403592e-05,0.000753000550978754,True,True
shorter,43,shorter/43/E,shorter/43/F,bottom_current_NRMSE,0.020104422618812446,0.020041819885447978,0.02003582606700725,-6.859655180519592e-05,0.0007377383827681128,True,True
shorter,43,shorter/43/E,shorter/B_E,S,0.00034440625000000053,0.00034949999999999977,,5.0937499999992395e-06,3.1765624999999974e-05,True,True
shorter,43,shorter/43/E,shorter/B_E,Ephi,0.004351954960299116,0.004372688630152187,,2.073366985307079e-05,0.0006114806437327446,True,True
shorter,43,shorter/43/E,shorter/B_E,ET,0.0005591901063997443,0.0006356968300247345,,7.650672362499028e-05,0.0007589362393064261,True,True
shorter,43,shorter/43/E,shorter/B_E,EV,0.001624846135781924,0.0015651012070678968,,-5.974492871402715e-05,0.0001043756411740918,True,True
shorter,43,shorter/43/E,shorter/B_E,EI,0.011207481357212855,0.010767208664635573,0.010763988563156864,-0.0004434927940559913,0.0007377383827681128,True,True
shorter,43,shorter/43/E,shorter/B_E,power_trace_NRMSE,0.011712863864751635,0.011236279355196438,0.011232843383837468,-0.00048002048091416727,0.000753000550978754,True,True
shorter,43,shorter/43/E,shorter/B_E,bottom_current_NRMSE,0.01120748135721238,0.01076720866463508,0.010763988563156367,-0.0004434927940560121,0.0007377383827681128,True,True
shorter,43,shorter/43/E_R,shorter/43/E_C,S,-9.760937500000015e-05,-9.72499999999999e-05,,3.59375000000251e-07,3.1765624999999974e-05,True,True
