Reference,Object,Strict,Maximum phase,Failed original requirements
old,original/29/E,False,0.983874305837212,cycle 1: recall 0.88373141 < 0.9; cycle 1: onset error 0.0060666667 > 0.005; cycle 2: onset error 0.0064333333 > 0.005
old,original/29/F,False,0.977866521931926,cycle 1: recall 0.83877873 < 0.9; cycle 1: onset error 0.0094 > 0.005
old,original/43/E,False,0.9816474503969835,cycle 1: recall 0.80272645 < 0.9; cycle 1: onset error 0.01138 > 0.005; cycle 2: onset error 0.0053 > 0.005
old,original/43/F,False,0.9831103839453421,cycle 1: recall 0.84058134 < 0.9; cycle 1: precision 0.76218204 < 0.8; cycle 1: onset error 0.039075 > 0.005; cycle 2: recall 0.89018924 < 0.9; cycle 2: onset error 0.0064 > 0.005
old,original/B_E,False,0.9804634545213793,"cycle 1: recall 0.79292474 < 0.9; cycle 1: onset error 0.015271429 > 0.005; cycle 2: recall 0.77216135 < 0.9; cycle 2: mass ratio 0.77726594 outside [0.8,1.2]; cycle 2: onset error 0.014971429 > 0.005"
old,shorter/29/E,False,0.9834933172111099,cycle 1: recall 0.86660658 < 0.9
old,shorter/29/F,False,0.9790781496920653,cycle 1: recall 0.83337089 < 0.9; cycle 1: onset error 0.016666667 > 0.005
old,shorter/43/E,False,0.9859892254479622,cycle 1: recall 0.87550699 < 0.9
old,shorter/43/F,False,0.9855771620765069,cycle 1: recall 0.87370437 < 0.9; cycle 1: onset error 0.030233333 > 0.005; cycle 2: recall 0.81372884 < 0.9; cycle 2: onset error 0.02242 > 0.005
old,shorter/B_E,False,0.9817816657095779,"cycle 1: recall 0.79292474 < 0.9; cycle 1: onset error 0.015271429 > 0.005; cycle 2: recall 0.7743204 < 0.9; cycle 2: mass ratio 0.77773978 outside [0.8,1.2]; cycle 2: onset error 0.0213 > 0.005"
old,shorter/29/E_C,False,0.9836267705130232,cycle 1: recall 0.8828301 < 0.9
old,shorter/29/E_R,False,0.9836325369715565,cycle 1: recall 0.88609734 < 0.9; cycle 1: onset error 0.0054166667 > 0.005
old,shorter/29/E_I,False,0.9844147263150298,cycle 1: recall 0.86412799 < 0.9
old,shorter/43/E_C,False,0.9868523884201933,cycle 1: recall 0.89578639 < 0.9
old,shorter/43/E_R,False,0.9869151347916222,cycle 1: recall 0.89218116 < 0.9
old,shorter/43/E_I,False,0.9868031884839598,cycle 1: recall 0.89860297 < 0.9
refined,original/29/E,False,0.983874305837212,cycle 1: recall 0.88698708 < 0.9; cycle 1: onset error 0.0069 > 0.005; cycle 2: onset error 0.0076833333 > 0.005
refined,original/29/F,False,0.977866521931926,cycle 1: recall 0.84164589 < 0.9; cycle 1: onset error 0.010233333 > 0.005
refined,original/43/E,False,0.9816474503969835,cycle 1: recall 0.80559964 < 0.9; cycle 1: onset error 0.012213333 > 0.005; cycle 2: onset error 0.00655 > 0.005
refined,original/43/F,False,0.9831103839453421,cycle 1: recall 0.8420993 < 0.9; cycle 1: precision 0.75891307 < 0.8; cycle 1: onset error 0.039908333 > 0.005; cycle 2: recall 0.89374218 < 0.9; cycle 2: onset error 0.00515 > 0.005
refined,original/B_E,False,0.9804634545213793,"cycle 1: recall 0.79743822 < 0.9; cycle 1: onset error 0.014438095 > 0.005; cycle 2: recall 0.77584481 < 0.9; cycle 2: mass ratio 0.78135169 outside [0.8,1.2]; cycle 2: onset error 0.013721429 > 0.005"
refined,shorter/29/E,False,0.9834933172111099,cycle 1: recall 0.86998413 < 0.9
refined,shorter/29/F,False,0.9790781496920653,cycle 1: recall 0.83586488 < 0.9; cycle 1: onset error 0.0175 > 0.005
refined,shorter/43/E,False,0.9859892254479622,cycle 1: recall 0.87916572 < 0.9
refined,shorter/43/F,False,0.9855771620765069,cycle 1: recall 0.87553843 < 0.9; cycle 1: onset error 0.031066667 > 0.005; cycle 2: recall 0.81438356 < 0.9; cycle 2: onset error 0.02242 > 0.005
refined,shorter/B_E,False,0.9817816657095779,"cycle 1: recall 0.79743822 < 0.9; cycle 1: onset error 0.014438095 > 0.005; cycle 2: recall 0.7755137 < 0.9; cycle 2: mass ratio 0.77893836 outside [0.8,1.2]; cycle 2: onset error 0.0213 > 0.005"
refined,shorter/29/E_C,False,0.9836267705130232,cycle 1: recall 0.88562684 < 0.9; cycle 1: onset error 0.0052133333 > 0.005
refined,shorter/29/E_R,False,0.9836325369715565,cycle 1: recall 0.88902743 < 0.9; cycle 1: onset error 0.00625 > 0.005
refined,shorter/29/E_I,False,0.9844147263150298,cycle 1: recall 0.86726366 < 0.9
refined,shorter/43/E_C,False,0.9868523884201933,cycle 1: recall 0.89934255 < 0.9
refined,shorter/43/E_R,False,0.9869151347916222,cycle 1: recall 0.89571526 < 0.9
refined,shorter/43/E_I,True,0.9868031884839598,none
