Reference,Candidate,Baseline,Comparison scope,Metric,Candidate error,Baseline error,Signed error difference,Difference in percentage points,Relative error reduction %
old,original/29/E,original/29/F,historical matched method,S,0.001030078125,0.001225,-0.000194921875,,15.911989795918368
old,original/29/E,original/29/F,historical matched method,Ephi,0.020042062839986767,0.023986713579712493,-0.003944650739725726,,16.44514879713258
old,original/29/E,original/29/F,historical matched method,ET,0.010600719518901736,0.010930770446400033,-0.00033005092749829705,-0.033005092749829705,3.019466277484556
old,original/29/E,original/29/F,historical matched method,EV,0.001295806378420051,0.0026037742743953525,-0.0013079678959753015,,50.23353632599498
old,original/29/E,original/29/F,historical matched method,EI,0.008582725577116241,0.016878445249982235,-0.008295719672865994,-0.8295719672865994,49.14978571782093
old,original/29/E,original/29/F,historical matched method,bottom_current_NRMSE,0.008582725577119891,0.01687844524998299,-0.0082957196728631,-0.82957196728631,49.149785717801585
old,original/29/E,original/29/F,historical matched method,power_trace_NRMSE,0.008624890741396128,0.01727433882661583,-0.008649448085219703,-0.8649448085219703,50.07108041607282
old,original/29/E,original/29/F,historical matched method,energy_error,0.0027517159515824587,0.0016092828994405844,0.0011424330521418744,0.11424330521418744,-70.990193988826
old,original/29/E,original/29/F,historical matched method,local_joule_NRMSE,0.04735616535447262,0.0926130912791254,-0.04525692592465278,-4.525692592465278,48.866661612939275
old,original/29/E,original/B_E,historical available-data baseline,S,0.001030078125,0.0014084375000000002,-0.0003783593750000002,,26.86376747282007
old,original/29/E,original/B_E,historical available-data baseline,Ephi,0.020042062839986767,0.023769782205783657,-0.00372771936579689,,15.682597903189295
old,original/29/E,original/B_E,historical available-data baseline,ET,0.010600719518901736,0.013278255127362866,-0.0026775356084611304,-0.267753560846113,20.164815201836713
old,original/29/E,original/B_E,historical available-data baseline,EV,0.001295806378420051,0.002558449869505918,-0.0012626434910858672,,49.35189491634268
old,original/29/E,original/B_E,historical available-data baseline,EI,0.008582725577116241,0.01728228938076691,-0.008699563803650669,-0.869956380365067,50.33802878762248
old,original/29/E,original/B_E,historical available-data baseline,bottom_current_NRMSE,0.008582725577119891,0.017282289380764062,-0.00869956380364417,-0.869956380364417,50.33802878759317
old,original/29/E,original/B_E,historical available-data baseline,power_trace_NRMSE,0.008624890741396128,0.017562292993545878,-0.00893740225214975,-0.893740225214975,50.88972297315752
old,original/29/E,original/B_E,historical available-data baseline,energy_error,0.0027517159515824587,0.011849409958004114,-0.009097694006421655,-0.9097694006421655,76.77761203861706
old,original/29/E,original/B_E,historical available-data baseline,local_joule_NRMSE,0.04735616535447262,0.0981319028410548,-0.050775737486582186,-5.077573748658218,51.74233456863069
old,original/43/E,original/43/F,historical matched method,S,0.0011316406249999998,0.0012525000000000001,-0.00012085937500000031,,9.649451097804414
old,original/43/E,original/43/F,historical matched method,Ephi,0.021619161166716246,0.02448208540577694,-0.002862924239060694,,11.693955770553522
old,original/43/E,original/43/F,historical matched method,ET,0.010330845552147926,0.010446690661100185,-0.00011584510895225851,-0.011584510895225851,1.1089168111737537
old,original/43/E,original/43/F,historical matched method,EV,0.0023572941029588812,0.00464752889807411,-0.0022902347951152284,,49.27854878028363
