reference,protocol,seed,role,region,measure,FN,FP,reference_active_mass,predicted_active_mass,conditional_RMS
old,original,29,E,full_history/near_threshold,0.0011403124999999996,0.0001538281249999998,0.0003007812499999998,0.0005481249999999988,0.0006950781250000001,0.09262734842312148
old,original,29,E,full_history/outside_threshold,0.9988596874999945,0.00010765624999999998,0.00046781250000000045,0.004601874999999999,0.00496203125,0.010578011405674595
old,original,29,E,heating_windows/near_threshold,0.00022687500000000003,4.039062499999997e-05,5.187499999999995e-05,0.00010937500000000004,0.00012085937500000002,0.10618944136181586
old,original,29,E,heating_windows/outside_threshold,0.2802731249999987,5.0703124999999994e-05,7.414062499999997e-05,0.0012115625000000004,0.001235,0.010217526729923555
old,original,29,F,full_history/near_threshold,0.0011403124999999996,0.0001990624999999995,0.00027390625000000033,0.0005481249999999988,0.0006229687500000003,0.10753478428567076
old,original,29,F,full_history/outside_threshold,0.9988596874999945,0.00022468749999999974,0.0005273437500000003,0.004601874999999999,0.004904531249999993,0.012692449350347369
old,original,29,F,heating_windows/near_threshold,0.00022687500000000003,5.601562500000003e-05,3.8515624999999996e-05,0.00010937500000000004,9.187500000000002e-05,0.13278019794789608
old,original,29,F,heating_windows/outside_threshold,0.2802731249999987,0.00011500000000000003,7.624999999999997e-05,0.0012115625000000004,0.0011728125,0.013462503723274477
old,original,43,E,full_history/near_threshold,0.0011403124999999996,0.00020062499999999923,0.00027624999999999997,0.0005481249999999988,0.0006237500000000001,0.11074525112366745
old,original,43,E,full_history/outside_threshold,0.9988596874999945,0.00023273437499999976,0.00042203125000000037,0.004601874999999999,0.004791171874999999,0.011294511563544569
old,original,43,E,heating_windows/near_threshold,0.00022687500000000003,4.749999999999998e-05,4.507812499999997e-05,0.00010937500000000004,0.00010695312499999998,0.13284234516985807
old,original,43,E,heating_windows/outside_threshold,0.2802731249999987,9.929687500000005e-05,0.00010710937499999997,0.0012115625000000004,0.0012193750000000002,0.014513640531529952
old,original,43,F,full_history/near_threshold,0.0011403124999999996,0.00023210937499999922,0.0002447656249999994,0.0005481249999999988,0.0005607812499999999,0.11588425685103661
old,original,43,F,full_history/outside_threshold,0.9988596874999945,0.00028812500000000035,0.000487500000000001,0.004601874999999999,0.0048012499999999965,0.012892573818898924
old,original,43,F,heating_windows/near_threshold,0.00022687500000000003,6.2421875e-05,3.7187499999999935e-05,0.00010937500000000004,8.414062499999996e-05,0.14211196158183512
old,original,43,F,heating_windows/outside_threshold,0.2802731249999987,0.00011703124999999991,0.00018914062499999994,0.0012115625000000004,0.001283671875,0.019283193993166508
old,shorter,29,E,full_history/near_threshold,0.00125390625,0.00019226562499999946,0.00031765625000000034,0.0006003124999999998,0.000725703125,0.10296308299711714
old,shorter,29,E,full_history/outside_threshold,0.9987460937499946,0.00018289062499999976,0.00039335937500000026,0.005290468750000002,0.005500937500000003,0.009802114959840218
old,shorter,29,E,heating_windows/near_threshold,0.00026937500000000003,5.945312499999991e-05,4.757812500000005e-05,0.00013015624999999982,0.00011828124999999992,0.11075499240218978
old,shorter,29,E,heating_windows/outside_threshold,0.2802306249999986,6.398437500000002e-05,8.359375e-05,0.0014771875000000004,0.001496796875,0.011399912458271516
