reference,reader,seed,comparison,full.A.passed,full.A.gain.S,full.A.gain.Ephi,full.A.noninferior.ET,full.A.noninferior.EI,full.A.noninferior.EV,full.A.relative_changes.S,full.A.relative_changes.Ephi,full.A.relative_changes.ET,full.A.relative_changes.EI,full.A.relative_changes.EV,full.B.passed,full.B.gain.bottom_current_NRMSE,full.B.gain.power_trace_NRMSE,full.B.noninferior.S,full.B.noninferior.Ephi,full.B.noninferior.ET,full.B.noninferior.EV,full.B.noninferior.EI,full.B.relative_changes.bottom_current_NRMSE,full.B.relative_changes.power_trace_NRMSE,full.B.relative_changes.S,full.B.relative_changes.Ephi,full.B.relative_changes.ET,full.B.relative_changes.EV,full.B.relative_changes.EI,full.B.claim_layer,A_w.passed,A_w.gain.S,A_w.gain.Ephi,A_w.noninferior.ET,A_w.noninferior.EI,A_w.noninferior.EV,A_w.relative_changes.S,A_w.relative_changes.Ephi,A_w.relative_changes.ET,A_w.relative_changes.EI,A_w.relative_changes.EV,window_effects.S.candidate_error,window_effects.S.control_error,window_effects.S.signed_candidate_minus_control,window_effects.S.relative_error_reduction,window_effects.S.candidate_minus_control_percentage_points,window_effects.Ephi.candidate_error,window_effects.Ephi.control_error,window_effects.Ephi.signed_candidate_minus_control,window_effects.Ephi.relative_error_reduction,window_effects.Ephi.candidate_minus_control_percentage_points,window_effects.ET.candidate_error,window_effects.ET.control_error,window_effects.ET.signed_candidate_minus_control,window_effects.ET.relative_error_reduction,window_effects.ET.candidate_minus_control_percentage_points,window_effects.EV.candidate_error,window_effects.EV.control_error,window_effects.EV.signed_candidate_minus_control,window_effects.EV.relative_error_reduction,window_effects.EV.candidate_minus_control_percentage_points,window_effects.EI.candidate_error,window_effects.EI.control_error,window_effects.EI.signed_candidate_minus_control,window_effects.EI.relative_error_reduction,window_effects.EI.candidate_minus_control_percentage_points,window_effects.bottom_current_NRMSE.candidate_error,window_effects.bottom_current_NRMSE.control_error,window_effects.bottom_current_NRMSE.signed_candidate_minus_control,window_effects.bottom_current_NRMSE.relative_error_reduction,window_effects.bottom_current_NRMSE.candidate_minus_control_percentage_points,window_effects.power_trace_NRMSE.candidate_error,window_effects.power_trace_NRMSE.control_error,window_effects.power_trace_NRMSE.signed_candidate_minus_control,window_effects.power_trace_NRMSE.relative_error_reduction,window_effects.power_trace_NRMSE.candidate_minus_control_percentage_points,outside_cost_flags.S,outside_cost_flags.Ephi,outside_cost_flags.ET,outside_cost_flags.EI,outside_cost_flags.EV,outside_cost_flags.bottom_current_NRMSE,outside_cost_flags.power_trace_NRMSE
old,coarse,29,E_vs_D_E,False,False,False,True,True,True,-0.016564918887050237,-0.013456807414143538,-0.0030108081432853842,-0.07349232492496142,-0.06076635077783336,False,False,False,True,True,True,True,True,-0.07349232492521104,-0.07565034258928836,-0.016564918887050237,-0.013456807414143538,-0.0030108081432853842,-0.06076635077783336,-0.07349232492496142,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,-0.014496788008565466,-0.012289207211004408,0.0028940738150921267,-0.04058681293087067,-0.030628585720342077,0.008899868502475247,0.00903078589108911,-0.0001309173886138628,0.014496788008565464,,0.10222267892063042,0.10349454482722072,-0.0012718659065902999,0.01228920721100446,,0.010955653718149778,0.01092403874366668,3.1614974483097635e-05,-0.002894073815092213,,0.002034643145393356,0.0020989304155469694,-6.428727015361357e-05,0.030628585720342105,,0.010875342126990694,0.011335410304514695,-0.0004600681775240017,0.04058681293087063,-0.04600681775240017,0.010875342126985928,0.011335410304513158,-0.00046006817752723,0.040586812931160954,-0.046006817752723,0.010989354654614992,0.01144499688347401,-0.0004556422288590177,0.039811476883575336,-0.04556422288590177,False,False,False,False,False,False,False
old,coarse,29,E_vs_F,False,False,True,True,True,True,0.08315877670716407,-0.1685818970184886,-0.02626844404694268,-0.8738950250138058,-0.8576810587248827,False,True,True,False,True,True,True,True,-0.8738950250138645,-0.8659818289519093,0.08315877670716407,-0.1685818970184886,-0.02626844404694268,-0.8576810587248827,-0.8738950250138058,limited device-function signal; separate from phase reconstruction and strict usability,False,False,True,True,True,True,0.13401833234772295,-0.16817220222201892,-0.027562862829657035,-0.8798130821463881,-0.8644342930839998,0.008899868502475247,0.007848081683168319,0.0010517868193069286,-0.13401833234772287,,0.10222267892063042,0.12288923163387015,-0.020666552713239736,0.1681722022220189,,0.010955653718149778,0.011266181945734003,-0.0003105282275842249,0.02756286282965703,,0.002034643145393356,0.015008538602274031,-0.012973895456880675,0.8644342930839999,,0.010875342126990694,0.09048690424224785,-0.07961156211525716,0.8798130821463881,-7.961156211525716,0.010875342126985928,0.0904869042422488,-0.07961156211526287,0.8798130821464419,-7.961156211526286,0.010989354654614992,0.0851137960610554,-0.07412444140644041,0.8708863290889775,-7.412444140644041,False,False,False,False,False,False,False
old,coarse,29,E_vs_B_E,False,False,True,True,True,True,0.03677119255754286,-0.21127696690914963,-0.12837639078017427,-0.8774893112115445,-0.8615907000324592,True,True,True,True,True,True,True,True,-0.8774893112115912,-0.8703755372832037,0.03677119255754286,-0.21127696690914963,-0.12837639078017427,-0.8615907000324592,-0.8774893112115445,limited device-function signal; separate from phase reconstruction and strict usability,False,False,True,True,True,True,0.13401833234772295,-0.20583242251083153,-0.20965340905622878,-0.8815069964665802,-0.8661224741723603,0.008899868502475247,0.007848081683168319,0.0010517868193069286,-0.13401833234772287,,0.10222267892063042,0.1287167618247732,-0.02649408290414279,0.20583242251083156,,0.010955653718149778,0.01386183459723332,-0.0029061808790835416,0.20965340905622876,,0.002034643145393356,0.015197794647122868,-0.013163151501729512,0.8661224741723603,,0.010875342126990694,0.09178045794006227,-0.08090511581307158,0.8815069964665802,-8.090511581307158,0.010875342126985928,0.09178045794005514,-0.08090511581306921,0.8815069964666229,-8.09051158130692,0.010989354654614992,0.0864723766440916,-0.07548302198947661,0.8729148534930911,-7.548302198947661,False,False,False,False,False,False,False
old,coarse,43,E_vs_D_E,False,False,False,True,True,True,0.047251279768528755,0.04103944866005339,-0.008641016120323652,-0.05628746676933768,-0.03941289741453572,False,False,False,True,True,True,True,True,-0.0562874667694776,-0.04981940421660686,0.047251279768528755,0.04103944866005339,-0.008641016120323652,-0.03941289741453572,-0.05628746676933768,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,0.05247791010372657,0.042252969549851985,-0.01608364856077585,-0.0707772366501918,-0.05271733001272478,0.007946704826732674,0.007550471844059406,0.0003962329826732681,-0.05247791010372649,,0.08994577640751794,0.08629937168359945,0.0036464047239184866,-0.042252969549851915,,0.010655705769562393,0.010829889912872932,-0.00017418414331053962,0.01608364856077582,,0.001877196425166054,0.00198166448584061,-0.00010446806067455601,0.05271733001272483,,0.009046572396664164,0.009735633642950867,-0.0006890612462867023,0.07077723665019175,-0.06890612462867024,0.009046572396662272,0.00973563364295021,-0.0006890612462879375,0.07077723665032343,-0.06890612462879375,0.009209994431375181,0.009839588838828395,-0.0006295944074532142,0.06398584511669292,-0.06295944074532142,False,False,False,True,True,True,True
old,coarse,43,E_vs_F,False,False,True,True,True,True,0.009157980525886835,-0.17720210581885384,0.0036961218564303872,-0.8936004703588127,-0.8676458415259357,True,True,True,True,True,True,True,True,-0.8936004703588475,-0.8854319680926125,0.009157980525886835,-0.17720210581885384,0.0036961218564303872,-0.8676458415259357,-0.8936004703588127,limited device-function signal; separate from phase reconstruction and strict usability,False,False,True,True,True,True,0.012566528681253594,-0.18153001679420833,-0.008949227608013182,-0.89928822741444,-0.8739950991785016,0.007946704826732674,0.007848081683168319,9.862314356435566e-05,-0.01256652868125352,,0.08994577640751794,0.10989502150734642,-0.019949245099828483,0.18153001679420833,,0.010655705769562393,0.01075192721342008,-9.622144385768722e-05,0.0089492276080132,,0.001877196425166054,0.014897804870505293,-0.013020608445339239,0.8739950991785017,,0.009046572396664164,0.08982636452931682,-0.08077979213265266,0.89928822741444,-8.077979213265266,0.009046572396662272,0.0898263645293166,-0.08077979213265432,0.8992882274144609,-8.077979213265433,0.009209994431375181,0.0846630815593299,-0.07545308712795472,0.8912159318826467,-7.545308712795472,False,False,False,False,True,False,True
old,coarse,43,E_vs_B_E,False,False,True,True,True,True,-0.056600368914909036,-0.3037245596059735,-0.13463626669333892,-0.8974420022266467,-0.8723024786998921,True,True,True,True,True,True,True,True,-0.8974420022266729,-0.8898176547336712,-0.056600368914909036,-0.3037245596059735,-0.13463626669333892,-0.8723024786998921,-0.8974420022266467,limited device-function signal; separate from phase reconstruction and strict usability,False,False,True,True,True,True,0.012566528681253594,-0.3012116282884401,-0.2312918109923803,-0.9014324770249885,-0.8764823141282916,0.007946704826732674,0.007848081683168319,9.862314356435566e-05,-0.01256652868125352,,0.08994577640751794,0.1287167618247732,-0.038770985417255266,0.30121162828844017,,0.010655705769562393,0.01386183459723332,-0.0032061288276709274,0.23129181099238028,,0.001877196425166054,0.015197794647122868,-0.013320598221956814,0.8764823141282916,,0.009046572396664164,0.09178045794006227,-0.08273388554339811,0.9014324770249885,-8.27338855433981,0.009046572396662272,0.09178045794005514,-0.08273388554339287,0.9014324770250015,-8.273388554339286,0.009209994431375181,0.0864723766440916,-0.07726238221271642,0.8934920631442541,-7.726238221271641,False,False,False,False,False,False,False
old,fine,29,E_vs_D_E,False,False,False,True,True,True,-0.016564918887050237,-0.013456807414143538,-0.0030108081432853842,-0.07667899061279532,-0.06631723694466225,False,False,False,True,True,True,True,True,-0.07667899061165526,-0.07859380893360175,-0.016564918887050237,-0.013456807414143538,-0.0030108081432853842,-0.06631723694466225,-0.07667899061279532,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,-0.014496788008565466,-0.012289207211004408,0.0028940738150921267,-0.04194163231760257,-0.035055186393836646,0.008899868502475247,0.00903078589108911,-0.0001309173886138628,0.014496788008565464,,0.10222267892063042,0.10349454482722072,-0.0012718659065902999,0.01228920721100446,,0.010955653718149778,0.01092403874366668,3.1614974483097635e-05,-0.002894073815092213,,0.002151329201884572,0.0022294841855719063,-7.815498368733426e-05,0.035055186393836646,,0.011614808278414325,0.012123278361955406,-0.0005084700835410808,0.04194163231760262,-0.050847008354108075,0.011614808278419802,0.012123278361944032,-0.0005084700835242296,0.04194163231625192,-0.050847008352422965,0.011800519695579081,0.01231137523461389,-0.0005108555390348091,0.041494595794507205,-0.051085553903480914,False,False,False,False,False,False,False
old,fine,29,E_vs_F,False,False,True,True,True,True,0.08315877670716407,-0.1685818970184886,-0.02626844404694268,-0.8630098019884962,-0.8462815678101223,False,True,True,False,True,True,True,True,-0.8630098019884381,-0.853099931657963,0.08315877670716407,-0.1685818970184886,-0.02626844404694268,-0.8462815678101223,-0.8630098019884962,limited device-function signal; separate from phase reconstruction and strict usability,False,False,True,True,True,True,0.13401833234772295,-0.16817220222201892,-0.027562862829657035,-0.8701127841177324,-0.8548901159822198,0.008899868502475247,0.007848081683168319,0.0010517868193069286,-0.13401833234772287,,0.10222267892063042,0.12288923163387015,-0.020666552713239736,0.1681722022220189,,0.010955653718149778,0.011266181945734003,-0.0003105282275842249,0.02756286282965703,,0.002151329201884572,0.014825518030329141,-0.01267418882844457,0.8548901159822198,,0.011614808278414325,0.08942225914629055,-0.07780745086787623,0.8701127841177323,-7.780745086787623,0.011614808278419802,0.08942225914629386,-0.07780745086787405,0.8701127841176759,-7.780745086787405,0.011800519695579081,0.08404674394292865,-0.07224622424734957,0.8595957541961157,-7.224622424734957,False,False,False,False,False,False,False
old,fine,29,E_vs_B_E,False,False,True,True,True,True,0.03677119255754286,-0.21127696690914963,-0.12837639078017427,-0.8666479150424573,-0.8501759080503585,True,True,True,True,True,True,True,True,-0.8666479150423749,-0.8575886979750172,0.03677119255754286,-0.21127696690914963,-0.12837639078017427,-0.8501759080503585,-0.8666479150424573,limited device-function signal; separate from phase reconstruction and strict usability,False,False,True,True,True,True,0.13401833234772295,-0.20583242251083153,-0.20965340905622878,-0.8719119199971861,-0.8566526117337343,0.008899868502475247,0.007848081683168319,0.0010517868193069286,-0.13401833234772287,,0.10222267892063042,0.1287167618247732,-0.02649408290414279,0.20583242251083156,,0.010955653718149778,0.01386183459723332,-0.0029061808790835416,0.20965340905622876,,0.002151329201884572,0.015007801871412605,-0.012856472669528033,0.8566526117337343,,0.011614808278414325,0.09067829167366051,-0.07906348339524619,0.8719119199971861,-7.906348339524619,0.011614808278419802,0.0906782916736447,-0.0790634833952249,0.8719119199971033,-7.90634833952249,0.011800519695579081,0.08536701792487333,-0.07356649822929426,0.8617672260033254,-7.356649822929426,False,False,False,False,False,False,False
old,fine,43,E_vs_D_E,False,False,False,True,True,True,0.047251279768528755,0.04103944866005339,-0.008641016120323652,-0.051684148039818176,-0.0394180901055674,False,False,False,True,True,True,True,True,-0.05168414804010554,-0.04628298861931369,0.047251279768528755,0.04103944866005339,-0.008641016120323652,-0.0394180901055674,-0.051684148039818176,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,0.05247791010372657,0.042252969549851985,-0.01608364856077585,-0.05941823208912033,-0.048562161692054746,0.007946704826732674,0.007550471844059406,0.0003962329826732681,-0.05247791010372649,,0.08994577640751794,0.08629937168359945,0.0036464047239184866,-0.042252969549851915,,0.010655705769562393,0.010829889912872932,-0.00017418414331053962,0.01608364856077582,,0.0019928986833496714,0.0020946178542718876,-0.00010171917092221617,0.04856216169205474,,0.009924353911020894,0.010551293092852326,-0.0006269391818314318,0.05941823208912034,-0.06269391818314318,0.009924353911024687,0.01055129309285669,-0.0006269391818320025,0.05941823208914987,-0.06269391818320025,0.010148474251967972,0.010724314095995268,-0.0005758398440272958,0.05369479473212457,-0.057583984402729584,False,False,False,True,True,True,True
