object,reader,status,id,grid,model_work.head_forward_calls,model_work.head_coordinate_queries,model_work.head_output_derivative_calls,elapsed_seconds,electrical_counts.forward_queries,electrical_counts.zero_drive_queries,electrical_counts.factorizations,electrical_counts.forward_solves,electrical_counts.adjoint_solves,electrical_counts.zero_adjoint_queries,electrical_counts.max_forward_scaled_residual,electrical_counts.max_adjoint_scaled_residual,reference_read
shorter/29/E,coarse,FIXED_ENDPOINT_PROJECTED_READER,shorter/29/E,"[160, 80]",8008,25625600,0,54.53649464529008,1001,723,278,278,0,0,5.110187768203385e-15,0.0,False
shorter/29/E,fine,FIXED_ENDPOINT_PROJECTED_READER,shorter/29/E,"[240, 120]",16016,57657600,0,125.00920050498098,1001,723,278,278,0,0,5.083344180690997e-15,0.0,False
shorter/29/D_E,coarse,FIXED_ENDPOINT_PROJECTED_READER,shorter/29/D_E,"[160, 80]",8008,25625600,0,53.2173467669636,1001,723,278,278,0,0,3.7726187142995716e-15,0.0,False
shorter/29/D_E,fine,FIXED_ENDPOINT_PROJECTED_READER,shorter/29/D_E,"[240, 120]",16016,57657600,0,125.39621835947037,1001,723,278,278,0,0,4.620836776552854e-15,0.0,False
shorter/29/F,coarse,FIXED_ENDPOINT_PROJECTED_READER,shorter/29/F,"[160, 80]",8008,25625600,0,53.07492058258504,1001,723,278,278,0,0,3.543051851019129e-15,0.0,False
shorter/29/F,fine,FIXED_ENDPOINT_PROJECTED_READER,shorter/29/F,"[240, 120]",16016,57657600,0,123.66094158496708,1001,723,278,278,0,0,4.929637721633418e-15,0.0,False
shorter/43/E,coarse,FIXED_ENDPOINT_PROJECTED_READER,shorter/43/E,"[160, 80]",8008,25625600,0,53.04165134485811,1001,723,278,278,0,0,4.0007115579985794e-15,0.0,False
shorter/43/E,fine,FIXED_ENDPOINT_PROJECTED_READER,shorter/43/E,"[240, 120]",16016,57657600,0,123.23669339716434,1001,723,278,278,0,0,5.237204794942821e-15,0.0,False
shorter/43/D_E,coarse,FIXED_ENDPOINT_PROJECTED_READER,shorter/43/D_E,"[160, 80]",8008,25625600,0,53.41940729692578,1001,723,278,278,0,0,3.542182975265015e-15,0.0,False
shorter/43/D_E,fine,FIXED_ENDPOINT_PROJECTED_READER,shorter/43/D_E,"[240, 120]",16016,57657600,0,122.96359981503338,1001,723,278,278,0,0,4.929249296155011e-15,0.0,False
shorter/43/F,coarse,FIXED_ENDPOINT_PROJECTED_READER,shorter/43/F,"[160, 80]",8008,25625600,0,53.857325699180365,1001,723,278,278,0,0,4.3092372293986485e-15,0.0,False
shorter/43/F,fine,FIXED_ENDPOINT_PROJECTED_READER,shorter/43/F,"[240, 120]",16016,57657600,0,124.05394174065441,1001,723,278,278,0,0,4.775079662771822e-15,0.0,False
shorter/B_E,coarse,FIXED_ENDPOINT_PROJECTED_READER,shorter/B_E,"[160, 80]",0,0,0,46.595998499542475,1001,723,278,278,0,0,5.076350635731457e-15,0.0,False
shorter/B_E,fine,FIXED_ENDPOINT_PROJECTED_READER,shorter/B_E,"[240, 120]",0,0,0,104.8040076252073,1001,723,278,278,0,0,4.516186487870742e-15,0.0,False
