reference,reader,object,cycle,start,end,reference_energy,predicted_energy,signed_energy_error
old,coarse,shorter/29/E,1,0.0,0.35,0.2143791509123535,0.2144754029227266,9.625201037314013e-05
old,coarse,shorter/29/E,2,1.01,1.36,0.21914964157802452,0.22024483078738505,0.0010951892093605151
old,coarse,shorter/29/D_E,1,0.0,0.35,0.2143791509123535,0.21471074423060482,0.00033159331825136974
old,coarse,shorter/29/D_E,2,1.01,1.36,0.21914964157802452,0.22032308162457823,0.0011734400465536628
old,coarse,shorter/29/F,1,0.0,0.35,0.2143791509123535,0.21435502350597332,-2.4127406380152607e-05
old,coarse,shorter/29/F,2,1.01,1.36,0.21914964157802452,0.20589242066799857,-0.013257220910025987
old,coarse,shorter/43/E,1,0.0,0.35,0.2143791509123535,0.21401183015194516,-0.00036732076040831723
old,coarse,shorter/43/E,2,1.01,1.36,0.21914964157802452,0.2203347877926407,0.001185146214616172
old,coarse,shorter/43/D_E,1,0.0,0.35,0.2143791509123535,0.21407017596684053,-0.00030897494551293417
old,coarse,shorter/43/D_E,2,1.01,1.36,0.21914964157802452,0.22027801556450155,0.0011283739864769774
old,coarse,shorter/43/F,1,0.0,0.35,0.2143791509123535,0.21392705825603114,-0.0004520926563223553
old,coarse,shorter/43/F,2,1.01,1.36,0.21914964157802452,0.20564953890143756,-0.013500102676586983
old,coarse,shorter/B_E,1,0.0,0.35,0.2143791509123535,0.21187180702172392,-0.0025073438906295454
old,coarse,shorter/B_E,2,1.01,1.36,0.21914964157802452,0.2051901835842,-0.013959457993824559
old,fine,shorter/29/E,1,0.0,0.35,0.2143791509123535,0.21475845011207578,0.0003792991997222827
old,fine,shorter/29/E,2,1.01,1.36,0.21914964157802452,0.22053329978950964,0.0013836582114850765
old,fine,shorter/29/D_E,1,0.0,0.35,0.2143791509123535,0.2149931317683993,0.0006139808560458313
old,fine,shorter/29/D_E,2,1.01,1.36,0.21914964157802452,0.22062900246073558,0.001479360882711017
old,fine,shorter/29/F,1,0.0,0.35,0.2143791509123535,0.21464607675123779,0.00026692583888433466
old,fine,shorter/29/F,2,1.01,1.36,0.21914964157802452,0.20624494381380004,-0.012904697764224506
old,fine,shorter/43/E,1,0.0,0.35,0.2143791509123535,0.21429652989430895,-8.262101804453785e-05
old,fine,shorter/43/E,2,1.01,1.36,0.21914964157802452,0.2206052712435025,0.0014556296654779427
old,fine,shorter/43/D_E,1,0.0,0.35,0.2143791509123535,0.21435535772053274,-2.3793191820733492e-05
old,fine,shorter/43/D_E,2,1.01,1.36,0.21914964157802452,0.22055065641371774,0.0014010148356932003
old,fine,shorter/43/F,1,0.0,0.35,0.2143791509123535,0.21421752111223485,-0.0001616298001186164
old,fine,shorter/43/F,2,1.01,1.36,0.21914964157802452,0.20597917944301242,-0.01317046213501216
old,fine,shorter/B_E,1,0.0,0.35,0.2143791509123535,0.2122001987822853,-0.002178952130068178
old,fine,shorter/B_E,2,1.01,1.36,0.21914964157802452,0.2055370954124544,-0.013612546165570167
refined,coarse,shorter/29/E,1,0.0,0.35,0.2143037337639257,0.2144754029227266,0.00017166915880092767
refined,coarse,shorter/29/E,2,1.01,1.36,0.2191005235789181,0.22024483078738505,0.00114430720846697
refined,coarse,shorter/29/D_E,1,0.0,0.35,0.2143037337639257,0.21471074423060482,0.0004070104666791572
refined,coarse,shorter/29/D_E,2,1.01,1.36,0.2191005235789181,0.22032308162457823,0.0012225580456601177
