status,seed,adam_updates,complete_evaluations,lbfgs.potential.evaluations,lbfgs.potential.accepted_steps,lbfgs.potential.termination,lbfgs.potential.last_accepted_loss,lbfgs.potential.initial_loss,lbfgs.potential.history_resumed,lbfgs.potential.first_gate_accepted_evaluation,lbfgs.temperature.evaluations,lbfgs.temperature.accepted_steps,lbfgs.temperature.termination,lbfgs.temperature.last_accepted_loss,lbfgs.temperature.initial_loss,lbfgs.temperature.history_resumed,lbfgs.temperature.first_gate_accepted_evaluation,lbfgs.phase.evaluations,lbfgs.phase.accepted_steps,lbfgs.phase.termination,lbfgs.phase.last_accepted_loss,lbfgs.phase.initial_loss,lbfgs.phase.history_resumed,lbfgs.phase.first_gate_accepted_evaluation,original_complete_objective,final_complete_objective,original_components.obs_V,original_components.obs_T,original_components.obs_phase,final_components.obs_V,final_components.obs_T,final_components.obs_phase,electrical_forward,electrical_adjoint,reference_read,seed_rescue,old_V_gate_applied,observation_only_audits,model_work.head_forward_calls,model_work.head_coordinate_queries,model_work.head_output_derivative_calls,stage,elapsed_parent_and_calibration,objectives.complete_objective_gradient_evaluations,objectives.adam_objective_gradient_evaluations,objectives.audit_objective_evaluations,objectives.audit_objective_gradient_evaluations,objectives.optimizer_updates,electrical.forward_queries,electrical.zero_drive_queries,electrical.factorizations,electrical.forward_solves,electrical.adjoint_solves,electrical.zero_adjoint_queries,electrical.max_forward_scaled_residual,electrical.max_adjoint_scaled_residual,role,lbfgs.evaluations,lbfgs.accepted_steps,lbfgs.termination,lbfgs.last_accepted_loss,lbfgs.initial_loss,lbfgs.history_resumed,lbfgs.first_gate_accepted_evaluation,statistics.objectives.complete_objective_gradient_evaluations,statistics.objectives.adam_objective_gradient_evaluations,statistics.objectives.audit_objective_evaluations,statistics.objectives.audit_objective_gradient_evaluations,statistics.objectives.optimizer_updates,statistics.electrical.forward_queries,statistics.electrical.zero_drive_queries,statistics.electrical.factorizations,statistics.electrical.forward_solves,statistics.electrical.adjoint_solves,statistics.electrical.zero_adjoint_queries,statistics.electrical.max_forward_scaled_residual,statistics.electrical.max_adjoint_scaled_residual,statistics.model_work.head_forward_calls,statistics.model_work.head_coordinate_queries,statistics.model_work.head_output_derivative_calls,elapsed_seconds_internal,device,execution.elapsed_seconds,execution.model_work.head_forward_calls,execution.model_work.head_coordinate_queries,execution.model_work.head_output_derivative_calls,execution.electrical.forward_queries,execution.electrical.zero_drive_queries,execution.electrical.factorizations,execution.electrical.forward_solves,execution.electrical.adjoint_solves,execution.electrical.zero_adjoint_queries,execution.electrical.max_forward_scaled_residual,execution.electrical.max_adjoint_scaled_residual,execution.objectives.complete_objective_gradient_evaluations,execution.objectives.adam_objective_gradient_evaluations,execution.objectives.audit_objective_evaluations,execution.objectives.audit_objective_gradient_evaluations,execution.objectives.optimizer_updates,statistics.explicit_work.full_grid_network_evaluations,statistics.explicit_work.explicit_face_evaluations,statistics.explicit_work.thermal_phase_groups,statistics.explicit_work.boundary_groups,statistics.explicit_work.observation_groups,eta
LEGAL_FIXED_PARENT_NO_FIT_GATE,29,2400,600,200,96,EVALUATION_BUDGET_EXHAUSTED,4.300209331462967e-05,9.227706788124283e-05,False,,200,98,EVALUATION_BUDGET_EXHAUSTED_TRIAL_ROLLED_BACK,3.227167702154366e-05,0.0002900228743887213,False,,200,99,EVALUATION_BUDGET_EXHAUSTED,3.8088894844088645e-05,0.00011015811208154246,False,,0.5671759508305101,0.00011336266518026198,0.004623708009124819,1.6648933185139836,0.03201082596842154,0.000129006279943889,9.681503106463102e-05,0.00011426668453226593,0,0,False,False,False,2,33297,21782607,32541,parent,166.96796536818147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,420806,416,calibration,,0,0,1,0,0,158,108,50,50,0,0,3.0765702278731306e-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALID_FIXED_ENDPOINT,29,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,E,,,,,,,,,,,,,,,P_E,300,146,EVALUATION_BUDGET_EXHAUSTED,0.25700374103800466,0.8859422533106436,False,,300,1500,0,0,1500,59301,39756,19545,19545,19545,0,3.841693339007887e-15,3.380377401340291e-14,317292,166382324,504492,3439.010201493278,cuda:0,3439.0713078975677,317292,166382324,504492,59301,39756,19545,19545,19545,0,3.841693339007887e-15,3.380377401340291e-14,300,1500,0,0,1500,,,,,,
VALID_FIXED_ENDPOINT,29,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,D_E,,,,,,,,,,,,,,,D_E,300,147,EVALUATION_BUDGET_EXHAUSTED,0.2603408229409241,0.8819156079868612,False,,300,1500,0,0,1500,43701,31956,11745,11745,11745,0,3.696270167909063e-15,3.197442310920451e-14,239292,96817062,364092,2094.88479584828,cuda:0,2094.9536117529497,239292,96817062,364092,43701,31956,11745,11745,11745,0,3.696270167909063e-15,3.197442310920451e-14,300,1500,0,0,1500,,,,,,
VALID_FIXED_ENDPOINT,29,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,F_raw,,,,,,,,,,,,,,,F_raw,300,147,EVALUATION_BUDGET_EXHAUSTED,0.536890743612239,1.3635091655952534,False,,300,1500,0,0,1500,7800,7800,0,0,0,0,0.0,0.0,345303,126269255,532503,,cuda:0,3162.5197594007477,345303,126269255,532503,7800,7800,0,0,0,0,0.0,0.0,300,1500,0,0,1500,7800,7800,15600,15600,43701,1.0
LEGAL_FIXED_PARENT_NO_FIT_GATE,43,2400,600,200,96,EVALUATION_BUDGET_EXHAUSTED,3.9669627991600225e-05,8.784962711922636e-05,False,,200,99,EVALUATION_BUDGET_EXHAUSTED,3.111813756979172e-05,0.00032717202182993595,False,,200,98,EVALUATION_BUDGET_EXHAUSTED_TRIAL_ROLLED_BACK,3.448627260958348e-05,9.503848962204346e-05,False,,0.5675156491202555,0.0001052740381709754,0.0046106674617052154,1.66592607741603,0.03201020248303091,0.0001190088839748007,9.335441270937514e-05,0.00010345881782875045,0,0,False,False,False,2,33336,21791616,32580,parent,166.3305684076622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,420848,416,calibration,,0,0,1,0,0,158,108,50,50,0,0,2.863658706579705e-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALID_FIXED_ENDPOINT,43,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,E,,,,,,,,,,,,,,,P_E,300,146,EVALUATION_BUDGET_EXHAUSTED,0.26254420499939196,0.7722162839465225,False,,300,1500,0,0,1500,59301,39778,19523,19523,19523,0,3.6868380663024245e-15,2.93464247782318e-14,317248,166241896,504448,3516.6396967181936,cuda:0,3516.7272485475987,317248,166241896,504448,59301,39778,19523,19523,19523,0,3.6868380663024245e-15,2.93464247782318e-14,300,1500,0,0,1500,,,,,,
VALID_FIXED_ENDPOINT,43,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,D_E,,,,,,,,,,,,,,,D_E,300,148,EVALUATION_BUDGET_EXHAUSTED_TRIAL_ROLLED_BACK,0.26367512376114,0.7719941424796921,False,,300,1500,0,0,1500,43701,31978,11723,11723,11723,0,3.993486910708766e-15,3.059540568157527e-14,239248,96676262,364048,2072.7730693090707,cuda:0,2072.8487640516832,239248,96676262,364048,43701,31978,11723,11723,11723,0,3.993486910708766e-15,3.059540568157527e-14,300,1500,0,0,1500,,,,,,
VALID_FIXED_ENDPOINT,43,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,F_raw,,,,,,,,,,,,,,,F_raw,300,147,EVALUATION_BUDGET_EXHAUSTED_TRIAL_ROLLED_BACK,0.42849459587513433,1.2183074824600233,False,,300,1500,0,0,1500,7800,7800,0,0,0,0,0.0,0.0,345303,126269627,532503,,cuda:0,3067.3883602144197,345303,126269627,532503,7800,7800,0,0,0,0,0.0,0.0,300,1500,0,0,1500,7800,7800,15600,15600,43701,1.0
