reference,protocol,seed,role,temperature_MSE,phase_MSE,signed_cross,total_MSE,RMS,causal_attribution
old,original,29,E,6.834741351528063e-07,0.0007232200196762999,2.2769562956776262e-07,0.0007241311894410211,0.026909685792313166,False
old,original,29,F,7.367513279312159e-07,0.000979172624791817,-5.720288939596904e-07,0.0009793373472257887,0.03129436606205323,False
old,original,43,E,6.526932788765252e-07,0.0007971227183450852,-1.8256951460668225e-07,0.0007975928421093538,0.02824168624762611,False
old,original,43,F,6.872801141881916e-07,0.0010072699791486223,-2.960134856015691e-06,0.001004997124406794,0.03170168961438481,False
old,shorter,29,E,7.509792829142279e-07,0.0006669176709560049,7.348442767055564e-07,0.0006684034945156233,0.025853500624008798,False
old,shorter,29,F,8.640658490659881e-07,0.0009505282516967957,-1.9408499444935322e-06,0.0009494514676013672,0.030813170359464265,False
old,shorter,43,E,7.636250441620433e-07,0.0006372152645219013,2.3117223521039902e-06,0.0006402906119181678,0.02530396435181981,False
old,shorter,43,F,8.42395224017388e-07,0.00094544872672379,-1.626092628176794e-06,0.0009446650293196293,0.030735403516460123,False
refined,original,29,E,6.876970445705368e-07,0.0007222883823787542,3.727519246403593e-08,0.0007230133546157893,0.026888907650103402,False
refined,original,29,F,7.405213971250427e-07,0.0009745830388821905,-6.547198078588756e-07,0.000974668840471459,0.031219686745248727,False
refined,original,43,E,6.562391542009836e-07,0.0007978539509172528,-2.978115799002024e-07,0.0007982123784915523,0.02825265259212933,False
refined,original,43,F,6.91831886660754e-07,0.0010063950405878122,-3.0423789501148483e-06,0.0010040444935243574,0.031686661129319976,False
refined,shorter,29,E,7.540785102258262e-07,0.0006643384640084352,6.36821843218446e-07,0.0006657293643618815,0.025801731809354998,False
refined,shorter,29,F,8.688600290594788e-07,0.0009497475974893371,-2.0360755093168914e-06,0.0009485803820090817,0.030799032160265714,False
refined,shorter,43,E,7.655669694726323e-07,0.0006329721425604573,2.214955152806709e-06,0.0006359526646827362,0.025218101924663883,False
refined,shorter,43,F,8.453397153256904e-07,0.0009415087416539069,-1.6639288527692263e-06,0.0009406901525164626,0.03067067251490359,False
spatial,original,29,E,7.246548151023665e-07,0.0008045171563422708,7.476988375921597e-07,0.000805989509994968,0.028389954385221686,False
spatial,original,29,F,7.786278713668928e-07,0.0010505920817214039,5.32041032179659e-08,0.0010514239136959866,0.03242566751349903,False
spatial,original,43,E,6.923913056693313e-07,0.000869606516904178,4.503652937057708e-07,0.0008707492735035541,0.029508461049393173,False
spatial,original,43,F,7.228070954043492e-07,0.001074017944076191,-2.359357354606024e-06,0.001072381393816989,0.03274723490337755,False
spatial,shorter,29,E,7.872266926857309e-07,0.0007399684991020387,1.3034179408261057e-06,0.0007420591437355519,0.027240762539539012,False
spatial,shorter,29,F,9.01255630806962e-07,0.0010125005809666038,-1.4221154190388085e-06,0.0010119797211783723,0.031811628709928895,False
spatial,shorter,43,E,8.031855687897632e-07,0.0007260211465327403,3.127673810693772e-06,0.0007299520059122235,0.027017623987172217,False
spatial,shorter,43,F,8.81963153369242e-07,0.0010156863456176645,-8.305074273119854e-07,0.0010157378013437223,0.031870641683902794,False
