seed,comparison,layer,passed,gain,noninferior,relative_changes
29,E_vs_soft,A,True,"{'S': True, 'Ephi': True}","{'ET': True, 'EI': True, 'EV': True}","{'S': -0.13881318136769083, 'Ephi': -0.2021982252362632, 'ET': -0.05728174569683686, 'EI': -0.5619668946834568, 'EV': -0.5788651406348853}"
29,E_vs_soft,B,True,"{'bottom_current_NRMSE': True, 'power_trace_NRMSE': True}","{'S': True, 'Ephi': True, 'ET': True, 'EV': True, 'EI': True}","{'bottom_current_NRMSE': -0.5619668946833628, 'power_trace_NRMSE': -0.5720784634702211, 'S': -0.13881318136769083, 'Ephi': -0.2021982252362632, 'ET': -0.05728174569683686, 'EV': -0.5788651406348853, 'EI': -0.5619668946834568}"
29,soft_vs_E,A,False,"{'S': False, 'Ephi': False}","{'ET': False, 'EI': False, 'EV': False}","{'S': 0.16118823275552047, 'Ephi': 0.253444190815623, 'ET': 0.06076231730463126, 'EI': 1.2829324721412398, 'EV': 1.3745362744550715}"
29,soft_vs_E,B,False,"{'bottom_current_NRMSE': False, 'power_trace_NRMSE': False}","{'S': False, 'Ephi': False, 'ET': False, 'EV': False, 'EI': False}","{'bottom_current_NRMSE': 1.2829324721407498, 'power_trace_NRMSE': 1.3368770081297607, 'S': 0.16118823275552047, 'Ephi': 0.253444190815623, 'ET': 0.06076231730463126, 'EV': 1.3745362744550715, 'EI': 1.2829324721412398}"
29,E_vs_B_E,A,True,"{'S': True, 'Ephi': True}","{'ET': True, 'EI': True, 'EV': True}","{'S': -0.31057225032232477, 'Ephi': -0.2554942812405865, 'ET': -0.1389406394364185, 'EI': -0.503641859423105, 'EV': -0.47828443706591495}"
29,E_vs_B_E,B,True,"{'bottom_current_NRMSE': True, 'power_trace_NRMSE': True}","{'S': True, 'Ephi': True, 'ET': True, 'EV': True, 'EI': True}","{'bottom_current_NRMSE': -0.5036418594229781, 'power_trace_NRMSE': -0.512268450164135, 'S': -0.31057225032232477, 'Ephi': -0.2554942812405865, 'ET': -0.1389406394364185, 'EV': -0.47828443706591495, 'EI': -0.503641859423105}"
29,soft_vs_B_E,A,False,"{'S': True, 'Ephi': False}","{'ET': True, 'EI': False, 'EV': False}","{'S': -0.19944460973916492, 'Ephi': -0.06680363179200309, 'ET': -0.08662067735173126, 'EI': 0.13315211693463982, 'EV': 0.23883252913473277}"
29,soft_vs_B_E,B,False,"{'bottom_current_NRMSE': False, 'power_trace_NRMSE': False}","{'S': True, 'Ephi': True, 'ET': True, 'EV': False, 'EI': False}","{'bottom_current_NRMSE': 0.13315211693468634, 'power_trace_NRMSE': 0.13976864495092733, 'S': -0.19944460973916492, 'Ephi': -0.06680363179200309, 'ET': -0.08662067735173126, 'EV': 0.23883252913473277, 'EI': 0.13315211693463982}"
43,E_vs_soft,A,True,"{'S': True, 'Ephi': True}","{'ET': True, 'EI': True, 'EV': True}","{'S': -0.1037114343487054, 'Ephi': -0.20305428005290768, 'ET': -0.03925397189361796, 'EI': -0.7719988678728424, 'EV': -0.7644081553871558}"
43,E_vs_soft,B,True,"{'bottom_current_NRMSE': True, 'power_trace_NRMSE': True}","{'S': True, 'Ephi': True, 'ET': True, 'EV': True, 'EI': True}","{'bottom_current_NRMSE': -0.7719988678728242, 'power_trace_NRMSE': -0.7826085123528717, 'S': -0.1037114343487054, 'Ephi': -0.20305428005290768, 'ET': -0.03925397189361796, 'EV': -0.7644081553871558, 'EI': -0.7719988678728424}"
43,soft_vs_E,A,False,"{'S': False, 'Ephi': False}","{'ET': True, 'EI': False, 'EV': False}","{'S': 0.11571210246706956, 'Ephi': 0.25479060238429796, 'ET': 0.04085780294193569, 'EI': 3.385943134011696, 'EV': 3.244629102689581}"
43,soft_vs_E,B,False,"{'bottom_current_NRMSE': False, 'power_trace_NRMSE': False}","{'S': False, 'Ephi': False, 'ET': True, 'EV': False, 'EI': False}","{'bottom_current_NRMSE': 3.385943134011344, 'power_trace_NRMSE': 3.599996121390036, 'S': 0.11571210246706956, 'Ephi': 0.25479060238429796, 'ET': 0.04085780294193569, 'EV': 3.244629102689581, 'EI': 3.385943134011696}"
43,E_vs_B_E,A,True,"{'S': True, 'Ephi': True}","{'ET': True, 'EI': True, 'EV': True}","{'S': -0.31860557373797505, 'Ephi': -0.27050756777196927, 'ET': -0.14368608182872591, 'EI': -0.6594829325321182, 'EV': -0.6405948604678643}"
43,E_vs_B_E,B,True,"{'bottom_current_NRMSE': True, 'power_trace_NRMSE': True}","{'S': True, 'Ephi': True, 'ET': True, 'EV': True, 'EI': True}","{'bottom_current_NRMSE': -0.6594829325320847, 'power_trace_NRMSE': -0.6716551565110066, 'S': -0.31860557373797505, 'Ephi': -0.27050756777196927, 'ET': -0.14368608182872591, 'EV': -0.6405948604678643, 'EI': -0.6594829325321182}"
43,soft_vs_B_E,A,False,"{'S': True, 'Ephi': False}","{'ET': True, 'EI': False, 'EV': False}","{'S': -0.23975999206585352, 'Ephi': -0.08463975152980269, 'ET': -0.10869897650364717, 'EI': 0.4934884940745536, 'EV': 0.525541514914313}"
43,soft_vs_B_E,B,False,"{'bottom_current_NRMSE': False, 'power_trace_NRMSE': False}","{'S': True, 'Ephi': True, 'ET': True, 'EV': False, 'EI': False}","{'bottom_current_NRMSE': 0.49348849407458095, 'power_trace_NRMSE': 0.510385006527788, 'S': -0.23975999206585352, 'Ephi': -0.08463975152980269, 'ET': -0.10869897650364717, 'EV': 0.525541514914313, 'EI': 0.4934884940745536}"
