Reference,Seed,Role,Cycle,Recall,Precision,Mass ratio,Timing,Recovery,FN mass,FP mass
old,29,E,1,0.8666065795403333,0.9640305802732171,0.8989409643983776,0.0033333333333332993,1.0,9.250000000000013e-05,2.242187500000009e-05
old,29,E,2,0.9661480594973499,0.8903418938080983,1.0851427594460592,0.002775000000000194,1.0,3.093750000000004e-05,0.00010875000000000001
old,29,E_C,1,0.8828301036502928,0.955609756097561,0.9238395673726902,0.004379999999999967,1.0,8.125000000000005e-05,2.8437499999999926e-05
old,29,E_C,2,0.9681142075568476,0.913159167876149,1.060181227560267,0.0015249999999999986,1.0,2.914062499999976e-05,8.414062500000001e-05
old,29,E_R,1,0.88609734114466,0.9524097844514413,0.930374042361424,0.005416666666666625,1.0,7.898437499999984e-05,3.0703124999999806e-05
old,29,E_R,2,0.9657206360061549,0.9127413751312918,1.0580441101042914,0.0002750000000000252,1.0,3.1328125e-05,8.437500000000003e-05
old,29,E_I,1,0.8641279855790894,0.9678233438485802,0.8928571428571429,0.001574999999999993,1.0,9.421875000000012e-05,1.992187500000019e-05
old,29,E_I,2,0.9634980338519403,0.9124099409050427,1.0559924773465554,0.0015249999999999986,1.0,3.3359375000000186e-05,8.453125000000062e-05
old,29,F,1,0.8333708877872918,0.8591173054587693,0.9700315457413248,0.016666666666666635,1.0,0.00011554687499999976,9.476562499999969e-05
old,29,F,2,0.9593947683364678,0.8831444759206795,1.0863395452214057,0.0008374999999998245,1.0,3.710937500000003e-05,0.00011601562500000045
old,43,E,1,0.8755069851284363,0.9471054235222427,0.9244028841820638,0.0034899999999999654,1.0,8.632812499999992e-05,3.3906249999999865e-05
old,43,E,2,0.9649512737220038,0.8953045685279188,1.0777910753975037,0.0044400000000002215,1.0,3.203124999999994e-05,0.00010312499999999992
old,43,E_C,1,0.8957863902658856,0.94486036838978,0.948062190175755,0.003879999999999967,1.0,7.226562499999996e-05,3.625000000000004e-05
old,43,E_C,2,0.9612754316977264,0.9234622649256795,1.0409471704564888,0.0007833333333333581,1.0,3.5390624999999724e-05,7.281250000000007e-05
old,43,E_R,1,0.8921811626858945,0.9498620606932947,0.9392744479495271,0.0032999999999999696,1.0,7.476562499999996e-05,3.265625000000013e-05
old,43,E_R,2,0.959394768336468,0.9242361854566418,1.038040690716362,0.0007833333333333581,1.0,3.7109374999999816e-05,7.187499999999989e-05
old,43,E_I,1,0.8986029743127534,0.9449117403151281,0.9509914375844978,0.0037499999999999756,1.0,7.031250000000006e-05,3.632812500000023e-05
