protocol,seed,candidate,baseline,layer,kind,metric,reference_delta,base_normalizer,relative_radius,absolute_radius,sufficient_radius,nominal_pass,certified_at_observed_radius
original,29,original/29/E,original/29/F,A,gain,S,1.6874999999999953e-05,1.0,2.258771929824568,5.775166666666683,2.258771929824568,True,True
original,29,original/29/E,original/29/F,A,gain,Ephi,0.0003903451477262402,1.0,2.0844971778381063,5.051491945906699,2.0844971778381063,True,True
original,29,original/29/E,original/29/F,A,noninferior,ET,0.0004479333627881214,1.0,0.9546165684240985,0.36953144708590135,0.9546165684240985,True,False
original,29,original/29/E,original/29/F,A,noninferior,EI,0.00026573135288415544,0.5192396884541327,8.711649675772192,8.105900823107367,8.711649675772192,True,True
original,29,original/29/E,original/29/F,A,noninferior,EV,7.216584788074379e-05,1.0,9.721216201417965,9.062928894959585,9.721216201417965,True,True
original,29,original/29/E,original/29/F,B,gain,bottom_current_NRMSE,0.00026573135288415544,0.5192396884541327,6.795686094010434,8.10394682172985,6.795686094010434,True,True
original,29,original/29/E,original/29/F,B,gain,power_trace_NRMSE,0.0001870039609800658,0.3596171853089629,7.005973932447931,8.315676807948552,7.005973932447931,True,True
original,29,original/29/E,original/29/F,B,noninferior,S,1.6874999999999953e-05,1.0,7.405149051490539,5.775759259259275,7.405149051490539,True,True
original,29,original/29/E,original/29/F,B,noninferior,Ephi,0.0003903451477262402,1.0,6.428315254539527,5.054053781261449,6.428315254539527,True,True
original,29,original/29/E,original/29/F,B,noninferior,ET,0.0004479333627881214,1.0,0.9546165684240985,0.36953144708590135,0.9546165684240985,True,False
original,29,original/29/E,original/29/F,B,noninferior,EV,7.216584788074379e-05,1.0,9.721216201417965,9.062928894959585,9.721216201417965,True,True
original,29,original/29/E,original/29/F,B,noninferior,EI,0.00026573135288415544,0.5192396884541327,8.711649675772192,8.105900823107367,8.711649675772192,True,True
original,29,original/29/E,original/B_E,A,gain,S,1.6874999999999953e-05,1.0,7.4078947368421355,11.21035185185189,7.4078947368421355,True,True
original,29,original/29/E,original/B_E,A,gain,Ephi,0.0003903451477262402,1.0,1.8212507478608673,4.7736207142640605,1.8212507478608673,True,True
original,29,original/29/E,original/B_E,A,noninferior,ET,0.0004479333627881214,1.0,3.638877894618539,2.989881789323331,3.638877894618539,True,True
original,29,original/29/E,original/B_E,A,noninferior,EI,0.00026573135288415544,0.5192396884541327,9.115829188130284,8.500456816464652,9.115829188130284,True,True
original,29,original/29/E,original/B_E,A,noninferior,EV,7.216584788074379e-05,1.0,9.3995274833962,8.748899432128812,9.3995274833962,True,True
original,29,original/29/E,original/B_E,B,gain,bottom_current_NRMSE,0.00026573135288415544,0.5192396884541327,7.169476169345783,8.498502815083611,7.169476169345783,True,True
original,29,original/29/E,original/B_E,B,gain,power_trace_NRMSE,0.0001870039609800658,0.3596171853089629,7.268276117244881,8.592551197908136,7.268276117244881,True,True
