Case,Seed,Method,Cycle,Pre ROI,Peak ROI,Peak full,Peak outside,Recovery
O,29,E,1,0.0,0.06973140495867769,0.02109375,0.0,1.0
O,29,E,2,0.0,0.06766528925619834,0.02046875,0.0,1.0
O,29,F,1,0.0,0.06611570247933884,0.02,0.0,1.0
O,29,F,2,0.0,0.06740702479338843,0.020390625,0.0,1.0
O,--,B_E,1,0.0,0.05965909090909091,0.018046875,0.0,1.0
O,--,B_E,2,0.0,0.05371900826446281,0.01625,0.0,1.0
S,29,E,1,0.0,0.06714876033057851,0.0203125,0.0,1.0
S,29,E,2,0.0,0.07799586776859505,0.02359375,0.0,1.0
S,29,F,1,0.0,0.060950413223140494,0.0184375,0.0,1.0
S,29,F,2,0.0,0.08006198347107438,0.02421875,0.0,1.0
S,--,B_E,1,0.0,0.05965909090909091,0.018046875,0.0,1.0
S,--,B_E,2,0.0,0.06430785123966942,0.019453125,0.0,1.0
O,43,E,1,0.0,0.06120867768595041,0.018515625,0.0,1.0
O,43,E,2,0.0,0.07076446280991736,0.02140625,0.0,1.0
O,43,F,1,0.0,0.05785123966942149,0.0175,0.0,1.0
O,43,F,2,0.0,0.06921487603305786,0.0209375,0.0,1.0
S,43,E,1,0.0,0.0699896694214876,0.021171875,0.0,1.0
S,43,E,2,0.0,0.07902892561983471,0.02390625,0.0,1.0
S,43,F,1,0.0,0.06327479338842976,0.019140625,0.0,1.0
S,43,F,2,0.0,0.07773760330578512,0.023515625,0.0,1.0
