reference,reader,protocol,seed,comparison,metric,candidate_error,control_error,signed_candidate_minus_control,difference_percentage_points,relative_error_reduction
old,coarse,original,29,E_vs_F,S,0.001030078125,0.001225,-0.000194921875,,0.1591198979591837
old,coarse,original,29,E_vs_F,Ephi,0.020042062839986767,0.023986713579712493,-0.003944650739725726,,0.16445148797132578
old,coarse,original,29,E_vs_F,ET,0.010600719518901736,0.010930770446400033,-0.00033005092749829705,-0.033005092749829705,0.03019466277484556
old,coarse,original,29,E_vs_F,EV,0.001295806378420051,0.0026037742743953525,-0.0013079678959753015,,0.5023353632599498
old,coarse,original,29,E_vs_F,EI,0.008582725577116241,0.016878445249982235,-0.008295719672865994,-0.8295719672865994,0.4914978571782093
old,coarse,original,29,E_vs_F,bottom_current_NRMSE,0.008582725577119891,0.01687844524998299,-0.0082957196728631,-0.82957196728631,0.49149785717801586
old,coarse,original,29,E_vs_F,power_trace_NRMSE,0.008624890741396128,0.01727433882661583,-0.008649448085219703,-0.8649448085219703,0.5007108041607282
old,coarse,original,29,E_vs_F,energy_error,0.0027517159515824587,0.0016092828994405844,0.0011424330521418744,0.11424330521418744,-0.7099019398882599
old,coarse,original,29,E_vs_F,local_joule_NRMSE,0.04735616535447262,0.0926130912791254,-0.04525692592465278,,0.4886666161293927
old,coarse,original,29,E_vs_B_E,S,0.001030078125,0.0014084375000000002,-0.0003783593750000002,,0.2686376747282007
old,coarse,original,29,E_vs_B_E,Ephi,0.020042062839986767,0.023769782205783657,-0.00372771936579689,,0.15682597903189296
old,coarse,original,29,E_vs_B_E,ET,0.010600719518901736,0.013278255127362866,-0.0026775356084611304,-0.267753560846113,0.20164815201836717
old,coarse,original,29,E_vs_B_E,EV,0.001295806378420051,0.002558449869505918,-0.0012626434910858672,,0.4935189491634268
old,coarse,original,29,E_vs_B_E,EI,0.008582725577116241,0.01728228938076691,-0.008699563803650669,-0.869956380365067,0.5033802878762247
old,coarse,original,29,E_vs_B_E,bottom_current_NRMSE,0.008582725577119891,0.017282289380764062,-0.00869956380364417,-0.869956380364417,0.5033802878759317
old,coarse,original,29,E_vs_B_E,power_trace_NRMSE,0.008624890741396128,0.017562292993545878,-0.00893740225214975,-0.893740225214975,0.5088972297315751
old,coarse,original,29,E_vs_B_E,energy_error,0.0027517159515824587,0.011849409958004114,-0.009097694006421655,-0.9097694006421655,0.7677761203861706
old,coarse,original,29,E_vs_B_E,local_joule_NRMSE,0.04735616535447262,0.0981319028410548,-0.050775737486582186,,0.517423345686307
old,coarse,original,43,E_vs_F,S,0.0011316406249999998,0.0012525000000000001,-0.00012085937500000031,,0.09649451097804415
old,coarse,original,43,E_vs_F,Ephi,0.021619161166716246,0.02448208540577694,-0.002862924239060694,,0.11693955770553523
old,coarse,original,43,E_vs_F,ET,0.010330845552147926,0.010446690661100185,-0.00011584510895225851,-0.011584510895225851,0.011089168111737538
old,coarse,original,43,E_vs_F,EV,0.0023572941029588812,0.00464752889807411,-0.0022902347951152284,,0.4927854878028363
old,coarse,original,43,E_vs_F,EI,0.015717843041697634,0.030696582612246257,-0.014978739570548624,-1.4978739570548623,0.4879611440712272
old,coarse,original,43,E_vs_F,bottom_current_NRMSE,0.01571784304170005,0.030696582612248655,-0.014978739570548606,-1.4978739570548607,0.4879611440711885
old,coarse,original,43,E_vs_F,power_trace_NRMSE,0.01592750502299147,0.03175752257654098,-0.015830017553549507,-1.5830017553549507,0.49846512792036907
old,coarse,original,43,E_vs_F,energy_error,0.006568905729493914,0.012191155965982461,-0.005622250236488547,-0.5622250236488547,0.46117449831472657
old,coarse,original,43,E_vs_F,local_joule_NRMSE,0.07846803668388758,0.12783682347357958,-0.049368786789692004,,0.3861859630757737
old,coarse,original,43,E_vs_B_E,S,0.0011316406249999998,0.0014084375000000002,-0.00027679687500000035,,0.19652762369647236
old,coarse,original,43,E_vs_B_E,Ephi,0.021619161166716246,0.023769782205783657,-0.002150621039067411,,0.0904771032586122
old,coarse,original,43,E_vs_B_E,ET,0.010330845552147926,0.013278255127362866,-0.0029474095752149397,-0.294740957521494,0.22197265732160332
old,coarse,original,43,E_vs_B_E,EV,0.0023572941029588812,0.002558449869505918,-0.00020115576654703695,,0.07862407973851904
old,coarse,original,43,E_vs_B_E,EI,0.015717843041697634,0.01728228938076691,-0.0015644463390692767,-0.15644463390692767,0.09052309590477726
old,coarse,original,43,E_vs_B_E,bottom_current_NRMSE,0.01571784304170005,0.017282289380764062,-0.0015644463390640136,-0.15644463390640134,0.09052309590448765
old,coarse,original,43,E_vs_B_E,power_trace_NRMSE,0.01592750502299147,0.017562292993545878,-0.0016347879705544063,-0.16347879705544063,0.09308510973795898
old,coarse,original,43,E_vs_B_E,energy_error,0.006568905729493914,0.011849409958004114,-0.0052805042285102,-0.52805042285102,0.4456343604639395
old,coarse,original,43,E_vs_B_E,local_joule_NRMSE,0.07846803668388758,0.0981319028410548,-0.019663866157167226,,0.2003819918688113
