reference,seed,role,A,B,strict_increment,strict_capability
old,29,E_R,False,False,False,False
old,29,E_I,False,False,False,False
old,43,E_R,False,False,False,False
old,43,E_I,False,False,False,False
refined,29,E_R,False,False,False,False
refined,29,E_I,False,False,False,False
refined,43,E_R,False,False,False,False
refined,43,E_I,False,False,True,True
spatial,29,E_R,False,False,False,False
spatial,29,E_I,False,False,False,False
spatial,43,E_R,False,False,False,False
spatial,43,E_I,False,False,False,False
