scope,state,reference_semantics,predicted_mass,reference_mass,true_positive_mass,false_positive_mass,false_negative_mass,symmetric_difference_mass,recall,precision
full,B0,restricted_native_indicator,0.020380563446969716,0.008590790719696971,0.008372691761363639,0.012007871685606077,0.00021809895833333273,0.01222597064393941,0.9746124698587668,0.41081748221286457
full,B0,threshold_after_restriction,0.020380563446969716,0.008526278409090916,0.008372987689393943,0.012007575757575772,0.00015329071969697253,0.012160866477272745,0.9820213799805634,0.4108320023232175
full,coarse,restricted_native_indicator,0.007359730113636368,0.008590790719696971,0.006553030303030305,0.0008066998106060624,0.002037760416666666,0.0028444602272727285,0.7627971064416122,0.8903900281463609
full,coarse,threshold_after_restriction,0.007359730113636368,0.008526278409090916,0.006618726325757579,0.0007410037878787887,0.0019075520833333366,0.0026485558712121254,0.7762737748160486,0.8993164455166867
full,fine,restricted_native_indicator,0.007366832386363641,0.008590790719696971,0.0065580610795454575,0.0008087713068181835,0.002032729640151514,0.0028415009469696974,0.7633827075439202,0.8902145095203662
full,fine,threshold_after_restriction,0.007366832386363641,0.008526278409090916,0.00662464488636364,0.0007421875000000007,0.0019016335227272753,0.002643821022727276,0.7769679300291544,0.8992528320077127
roi,B0,restricted_native_indicator,0.06737376346105683,0.0283993081642875,0.02767831987227648,0.039695443588780355,0.0007209882920110183,0.04041643188079137,0.9746124698587668,0.41081748221286485
roi,B0,threshold_after_restriction,0.06737376346105683,0.028186044327573247,0.027679298146756817,0.039694465314300015,0.0005067461808164302,0.04020121149511645,0.9820213799805636,0.41083200232321765
roi,coarse,restricted_native_indicator,0.024329686326070618,0.0283993081642875,0.021662910092662156,0.002666776233408462,0.006736398071625342,0.009403174305033804,0.7627971064416121,0.8903900281463611
roi,coarse,threshold_after_restriction,0.024329686326070618,0.028186044327573247,0.021880087027297768,0.0024495992987728504,0.006305957300275479,0.00875555659904833,0.776273774816049,0.8993164455166869
roi,fine,restricted_native_indicator,0.024353164913598794,0.0283993081642875,0.02167954075882795,0.002673624154770845,0.006719767405459549,0.009393391560230394,0.7633827075439202,0.8902145095203665
roi,fine,threshold_after_restriction,0.024353164913598794,0.028186044327573247,0.02189965251690458,0.0024535123966942136,0.006286391810668666,0.00873990420736288,0.7769679300291547,0.8992528320077128
