step,time,residual_inf,residual_rate_inf,iterations,linear_solves,residual_evaluations,jacobian_evaluations,decrease_rejections,phase_min,phase_max
1,1.3606250000000002,2.1955093992831465e-16,3.5128150388530344e-13,3,3,7,4,0,8.99085654213616e-08,0.9704144041451088
2,1.36125,2.1532932771919921e-16,3.4452692435071874e-13,3,3,7,4,0,8.947991638873654e-08,0.9704537799503802
3,1.3618750000000002,1.5975719011573908e-16,2.5561150418518253e-13,3,3,7,4,0,8.905321501122701e-08,0.9704877413227032
4,1.3625,2.1032844519860983e-16,3.365255123177757e-13,3,3,7,4,0,8.862845245834686e-08,0.9705164014850464
5,1.3631250000000001,2.020681798969859e-16,3.233090878351774e-13,3,3,7,4,0,8.820561997002827e-08,0.9705398716590463
6,1.36375,2.1215126010110108e-16,3.3944201616176173e-13,3,3,7,4,0,8.778470885535351e-08,0.9705582610589972
7,1.3643750000000001,2.116836979142167e-16,3.3869391666274673e-13,3,3,7,4,0,8.736571049128546e-08,0.9705716768888267
8,1.365,2.2325077984192143e-16,3.572012477470743e-13,3,3,7,4,0,8.694861632139421e-08,0.9705802243418196
9,1.365625,2.532018648568335e-16,4.051229837709336e-13,3,3,7,4,0,8.653341785458279e-08,0.9705840066028688
10,1.3662500000000002,1.8610330290713684e-16,2.9776528465141894e-13,3,3,7,4,0,8.612010666381491e-08,0.9705831248530555
11,1.366875,2.3510924110348164e-16,3.761747857655706e-13,3,3,7,4,0,8.570867438484259e-08,0.9705776782763722
12,1.3675000000000002,2.1684721076067892e-16,3.4695553721708627e-13,3,3,7,4,0,8.529911271493638e-08,0.970567764068427
13,1.368125,1.9512928599307866e-16,3.1220685758892586e-13,3,3,7,4,0,8.489141341161965e-08,0.97055347744697
14,1.3687500000000001,2.1978810915354585e-16,3.5166097464567336e-13,3,3,7,4,0,8.448556829140764e-08,0.9705349116641045
15,1.369375,2.13316777436523e-16,3.413068438984368e-13,3,3,7,4,0,8.408156922855218e-08,0.9705121580200552
16,1.37,1.6400929551095567e-16,2.6241487281752907e-13,3,3,7,4,0,8.367940815379346e-08,0.9704853058783706
17,1.3706250000000002,1.6988855119784776e-16,2.718216819165564e-13,3,3,7,4,0,8.327907705312057e-08,0.9704544426824543
18,1.37125,1.8344700758454735e-16,2.9351521213527576e-13,3,3,7,4,0,8.288056796654071e-08,0.9704196539733204
19,1.3718750000000002,2.2741140567883456e-16,3.638582490861353e-13,3,3,7,4,0,8.248387298685811e-08,0.9703810234084802
20,1.3725,2.0285422647203788e-16,3.245667623552606e-13,3,3,7,4,0,8.208898425846604e-08,0.9703386327818729
21,1.3731250000000002,1.850733108432756e-16,2.9611729734924097e-13,3,3,7,4,0,8.16958939761501e-08,0.9702925620447561
22,1.37375,2.0448052973076614e-16,3.271688475692258e-13,3,3,7,4,0,8.130459438390546e-08,0.970242889327483
23,1.3743750000000001,2.1820923973986384e-16,3.4913478358378214e-13,3,3,7,4,0,8.091507777376805e-08,0.9701896909620898
24,1.375,2.5286305167793177e-16,4.0458088268469083e-13,3,3,7,4,0,8.052733648466226e-08,0.970133041505628
25,1.375625,2.2199039481640703e-16,3.5518463170625125e-13,3,3,7,4,0,8.014136290126376e-08,0.9700730137641773
26,1.3762500000000002,9.426852596867551e-11,1.5082964154988082e-07,2,2,5,3,0,7.975714945818131e-08,0.9700096788174071
27,1.376875,8.717835713034899e-11,1.3948537140855838e-07,2,2,5,3,0,7.937468862290778e-08,0.9699431060439471
28,1.3775000000000002,8.059787907877761e-11,1.2895660652604418e-07,2,2,5,3,0,7.899397291073147e-08,0.9698733631469235
29,1.378125,7.449354531125461e-11,1.1918967249800738e-07,2,2,5,3,0,7.861499487832757e-08,0.9698005161801514
30,1.3787500000000001,6.883355436202235e-11,1.1013368697923576e-07,2,2,5,3,0,7.82377471227165e-08,0.9697246295746806
31,1.379375,6.358782714244691e-11,1.0174052342791506e-07,2,2,5,3,0,7.78622222802425e-08,0.9696457661656932
32,1.3800000000000001,5.872800366130658e-11,9.396480585809053e-08,2,2,5,3,0,7.74884130255761e-08,0.9695639872197052
33,1.380625,5.4227347560790486e-11,8.676375609726478e-08,2,2,5,3,0,7.711631207073707e-08,0.9694793524620264
34,1.38125,5.0060767231335963e-11,8.009722757013754e-08,2,2,5,3,0,7.674591216414191e-08,0.9693919201044365
35,1.3818750000000002,4.6204700669357814e-11,7.39275210709725e-08,2,2,5,3,0,7.637720608967504e-08,0.9693017468730338
36,1.3825,4.2637064167380494e-11,6.821930266780879e-08,2,2,5,3,0,7.601018666578288e-08,0.9692088880362166
37,1.3831250000000002,3.9337223691100764e-11,6.293955790576122e-08,2,2,5,3,0,7.56448467445943e-08,0.9691133974327599
38,1.38375,3.62858556949338e-11,5.8057369111894075e-08,2,2,5,3,0,7.528117921106522e-08,0.9690153274999462
39,1.3843750000000001,3.346496170453239e-11,5.354393872725183e-08,2,2,5,3,0,7.491917698214859e-08,0.9689147293017197
