step,time,residual_inf,residual_rate_inf,iterations,linear_solves,residual_evaluations,jacobian_evaluations,decrease_rejections,phase_min,phase_max
1,1.3603125,9.963630327692805e-11,3.1883617048616975e-07,2,2,5,3,0,9.012337798324583e-08,0.9703933559769362
2,1.3606250000000002,9.32616478618517e-11,2.9843727315792545e-07,2,2,5,3,0,8.990807635887846e-08,0.970415809166712
3,1.3609375000000001,8.732745657245161e-11,2.7944786103184516e-07,2,2,5,3,0,8.969326501369858e-08,0.9704368729070119
4,1.36125,8.180014852325959e-11,2.617604752744307e-07,2,2,5,3,0,8.947894282782563e-08,0.9704565617214995
5,1.3615625,7.664897048228342e-11,2.4527670554330694e-07,2,2,5,3,0,8.926510868592963e-08,0.9704748900111186
6,1.3618750000000002,7.18458006304136e-11,2.299065620173235e-07,2,2,5,3,0,8.905176147719113e-08,0.9704918720536017
7,1.3621875,6.736485848313212e-11,2.1556754714602278e-07,2,2,5,3,0,8.883890009526225e-08,0.9705075220030412
8,1.3625,6.318246121607418e-11,2.0218387589143738e-07,2,2,5,3,0,8.862652343822672e-08,0.9705218538895202
9,1.3628125000000002,5.92769054327813e-11,1.8968609738490017e-07,2,2,5,3,0,8.84146304085604e-08,0.9705348816187976
10,1.3631250000000001,5.562822782707172e-11,1.780103290466295e-07,2,2,5,3,0,8.82032199130919e-08,0.9705466189720486
11,1.3634375,5.2218013712936745e-11,1.6709764388139758e-07,2,2,5,3,0,8.79922908629617e-08,0.9705570796056563
12,1.36375,4.902940304186282e-11,1.5689408973396102e-07,2,2,5,3,0,8.778184217358387e-08,0.9705662770510511
13,1.3640625000000002,4.6046770780031054e-11,1.4734966649609937e-07,2,2,5,3,0,8.75718727646049e-08,0.9705742247146002
14,1.3643750000000001,4.3255698339590004e-11,1.38418234686688e-07,2,2,5,3,0,8.73623815598648e-08,0.9705809358775401
15,1.3646875,4.0642959917708277e-11,1.3005747173666649e-07,2,2,5,3,0,8.71533674873567e-08,0.9705864236959545
16,1.365,3.819627676215215e-11,1.2222808563888687e-07,2,2,5,3,0,8.694482947918706e-08,0.9705907012007926
17,1.3653125000000002,3.59042903914919e-11,1.1489372925277408e-07,2,2,5,3,0,8.673676647153563e-08,0.9705937812979283
18,1.365625,3.375651575756797e-11,1.080208504242175e-07,2,2,5,3,0,8.65291774046161e-08,0.9705956767682579
19,1.3659375,3.1743232391592824e-11,1.0157834365309704e-07,2,2,5,3,0,8.632206122263528e-08,0.9705964002678336
20,1.3662500000000002,2.9855432579287133e-11,9.553738425371883e-08,2,2,5,3,0,8.611541687375467e-08,0.9705959643280337
21,1.3665625000000001,2.808477690859068e-11,8.987128610749018e-08,2,2,5,3,0,8.590924331004887e-08,0.970594381355767
22,1.366875,2.642352851280061e-11,8.455529124096195e-08,2,2,5,3,0,8.570353948746755e-08,0.9705916636337073
23,1.3671875,2.4864489048433136e-11,7.956636495498604e-08,2,2,5,3,0,8.549830436579473e-08,0.970587823320563
24,1.3675000000000002,2.340099999626616e-11,7.488319998805171e-08,2,2,5,3,0,8.52935369086092e-08,0.9705828724513732
25,1.3678125,2.2026829579052665e-11,7.048585465296853e-08,2,2,5,3,0,8.508923608324543e-08,0.9705768229378355
26,1.368125,2.0736222255349906e-11,6.63559112171197e-08,2,2,5,3,0,8.488540086075332e-08,0.9705696865686595
27,1.3684375000000002,1.952380417708996e-11,6.247617336668787e-08,2,2,5,3,0,8.468203021585982e-08,0.9705614750099482
28,1.3687500000000001,1.8384590724784822e-11,5.883069031931143e-08,2,2,5,3,0,8.447912312692854e-08,0.9705521998056038
29,1.3690625,1.7313950186753635e-11,5.540464059761163e-08,2,2,5,3,0,8.427667857592126e-08,0.97054187237776
30,1.369375,1.630750542198564e-11,5.218401735035405e-08,2,2,5,3,0,8.407469554835872e-08,0.970530504027235
31,1.3696875000000002,1.5361206555895845e-11,4.9155860978866706e-08,2,2,5,3,0,8.387317303328152e-08,0.9705181059340101
32,1.37,1.4471315693074388e-11,4.630821021783804e-08,2,2,5,3,0,8.36721100232115e-08,0.9705046891577278
33,1.3703125,1.3634309935402211e-11,4.3629791793287076e-08,2,2,5,3,0,8.347150551411222e-08,0.9704902646382123
