reference,reader,object,metrics.S,metrics.Ephi,metrics.ET,metrics.EV,metrics.EI,metrics.energy_error,metrics.electric_fv_rms,metrics.current_balance_rms,metrics.power_defect_rms,metrics.phase_max,metrics.power_trace_rms_error,metrics.power_trace_NRMSE,metrics.input_power_rms_error,metrics.input_power_NRMSE,metrics.bottom_current_rms_error,metrics.bottom_current_NRMSE,metrics.local_joule_NRMSE,metrics.top_current_rms_error,metrics.bottom_native_NRMSE,cycles,valid,strict_device_pass,event_failures,readout,normalizers.top_current,normalizers.bottom_current,normalizers.power,normalizers.local_q,fixed_old_denominator.EI,fixed_old_denominator.bottom_current_NRMSE,fixed_old_denominator.power_trace_NRMSE,fixed_old_denominator.local_joule_NRMSE,id,protocol,seed,role,origin,readout_grid,field_event_grid,local_q_measure,native_240_local_q_NRMSE
old,coarse,shorter/29/E,0.004039843750000001,0.0659007411448824,0.011156946981216099,0.001359273582296164,0.008167948804133605,0.002748240117777411,8.921347655473373e-13,1.2603881368016516e-14,6.683077205310552e-15,0.9957547210799541,0.002979809993096412,0.008166917910243179,0.002979809993097398,0.008166917910245881,0.0043014130612772355,0.008167948804129884,0.1476013154711223,0.004301413061279195,0.008167948804126956,"[{""cycle"": 1, ""event_time"": 0.23761000000000002, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.06740702479338843, ""peak_full_domain_fraction"": 0.020390625, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 152, ""recall"": 0.9210229833258226, ""precision"": 0.9417117843566407, ""mass_ratio"": 0.9780306444344303, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.002989999999999965, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.000678203125, ""true_positive_target_mass"": 0.0006386718749999998, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 5.476562499999991e-05, ""false_positive_target_mass"": 3.953125000000018e-05}, {""cycle"": 2, ""event_time"": 1.2248, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.09607438016528926, ""peak_full_domain_fraction"": 0.0290625, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 629, ""recall"": 0.7716703710035906, ""precision"": 0.8548295454545455, ""mass_ratio"": 0.9027184134040009, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": 0.0020000000000000018, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0008250000000000002, ""true_positive_target_mass"": 0.0007052343750000002, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00020867187499999976, ""false_positive_target_mass"": 0.00011976562499999997}]",True,False,[],COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.008167948804133605,0.008167948804129884,0.008166917910243179,0.1476013154711223,shorter/29/E,shorter,29,E,b1_missing_phase,"[160, 80]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
old,coarse,shorter/29/D_E,0.004107890625,0.06679965118622742,0.011190639850807484,0.0014472155926503023,0.008815845808802476,0.0034715880256982836,8.918782687141874e-13,1.3004302413008583e-14,7.551001199350185e-15,0.9958282066103568,0.00322368269323911,0.0088353123136545,0.003223682693239653,0.008835312313655988,0.004642609205509301,0.008815845808800835,0.15323418307499864,0.004642609205510165,0.008815845808797768,"[{""cycle"": 1, ""event_time"": 0.2356777777777778, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.06740702479338843, ""peak_full_domain_fraction"": 0.020390625, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 151, ""recall"": 0.9214736367733215, ""precision"": 0.9332496576905526, ""mass_ratio"": 0.9873817034700314, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.004922222222222189, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.0006846874999999996, ""true_positive_target_mass"": 0.0006389843749999999, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 5.4453124999999814e-05, ""false_positive_target_mass"": 4.570312499999974e-05}, {""cycle"": 2, ""event_time"": 1.2260166666666668, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.09581611570247933, ""peak_full_domain_fraction"": 0.028984375, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 625, ""recall"": 0.7644041716532745, ""precision"": 0.8610495907558982, ""mass_ratio"": 0.8877585912121733, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": 0.0007833333333333581, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0008113281250000002, ""true_positive_target_mass"": 0.0006985937500000003, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00021531249999999968, ""false_positive_target_mass"": 0.00011273437499999988}]",True,False,[],COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.008815845808802476,0.008815845808800835,0.0088353123136545,0.15323418307499864,shorter/29/D_E,shorter,29,D_E,b1_missing_phase,"[160, 80]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
old,coarse,shorter/29/F,0.0037296875,0.0792630577907297,0.011457928946644885,0.009550897232073599,0.06477102751122879,0.030635446933321993,9.047092632166893e-13,1.464433161447441e-14,7.824824816711711e-15,0.9790326063160586,0.02223437291967779,0.06093888497637079,0.02223437291967753,0.060938884976370074,0.03410978085321495,0.06477102751122944,0.252018079273883,0.03410978085321461,0.0647710275112306,"[{""cycle"": 1, ""event_time"": 0.2384, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.0699896694214876, ""peak_full_domain_fraction"": 0.021171875, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 158, ""recall"": 0.8884632717440291, ""precision"": 0.9276555699329493, ""mass_ratio"": 0.9577512392969806, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.0021999999999999797, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.0006641406249999997, ""true_positive_target_mass"": 0.0006160937499999999, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 7.734374999999983e-05, ""false_positive_target_mass"": 4.8046874999999804e-05}, {""cycle"": 2, ""event_time"": null, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.0, ""peak_full_domain_fraction"": 0.0, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 0.0, ""peak_time_index"": 404, ""recall"": 0.0, ""precision"": 0.0, ""mass_ratio"": 0.0, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": null, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0, ""true_positive_target_mass"": 0.0, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00091390625, ""false_positive_target_mass"": 0.0}]",True,False,"[""cycle_2_event_missing"", ""cycle_2_roi_peak_below_minimum"", ""cycle_2_recovery_failure""]",COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.06477102751122879,0.06477102751122944,0.06093888497637079,0.252018079273883,shorter/29/F,shorter,29,F,b1_missing_phase,"[160, 80]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
old,coarse,shorter/43/E,0.003676015625,0.05817640114189538,0.011076819386078235,0.0012540766210698605,0.0068376766431676025,0.0018864386134768805,8.926241161769853e-13,1.2582225945279277e-14,7.105144294047629e-15,0.9878301403970035,0.0025328741705547115,0.006941978003906345,0.002532874170555466,0.006941978003908413,0.003600863855418706,0.006837676643165355,0.12231569463675311,0.0036008638554198896,0.006837676643162524,"[{""cycle"": 1, ""event_time"": 0.23734444444444447, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.07076446280991736, ""peak_full_domain_fraction"": 0.02140625, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 149, ""recall"": 0.9389364578639027, ""precision"": 0.9191573839197089, ""mass_ratio"": 1.0215187021180712, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.0032555555555555116, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.0007083593749999997, ""true_positive_target_mass"": 0.0006510937499999998, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 4.2343749999999955e-05, ""false_positive_target_mass"": 5.7265624999999916e-05}, {""cycle"": 2, ""event_time"": 1.2215857142857143, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.09891528925619834, ""peak_full_domain_fraction"": 0.029921875, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 617, ""recall"": 0.8017609847837238, ""precision"": 0.8339112652262824, ""mass_ratio"": 0.9614464010942044, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": 0.005214285714285838, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0008786718750000002, ""true_positive_target_mass"": 0.0007327343750000001, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.0001811718749999999, ""false_positive_target_mass"": 0.00014593750000000013}]",True,False,[],COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.0068376766431676025,0.006837676643165355,0.006941978003906345,0.12231569463675311,shorter/43/E,shorter,43,E,b1_missing_phase,"[160, 80]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
old,coarse,shorter/43/D_E,0.0035101562500000003,0.055882993883445635,0.011173368644655018,0.001305531396053992,0.007245507930004716,0.0018900683303110244,8.928952525416478e-13,1.3755779381380043e-14,7.59994695380536e-15,0.987936345811472,0.0026656765901080506,0.00730595639893373,0.0026656765901081894,0.00730595639893411,0.0038156363602507293,0.0072455079300034085,0.12130691952184684,0.003815636360251418,0.007245507930000619,"[{""cycle"": 1, ""event_time"": 0.23711000000000002, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.07050619834710743, ""peak_full_domain_fraction"": 0.021328125, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 146, ""recall"": 0.9423163587201442, ""precision"": 0.9224660858056688, ""mass_ratio"": 1.0215187021180714, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.0034899999999999654, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.0007083593749999998, ""true_positive_target_mass"": 0.0006534374999999997, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 3.9999999999999996e-05, ""false_positive_target_mass"": 5.4921875000000066e-05}, {""cycle"": 2, ""event_time"": 1.2217, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.09659090909090909, ""peak_full_domain_fraction"": 0.02921875, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 623, ""recall"": 0.7962899640964269, ""precision"": 0.8478201510876489, ""mass_ratio"": 0.9392203795520606, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": 0.0051000000000001044, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0008583593750000004, ""true_positive_target_mass"": 0.0007277343750000002, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00018617187499999981, ""false_positive_target_mass"": 0.0001306250000000002}]",True,False,[],COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.007245507930004716,0.0072455079300034085,0.00730595639893373,0.12130691952184684,shorter/43/D_E,shorter,43,D_E,b1_missing_phase,"[160, 80]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
old,coarse,shorter/43/F,0.00364265625,0.07070557855497785,0.011036028878532096,0.009475158434977359,0.06426416231562679,0.03218285745858276,9.05181176860679e-13,1.431929925890829e-14,8.01435779367094e-15,0.9867537664354427,0.0221080359711703,0.060592626829078934,0.022108035971170337,0.060592626829079045,0.0338428550160243,0.06426416231562664,0.23810610845030813,0.03384285501602438,0.0642641623156279,"[{""cycle"": 1, ""event_time"": 0.24015714285714285, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.06947314049586777, ""peak_full_domain_fraction"": 0.021015625, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 145, ""recall"": 0.9337539432176655, ""precision"": 0.9518777994716894, ""mass_ratio"": 0.9809598918431724, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.00044285714285713373, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.0006802343749999996, ""true_positive_target_mass"": 0.0006474999999999996, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 4.593750000000008e-05, ""false_positive_target_mass"": 3.2734374999999994e-05}, {""cycle"": 2, ""event_time"": null, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.0, ""peak_full_domain_fraction"": 0.0, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 0.0, ""peak_time_index"": 404, ""recall"": 0.0, ""precision"": 0.0, ""mass_ratio"": 0.0, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": null, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0, ""true_positive_target_mass"": 0.0, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00091390625, ""false_positive_target_mass"": 0.0}]",True,False,"[""cycle_2_event_missing"", ""cycle_2_roi_peak_below_minimum"", ""cycle_2_recovery_failure""]",COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.06426416231562679,0.06426416231562664,0.060592626829078934,0.23810610845030813,shorter/43/F,shorter,43,F,b1_missing_phase,"[160, 80]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
old,coarse,shorter/B_E,0.0038965625000000003,0.08355371705911815,0.012800189053165364,0.009820680999144819,0.06667131566158731,0.03798317936361649,9.083738869274465e-13,1.3375342681841286e-14,7.390499755627218e-15,0.9804634545213793,0.02298802194155825,0.06300444946172139,0.022988021941559567,0.06300444946172501,0.03511051242807321,0.0666713156615824,0.24814891565526184,0.0351105124280758,0.06667131566158371,"[{""cycle"": 1, ""event_time"": 0.2558714285714286, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.05965909090909091, ""peak_full_domain_fraction"": 0.018046875, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 135, ""recall"": 0.7929247408742678, ""precision"": 0.9879281302638967, ""mass_ratio"": 0.8026137899954936, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.015271428571428602, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.0005565624999999999, ""true_positive_target_mass"": 0.0005498437499999999, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00014359374999999984, ""false_positive_target_mass"": 6.718749999999997e-06}, {""cycle"": 2, ""event_time"": null, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.0, ""peak_full_domain_fraction"": 0.0, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 0.0, ""peak_time_index"": 404, ""recall"": 0.0, ""precision"": 0.0, ""mass_ratio"": 0.0, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": null, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0, ""true_positive_target_mass"": 0.0, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00091390625, ""false_positive_target_mass"": 0.0}]",True,False,"[""cycle_2_event_missing"", ""cycle_2_roi_peak_below_minimum"", ""cycle_2_recovery_failure""]",COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.06667131566158731,0.0666713156615824,0.06300444946172139,0.24814891565526184,shorter/B_E,shorter,,B_E,b1_missing_phase,"[160, 80]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
old,fine,shorter/29/E,0.004039843750000001,0.0659007411448824,0.011156946981216099,0.0014507863153614675,0.008770514764769309,0.004066529009711592,2.0124005031063056e-12,2.0177395731241524e-14,1.1227778707586498e-14,0.9957547210799541,0.0032262447437184324,0.008842334256662612,0.0032262447437174492,0.008842334256659916,0.004618736927470217,0.008770514764773342,0.14013972306037362,0.004618736927468094,0.008770514764770407,"[{""cycle"": 1, ""event_time"": 0.23761000000000002, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.06740702479338843, ""peak_full_domain_fraction"": 0.020390625, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 152, ""recall"": 0.9210229833258226, ""precision"": 0.9417117843566407, ""mass_ratio"": 0.9780306444344303, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.002989999999999965, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.000678203125, ""true_positive_target_mass"": 0.0006386718749999998, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 5.476562499999991e-05, ""false_positive_target_mass"": 3.953125000000018e-05}, {""cycle"": 2, ""event_time"": 1.2248, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.09607438016528926, ""peak_full_domain_fraction"": 0.0290625, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 629, ""recall"": 0.7716703710035906, ""precision"": 0.8548295454545455, ""mass_ratio"": 0.9027184134040009, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": 0.0020000000000000018, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0008250000000000002, ""true_positive_target_mass"": 0.0007052343750000002, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00020867187499999976, ""false_positive_target_mass"": 0.00011976562499999997}]",True,False,[],COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.008770514764769309,0.008770514764773342,0.008842334256662612,0.14013972306037362,shorter/29/E,shorter,29,E,b1_missing_phase,"[240, 120]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
old,fine,shorter/29/D_E,0.004107890625,0.06679965118622742,0.011190639850807484,0.0015538321716618024,0.00949887923658336,0.004828610636750982,2.012952299059239e-12,1.8443094749278843e-14,9.716757185771955e-15,0.9958282066103568,0.003501435930210657,0.009596564840126429,0.0035014359302127417,0.009596564840132141,0.005002308926697017,0.009498879236576,0.1445902383365831,0.0050023089267008936,0.009498879236572935,"[{""cycle"": 1, ""event_time"": 0.2356777777777778, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.06740702479338843, ""peak_full_domain_fraction"": 0.020390625, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 151, ""recall"": 0.9214736367733215, ""precision"": 0.9332496576905526, ""mass_ratio"": 0.9873817034700314, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.004922222222222189, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.0006846874999999996, ""true_positive_target_mass"": 0.0006389843749999999, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 5.4453124999999814e-05, ""false_positive_target_mass"": 4.570312499999974e-05}, {""cycle"": 2, ""event_time"": 1.2260166666666668, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.09581611570247933, ""peak_full_domain_fraction"": 0.028984375, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 625, ""recall"": 0.7644041716532745, ""precision"": 0.8610495907558982, ""mass_ratio"": 0.8877585912121733, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": 0.0007833333333333581, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0008113281250000002, ""true_positive_target_mass"": 0.0006985937500000003, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00021531249999999968, ""false_positive_target_mass"": 0.00011273437499999988}]",True,False,[],COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.00949887923658336,0.009498879236576,0.009596564840126429,0.1445902383365831,shorter/29/D_E,shorter,29,D_E,b1_missing_phase,"[240, 120]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
old,fine,shorter/29/F,0.0037296875,0.0792630577907297,0.011457928946644885,0.009437946345753847,0.06402293661939815,0.029150940247228585,2.0404019423772124e-12,1.976879812244622e-14,1.057437289584323e-14,0.9790326063160586,0.021962173197949488,0.060192853253644714,0.021962173197949054,0.06019285325364353,0.03371582050768624,0.06402293661940044,0.24438837236138994,0.03371582050768503,0.06402293661940156,"[{""cycle"": 1, ""event_time"": 0.2384, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.0699896694214876, ""peak_full_domain_fraction"": 0.021171875, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 1.0, ""peak_time_index"": 158, ""recall"": 0.8884632717440291, ""precision"": 0.9276555699329493, ""mass_ratio"": 0.9577512392969806, ""reference_event_time"": 0.24059999999999998, ""timing_absolute"": 0.0021999999999999797, ""support_window"": [0.0, 0.35], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.0006934374999999997, ""predicted_active_target_mass"": 0.0006641406249999997, ""true_positive_target_mass"": 0.0006160937499999999, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 7.734374999999983e-05, ""false_positive_target_mass"": 4.8046874999999804e-05}, {""cycle"": 2, ""event_time"": null, ""pre_roi_fraction"": 0.0, ""peak_roi_fraction"": 0.0, ""peak_full_domain_fraction"": 0.0, ""peak_outside_roi_fraction"": 0.0, ""recovery_fraction"": 0.0, ""peak_time_index"": 404, ""recall"": 0.0, ""precision"": 0.0, ""mass_ratio"": 0.0, ""reference_event_time"": 1.2268000000000001, ""timing_absolute"": null, ""support_window"": [1.01, 1.36], ""support_measure"": ""global trapezoid time times cell volume"", ""teacher_active_target_mass"": 0.00091390625, ""predicted_active_target_mass"": 0.0, ""true_positive_target_mass"": 0.0, ""reference_event_present"": true, ""false_positive_event"": false, ""false_negative_target_mass"": 0.00091390625, ""false_positive_target_mass"": 0.0}]",True,False,"[""cycle_2_event_missing"", ""cycle_2_roi_peak_below_minimum"", ""cycle_2_recovery_failure""]",COMMON_FV_FACE_FLUX_EDGE_DISSIPATION_V1,0.5266209625484372,0.526620962548438,0.3648634681829053,0.2706925435582177,0.06402293661939815,0.06402293661940044,0.060192853253644714,0.24438837236138994,shorter/29/F,shorter,29,F,b1_missing_phase,"[240, 120]","[160, 80]",restricted 160x80 diagnostic; native fine metric separately named,
