Case,Seed,Method,Current NRMSE (%),Power NRMSE (%),Energy error (%)
Original,29,E,0.8582725577119891,0.8624890741396128,0.27517159515824585
Original,29,F/projected,1.6878445249982992,1.7274338826615832,0.16092828994405844
Original,43,E,1.5717843041700048,1.592750502299147,0.6568905729493913
Original,43,F/projected,3.0696582612248653,3.1757522576540977,1.219115596598246
Original,--,B_E,1.7282289380764062,1.7562292993545878,1.1849409958004113
Earlier pulse,29,E,0.9942974635242439,0.9993320589703839,0.287606086266471
Earlier pulse,29,F/projected,2.269913966446679,2.3353161120948642,0.7066266554761793
Earlier pulse,43,E,0.6821188750454754,0.6727584643777657,0.16271789511990614
Earlier pulse,43,F/projected,2.9917345965852444,3.0946863267700393,0.25736041848725977
Earlier pulse,--,B_E,2.0031855675185706,2.0489387231699214,1.5059309720727836
