reference,reader,seed,E_vs_F_cov_A,E_vs_F_cov_B,F_cov_vs_E_A,F_cov_vs_E_B,F_cov_vs_F_A,F_cov_vs_F_B,F_cov_vs_B_E_A,F_cov_vs_B_E_B,F_cov_vs_D_E_A,F_cov_vs_D_E_B
old,coarse,29,True,True,False,False,False,False,False,False,False,False
old,coarse,43,True,True,False,False,False,False,False,False,False,False
old,fine,29,True,True,False,False,False,False,False,False,False,False
old,fine,43,True,True,False,False,False,False,False,False,False,False
refined,coarse,29,True,True,False,False,False,False,False,False,False,False
refined,coarse,43,True,True,False,False,False,False,False,False,False,False
refined,fine,29,True,True,False,False,False,False,False,False,False,False
refined,fine,43,True,True,False,False,False,False,False,False,False,False
spatial,coarse,29,True,True,False,False,False,False,False,False,False,False
spatial,coarse,43,True,True,False,False,False,False,False,False,False,False
spatial,fine,29,True,True,False,False,False,False,False,False,False,False
spatial,fine,43,True,True,False,False,False,False,False,False,False,False
