reference,reader,seed,comparison,metric,candidate,control,signed_candidate_minus_control,relative_error_reduction
old,coarse,29,E_vs_F_cov,S,0.0010861718750000001,0.00141984375,-0.000333671875,0.2350060526026191
old,coarse,29,E_vs_F_cov,Ephi,0.01900241378176963,0.023623083705491394,-0.004620669923721763,0.19559977779901982
old,coarse,29,E_vs_F_cov,ET,0.011021722601211524,0.011541467776839046,-0.0005197451756275215,0.04503284899954629
old,coarse,29,E_vs_F_cov,EV,0.001568101323932456,0.0033772681248155053,-0.0018091668008830492,0.5356894193829758
old,coarse,29,E_vs_F_cov,EI,0.009942974635239722,0.022004814672383282,-0.01206184003714356,0.548145495280246
old,coarse,29,E_vs_F_cov,bottom_current_NRMSE,0.009942974635242439,0.022004814672382838,-0.0120618400371404,0.5481454952801135
old,coarse,29,E_vs_F_cov,power_trace_NRMSE,0.00999332058970384,0.02209169789161133,-0.01209837730190749,0.5476436153194677
old,coarse,29,E_vs_F_cov,local_joule_NRMSE,0.056357927738193946,0.12386184803826253,-0.06750392030006858,0.5449936471092838
old,coarse,29,F_cov_vs_E,S,0.00141984375,0.0010861718750000001,0.000333671875,-0.3071998849169244
old,coarse,29,F_cov_vs_E,Ephi,0.023623083705491394,0.01900241378176963,0.004620669923721763,-0.24316226226768634
old,coarse,29,F_cov_vs_E,ET,0.011541467776839046,0.011021722601211524,0.0005197451756275215,-0.04715643773963163
old,coarse,29,F_cov_vs_E,EV,0.0033772681248155053,0.001568101323932456,0.0018091668008830492,-1.1537308037889118
old,coarse,29,F_cov_vs_E,EI,0.022004814672383282,0.009942974635239722,0.01206184003714356,-1.2131017607541903
old,coarse,29,F_cov_vs_E,bottom_current_NRMSE,0.022004814672382838,0.009942974635242439,0.0120618400371404,-1.213101760753541
old,coarse,29,F_cov_vs_E,power_trace_NRMSE,0.02209169789161133,0.00999332058970384,0.01209837730190749,-1.2106463705740111
old,coarse,29,F_cov_vs_E,local_joule_NRMSE,0.12386184803826253,0.056357927738193946,0.06750392030006858,-1.1977715116434449
old,coarse,29,F_cov_vs_F,S,0.00141984375,0.0012612500000000002,0.00015859374999999988,-0.12574331020812668
old,coarse,29,F_cov_vs_F,Ephi,0.023623083705491394,0.023818465166233878,-0.00019538146074248378,0.008202940843537898
old,coarse,29,F_cov_vs_F,ET,0.011541467776839046,0.011691428007149965,-0.00014996023031091897,0.012826511031775567
old,coarse,29,F_cov_vs_F,EV,0.0033772681248155053,0.0037235134756986397,-0.0003462453508831344,0.09298888083604118
old,coarse,29,F_cov_vs_F,EI,0.022004814672383282,0.022699139664465462,-0.0006943249920821799,0.030588163355332654
old,coarse,29,F_cov_vs_F,bottom_current_NRMSE,0.022004814672382838,0.02269913966446679,-0.0006943249920839528,0.030588163355408926
old,coarse,29,F_cov_vs_F,power_trace_NRMSE,0.02209169789161133,0.023353161120948644,-0.0012614632293373139,0.0540168083799899
old,coarse,29,F_cov_vs_F,local_joule_NRMSE,0.12386184803826253,0.11271435174216146,0.011147496296101067,-0.09890041617416578
old,coarse,29,F_cov_vs_B_E,S,0.00141984375,0.0015754687500000003,-0.00015562500000000016,0.09878012496280875
old,coarse,29,F_cov_vs_B_E,Ephi,0.023623083705491394,0.02552352964250399,-0.0019004459370125966,0.0744585863958177
old,coarse,29,F_cov_vs_B_E,ET,0.011541467776839046,0.012800189053165364,-0.0012587212763263186,0.09833614730987494
old,coarse,29,F_cov_vs_B_E,EV,0.0033772681248155053,0.003005663306483679,0.0003716048183318261,-0.12363487870721146
old,coarse,29,F_cov_vs_B_E,EI,0.022004814672383282,0.020031855675185353,0.0019729589971979287,-0.09849107487540198
old,coarse,29,F_cov_vs_B_E,bottom_current_NRMSE,0.022004814672382838,0.020031855675185704,0.0019729589971971342,-0.09849107487536068
old,coarse,29,F_cov_vs_B_E,power_trace_NRMSE,0.02209169789161133,0.020489387231699213,0.0016023106599121172,-0.07820198045909232
old,coarse,29,F_cov_vs_B_E,local_joule_NRMSE,0.12386184803826253,0.1133849836004611,0.010476864437801423,-0.09240081098145358
old,coarse,29,F_cov_vs_D_E,S,0.00141984375,0.0010574999999999998,0.00036234375000000025,-0.34264184397163144
old,coarse,29,F_cov_vs_D_E,Ephi,0.023623083705491394,0.018570546502962307,0.0050525372025290866,-0.2720726178803152
old,coarse,29,F_cov_vs_D_E,ET,0.011541467776839046,0.010904924970924842,0.0006365428059142038,-0.05837204819027919
old,coarse,29,F_cov_vs_D_E,EV,0.0033772681248155053,0.0014612692374090363,0.001915998887406469,-1.311188135872695
old,coarse,29,F_cov_vs_D_E,EI,0.022004814672383282,0.009314881011217182,0.0126899336611661,-1.3623291211003776
old,coarse,29,F_cov_vs_D_E,bottom_current_NRMSE,0.022004814672382838,0.009314881011217219,0.01268993366116562,-1.3623291211003208
old,coarse,29,F_cov_vs_D_E,power_trace_NRMSE,0.02209169789161133,0.009350194548018671,0.012741503343592659,-1.3626992762725578
old,coarse,29,F_cov_vs_D_E,local_joule_NRMSE,0.12386184803826253,0.053819461639502186,0.07004238639876034,-1.30143231212389
old,coarse,43,E_vs_F_cov,S,0.0010735156249999998,0.0013807031249999998,-0.00030718749999999995,0.22248627850393254
old,coarse,43,E_vs_F_cov,Ephi,0.018619221717954475,0.023776212914431927,-0.005156991196477452,0.21689708176137712
old,coarse,43,E_vs_F_cov,ET,0.010960980041449084,0.011528183386953762,-0.0005672033455046775,0.04920145060726322
old,coarse,43,E_vs_F_cov,EV,0.0010802508400533871,0.0033284126777050017,-0.0022481618376516146,0.6754456419153412
old,coarse,43,E_vs_F_cov,EI,0.006821188750453961,0.021440433327991202,-0.01461924457753724,0.6818539697353658
old,coarse,43,E_vs_F_cov,bottom_current_NRMSE,0.006821188750454754,0.021440433327992284,-0.014619244577537532,0.681853969735345
old,coarse,43,E_vs_F_cov,power_trace_NRMSE,0.006727584643777657,0.021457544932559497,-0.014729960288781839,0.6864699729199086
old,coarse,43,E_vs_F_cov,local_joule_NRMSE,0.04770874623981139,0.11711552894301572,-0.06940678270320433,0.592635181086662
old,coarse,43,F_cov_vs_E,S,0.0013807031249999998,0.0010735156249999998,0.00030718749999999995,-0.28615093515755774
old,coarse,43,F_cov_vs_E,Ephi,0.023776212914431927,0.018619221717954475,0.005156991196477452,-0.276971361885904
old,coarse,43,F_cov_vs_E,ET,0.011528183386953762,0.010960980041449084,0.0005672033455046775,-0.051747502810860935
old,coarse,43,F_cov_vs_E,EV,0.0033284126777050017,0.0010802508400533871,0.0022481618376516146,-2.0811479651712266
old,coarse,43,F_cov_vs_E,EI,0.021440433327991202,0.006821188750453961,0.01461924457753724,-2.1432106795995503
old,coarse,43,F_cov_vs_E,bottom_current_NRMSE,0.021440433327992284,0.006821188750454754,0.014619244577537532,-2.1432106795993437
old,coarse,43,F_cov_vs_E,power_trace_NRMSE,0.021457544932559497,0.006727584643777657,0.014729960288781839,-2.1894871738857393
old,coarse,43,F_cov_vs_E,local_joule_NRMSE,0.11711552894301572,0.04770874623981139,0.06940678270320433,-1.4548020682481622
old,coarse,43,F_cov_vs_F,S,0.0013807031249999998,0.001197734375,0.00018296874999999975,-0.15276237688343852
old,coarse,43,F_cov_vs_F,Ephi,0.023776212914431927,0.0233632244353989,0.00041298847903302807,-0.0176768613499807
old,coarse,43,F_cov_vs_F,ET,0.011528183386953762,0.0114088216040331,0.00011936178292066071,-0.010462235896340655
old,coarse,43,F_cov_vs_F,EV,0.0033284126777050017,0.004585264153895475,-0.0012568514761904731,0.2741066673601994
old,coarse,43,F_cov_vs_F,EI,0.021440433327991202,0.029917345965851373,-0.00847691263786017,0.28334440653713044
old,coarse,43,F_cov_vs_F,bottom_current_NRMSE,0.021440433327992284,0.029917345965852445,-0.00847691263786016,0.2833444065371199
old,coarse,43,F_cov_vs_F,power_trace_NRMSE,0.021457544932559497,0.03094686326770039,-0.009489318335140894,0.3066326384375443
old,coarse,43,F_cov_vs_F,local_joule_NRMSE,0.11711552894301572,0.14365656952342049,-0.026541040580404768,0.18475340646414196
old,coarse,43,F_cov_vs_B_E,S,0.0013807031249999998,0.0015754687500000003,-0.0001947656250000005,0.12362392145194911
old,coarse,43,F_cov_vs_B_E,Ephi,0.023776212914431927,0.02552352964250399,-0.0017473167280720632,0.06845905533231111
old,coarse,43,F_cov_vs_B_E,ET,0.011528183386953762,0.012800189053165364,-0.001272005666211603,0.0993739749411785
old,coarse,43,F_cov_vs_B_E,EV,0.0033284126777050017,0.003005663306483679,0.00032274937122132256,-0.10738041434152068
old,coarse,43,F_cov_vs_B_E,EI,0.021440433327991202,0.020031855675185353,0.0014085776528058487,-0.07031688305096662
old,coarse,43,F_cov_vs_B_E,bottom_current_NRMSE,0.021440433327992284,0.020031855675185704,0.0014085776528065808,-0.07031688305100192
old,coarse,43,F_cov_vs_B_E,power_trace_NRMSE,0.021457544932559497,0.020489387231699213,0.0009681577008602837,-0.04725166691966476
old,coarse,43,F_cov_vs_B_E,local_joule_NRMSE,0.11711552894301572,0.1133849836004611,0.0037305453425546115,-0.03290158206222493
old,coarse,43,F_cov_vs_D_E,S,0.0013807031249999998,0.0010828125,0.00029789062499999976,-0.27510822510822486
old,coarse,43,F_cov_vs_D_E,Ephi,0.023776212914431927,0.0185697479002711,0.005206465014160829,-0.2803734892967944
old,coarse,43,F_cov_vs_D_E,ET,0.011528183386953762,0.010868800491784725,0.0006593828951690361,-0.06066749460231935
old,coarse,43,F_cov_vs_D_E,EV,0.0033284126777050017,0.001010674376087227,0.0023177383016177748,-2.2932591905523294
old,coarse,43,F_cov_vs_D_E,EI,0.021440433327991202,0.006344564455702311,0.01509586887228889,-2.3793388778202353
old,coarse,43,F_cov_vs_D_E,bottom_current_NRMSE,0.021440433327992284,0.006344564455700387,0.015095868872291897,-2.3793388778214313
old,coarse,43,F_cov_vs_D_E,power_trace_NRMSE,0.021457544932559497,0.006127244448712128,0.01533030048384737,-2.5019893709430203
old,coarse,43,F_cov_vs_D_E,local_joule_NRMSE,0.11711552894301572,0.047444145863793204,0.06967138307922252,-1.4684927257251337
old,fine,29,E_vs_F_cov,S,0.0010861718750000001,0.00141984375,-0.000333671875,0.2350060526026191
old,fine,29,E_vs_F_cov,Ephi,0.01900241378176963,0.023623083705491394,-0.004620669923721763,0.19559977779901982
old,fine,29,E_vs_F_cov,ET,0.011021722601211524,0.011541467776839046,-0.0005197451756275215,0.04503284899954629
old,fine,29,E_vs_F_cov,EV,0.0016533823136455007,0.003292935457100512,-0.001639553143455011,0.4979001759417012
old,fine,29,E_vs_F_cov,EI,0.010448642699665498,0.02141681302194631,-0.01096817032228081,0.5121289666693859
old,fine,29,E_vs_F_cov,bottom_current_NRMSE,0.010448642699662858,0.021416813021949546,-0.010968170322286688,0.512128966669583
old,fine,29,E_vs_F_cov,power_trace_NRMSE,0.010551637555618387,0.021493726966282233,-0.010942089410663845,0.5090829258150057
old,fine,29,E_vs_F_cov,local_joule_NRMSE,0.07057617668703768,0.12449914634478824,-0.053922969657750563,0.4331191919052695
old,fine,29,F_cov_vs_E,S,0.00141984375,0.0010861718750000001,0.000333671875,-0.3071998849169244
old,fine,29,F_cov_vs_E,Ephi,0.023623083705491394,0.01900241378176963,0.004620669923721763,-0.24316226226768634
old,fine,29,F_cov_vs_E,ET,0.011541467776839046,0.011021722601211524,0.0005197451756275215,-0.04715643773963163
old,fine,29,F_cov_vs_E,EV,0.003292935457100512,0.0016533823136455007,0.001639553143455011,-0.9916358303361803
old,fine,29,F_cov_vs_E,EI,0.02141681302194631,0.010448642699665498,0.01096817032228081,-1.0497220201272595
old,fine,29,F_cov_vs_E,bottom_current_NRMSE,0.021416813021949546,0.010448642699662858,0.010968170322286688,-1.0497220201280872
old,fine,29,F_cov_vs_E,power_trace_NRMSE,0.021493726966282233,0.010551637555618387,0.010942089410663845,-1.0370039108135929
old,fine,29,F_cov_vs_E,local_joule_NRMSE,0.12449914634478824,0.07057617668703768,0.053922969657750563,-0.764039257848524
old,fine,29,F_cov_vs_F,S,0.00141984375,0.0012612500000000002,0.00015859374999999988,-0.12574331020812668
old,fine,29,F_cov_vs_F,Ephi,0.023623083705491394,0.023818465166233878,-0.00019538146074248378,0.008202940843537898
old,fine,29,F_cov_vs_F,ET,0.011541467776839046,0.011691428007149965,-0.00014996023031091897,0.012826511031775567
old,fine,29,F_cov_vs_F,EV,0.003292935457100512,0.003780216766383053,-0.000487281309282541,0.12890300726028903
old,fine,29,F_cov_vs_F,EI,0.02141681302194631,0.023106924135775406,-0.0016901111138290965,0.07314305893324735
old,fine,29,F_cov_vs_F,bottom_current_NRMSE,0.021416813021949546,0.023106924135777012,-0.001690111113827466,0.07314305893317175
old,fine,29,F_cov_vs_F,power_trace_NRMSE,0.021493726966282233,0.023788971381223406,-0.0022952444149411735,0.09648355021994792
old,fine,29,F_cov_vs_F,local_joule_NRMSE,0.12449914634478824,0.11869391286830613,0.005805233476482111,-0.0489092771162003
old,fine,29,F_cov_vs_B_E,S,0.00141984375,0.0015754687500000003,-0.00015562500000000016,0.09878012496280875
old,fine,29,F_cov_vs_B_E,Ephi,0.023623083705491394,0.02552352964250399,-0.0019004459370125966,0.0744585863958177
old,fine,29,F_cov_vs_B_E,ET,0.011541467776839046,0.012800189053165364,-0.0012587212763263186,0.09833614730987494
old,fine,29,F_cov_vs_B_E,EV,0.003292935457100512,0.002829521752748709,0.00046341370435180277,-0.1637781027488565
old,fine,29,F_cov_vs_B_E,EI,0.02141681302194631,0.018834335606125907,0.002582477415820402,-0.13711539763475633
old,fine,29,F_cov_vs_B_E,bottom_current_NRMSE,0.021416813021949546,0.018834335606125185,0.0025824774158243607,-0.13711539763497171
old,fine,29,F_cov_vs_B_E,power_trace_NRMSE,0.021493726966282233,0.019271423256033596,0.002222303710248636,-0.11531601380571965
old,fine,29,F_cov_vs_B_E,local_joule_NRMSE,0.12449914634478824,0.11209514399081504,0.01240400235397321,-0.11065601873877418
old,fine,29,F_cov_vs_D_E,S,0.00141984375,0.0010574999999999998,0.00036234375000000025,-0.34264184397163144
old,fine,29,F_cov_vs_D_E,Ephi,0.023623083705491394,0.018570546502962307,0.0050525372025290866,-0.2720726178803152
old,fine,29,F_cov_vs_D_E,ET,0.011541467776839046,0.010904924970924842,0.0006365428059142038,-0.05837204819027919
old,fine,29,F_cov_vs_D_E,EV,0.003292935457100512,0.001556720435325388,0.0017362150217751237,-1.1153030321800954
old,fine,29,F_cov_vs_D_E,EI,0.02141681302194631,0.009878379299122032,0.011538433722824277,-1.1680492693624132
old,fine,29,F_cov_vs_D_E,bottom_current_NRMSE,0.021416813021949546,0.00987837929912347,0.011538433722826076,-1.1680492693624251
old,fine,29,F_cov_vs_D_E,power_trace_NRMSE,0.021493726966282233,0.009971691831054548,0.011522035135227685,-1.1554744501173762
old,fine,29,F_cov_vs_D_E,local_joule_NRMSE,0.12449914634478824,0.06865083146055373,0.055848314884234515,-0.8135125780133421
old,fine,43,E_vs_F_cov,S,0.0010735156249999998,0.0013807031249999998,-0.00030718749999999995,0.22248627850393254
old,fine,43,E_vs_F_cov,Ephi,0.018619221717954475,0.023776212914431927,-0.005156991196477452,0.21689708176137712
old,fine,43,E_vs_F_cov,ET,0.010960980041449084,0.011528183386953762,-0.0005672033455046775,0.04920145060726322
old,fine,43,E_vs_F_cov,EV,0.0011580398553303196,0.0032432908946813882,-0.0020852510393510686,0.6429429573433061
old,fine,43,E_vs_F_cov,EI,0.007261687336759391,0.02084836749767664,-0.013586680160917249,0.6516903619638976
old,fine,43,E_vs_F_cov,bottom_current_NRMSE,0.007261687336763054,0.02084836749767952,-0.013586680160916464,0.6516903619637701
old,fine,43,E_vs_F_cov,power_trace_NRMSE,0.007233155372117967,0.02085794558084627,-0.013624790208728303,0.6532182259234518
