arm,scope,S,Ephi,ET,EV,EI,bottom_current_NRMSE,power_trace_NRMSE
D,window,0.007290377475247525,0.08372554186835324,0.013099879478694463,0.004515535102656693,0.025084495538905512,0.025084495538905665,0.024857287943693022
D,outside,0.0012181470218120805,0.0243326926392658,0.01382457800982579,0.0033926320841909064,0.024354900640557953,0.024354900640555323,0.024921701577924584
D,full,0.003671328125,0.05643497185988691,0.013536471577675242,0.0038855520585571114,0.024730587551360598,0.024730587551359415,0.02488876620300785
P,window,0.00732267172029703,0.08402211803796795,0.013051286778545834,0.00446896518936352,0.024891997696745053,0.02489199769674201,0.02476325445088178
P,outside,0.0012038590604026844,0.024140727452088416,0.01370251592812266,0.0033605011876986428,0.024107431711848842,0.0241074317118502,0.02466378041983882
P,full,0.003675859375,0.05656376160913257,0.013443217950396878,0.0038469670666040844,0.024511670326602994,0.024511670326602064,0.02471472473044648
L,window,0.0071337407178217824,0.08223462407391231,0.013006857115739748,0.004468025504303467,0.024968570540132733,0.024968570540130058,0.024737158322497014
L,outside,0.0012132969798657718,0.02410419573505699,0.013739795002352733,0.0032757672807905746,0.023508205033903197,0.023508205033902184,0.02401405303032621
L,full,0.0036051562500000007,0.05548285135453666,0.013448497994088579,0.0038027124440454573,0.024265784189334835,0.024265784189332947,0.02438669709760786
R,window,0.007318417388613862,0.08391661453962938,0.01300548201363149,0.0043970616088141136,0.024548156142677045,0.02454815614267577,0.024359902552367092
R,outside,0.0012076604446308724,0.024072986130130602,0.01369766963355393,0.0032953682153968053,0.023646904868030776,0.023646904868026963,0.024174223537149972
R,full,0.00367640625,0.056483222581473314,0.013422324039927502,0.003779316091328951,0.024111869040626625,0.024111869040624134,0.024269400702016598
I,window,0.007327699566831684,0.08398839577114178,0.01305906425268701,0.004544169484837897,0.025266658237404704,0.025266658237402772,0.02515923485066171
I,outside,0.0012073982802013423,0.02424215583710505,0.013747223239350218,0.003358728555924875,0.024101100466627588,0.024101100466632726,0.024646791266231705
I,full,0.00368,0.05656938213804874,0.013473439196704552,0.0038814815090867138,0.02470385094342943,0.024703850943430875,0.024910291842060634
RI,window,0.007143216274752476,0.08236329816575065,0.013043712343431909,0.004482353261528931,0.025079562895168838,0.025079562895168977,0.02483982425049104
RI,outside,0.0012077915268456376,0.024070367230702213,0.013739144916733871,0.003288245905087704,0.02360101080179967,0.023601010801799223,0.024114256409410142
RI,full,0.0036057031249999995,0.0555511658049868,0.013462515805736623,0.0038159204266292692,0.02436811567323089,0.02436811567323075,0.02448816750096296
RIM,window,0.007129873143564357,0.08212006428674308,0.012945669969151119,0.00453136454553612,0.02528719082851269,0.0252871908285133,0.025052263783638905
RIM,outside,0.0012177537751677852,0.024163324809271528,0.013739138951314633,0.0032705378725802364,0.02345847998994399,0.023458479989942698,0.023948102686751623
RIM,full,0.0036062500000000005,0.055429604884547234,0.013424225027222155,0.0038302093976804903,0.024410510902798676,0.024410510902798402,0.024519241791834023
G,window,0.007180344987623763,0.08271367425910706,0.0130130528262305,0.004499991156291548,0.025126648135045532,0.02512664813504292,0.02493946780794235
G,outside,0.0012092334312080535,0.024149728715298746,0.013710754562951892,0.0033403113230376213,0.023960549835681876,0.023960549835680075,0.024499159958835753
G,full,0.0036215625,0.055781536121192105,0.01343324647906458,0.0038510965926936216,0.024563622303278472,0.024563622303276248,0.024725416010496794
