Reference,Seed,Role,S,Raw phase RMS,T %,Current %,Power %,Strict
old,29,E,0.0010861718750000001,0.01900241378176963,1.1021722601211525,0.9942974635239722,0.9993320589703839,False
old,29,E_C,0.000984765625,0.017548833641611146,1.0410376996620696,0.9667219145866826,0.9741821156910668,False
old,29,E_R,0.00100875,0.017719898278051788,1.0450506414582903,0.9327608069242728,0.9392457201827683,False
old,29,E_I,0.000952109375,0.01727237499932336,1.0451443156954536,0.9017786991447101,0.9007671989507936,False
old,29,F,0.0012612500000000002,0.023818465166233878,1.1691428007149964,2.269913966446546,2.3353161120948642,False
old,43,E,0.0010735156249999998,0.018619221717954475,1.0960980041449084,0.682118875045396,0.6727584643777657,False
old,43,E_C,0.00097375,0.016963542559870634,1.0396805900313837,0.6209158314958435,0.6143626978387168,False
old,43,E_R,0.0009739843750000001,0.016859811824836864,1.045559980216171,0.5984256963712153,0.5871239534250159,False
old,43,E_I,0.001006484375,0.01730921381899472,1.0500863221573598,0.5800458804997571,0.5699118361013493,False
old,43,F,0.001197734375,0.0233632244353989,1.1408821604033101,2.9917345965851374,3.0946863267700393,False
old,shared,B_E,0.0015754687500000003,0.02552352964250399,1.2800189053165365,2.0031855675185355,2.0489387231699214,False
refined,29,E,0.001082265625,0.018985544417578576,1.105867943214598,1.009437733091619,1.0169127395583617,False
refined,29,E_C,0.000981328125,0.017533513554061277,1.0455552436763331,0.9866780999710606,0.9968737724606467,False
refined,29,E_R,0.0010056250000000002,0.017700935047563017,1.0498835817490229,0.9515253798573811,0.9606869308288153,False
refined,29,E_I,0.0009482031250000002,0.017250773434514036,1.0500858034382479,0.9199367632606167,0.9219490242013141,False
refined,29,F,0.0012585937500000002,0.023830201907113074,1.1745700496220433,2.284658276942876,2.351372721038148,False
refined,43,E,0.0010675781250000002,0.018581117433486314,1.0990276367360128,0.6955074965988559,0.6891598773290862,False
refined,43,E_C,0.0009685937500000002,0.016923132561674447,1.042909966308822,0.6347885403187641,0.6313000812156097,False
refined,43,E_R,0.000968984375,0.016816502869890233,1.0487308916778741,0.6093890034870747,0.601182324787031,False
refined,43,E_I,0.001000859375,0.017264731147775072,1.0536352024977098,0.5920638870709651,0.5850365969979421,True
refined,43,F,0.0011950781250000004,0.02333617624104989,1.1446278806350623,2.999654983492931,3.103574748176868,False
refined,shared,B_E,0.00157453125,0.025504228959598335,1.2917747997094289,1.9691426256249034,2.014208680943033,False
