reference,protocol,seed,role,cycle,event_time,reference_event_time,timing,recall,precision,mass_ratio,recovery,peak_roi,peak_full,peak_outside,reference_mass,predicted_mass,overlap_mass
old,original,29,E,1,0.23453333333333334,0.24059999999999998,0.006066666666666637,0.8837314105452905,0.9221725840583117,0.9583145561063541,1.0,0.06973140495867769,0.02109375,0.0,0.0006934374999999997,0.0006645312499999996,0.0006128124999999996
old,original,29,E,2,1.4919666666666667,1.4984,0.006433333333333291,0.9833167330677289,0.8925302294044526,1.1017181274900396,1.0,0.06766528925619834,0.02046875,0.0,0.0006275,0.0006913281249999999,0.00061703125
old,original,29,F,1,0.23120000000000002,0.24059999999999998,0.009399999999999964,0.8387787291572778,0.9089244292516176,0.9228255971158177,1.0,0.06611570247933884,0.02,0.0,0.0006934374999999997,0.0006399218749999995,0.0005816406249999996
old,original,29,F,2,1.5026374999999998,1.4984,0.004237499999999894,0.9056274900398404,0.9095910966612478,0.9956424302788844,1.0,0.06740702479338843,0.020390625,0.0,0.0006275,0.000624765625,0.0005682812499999999
old,original,43,E,1,0.22922,0.24059999999999998,0.011379999999999973,0.8027264533573683,0.8876292512769403,0.9043488057683643,1.0,0.06120867768595041,0.018515625,0.0,0.0006934374999999997,0.0006271093749999998,0.0005566406249999998
old,original,43,E,2,1.4930999999999999,1.4984,0.005300000000000082,0.9840637450199203,0.8831284916201113,1.1142928286852594,1.0,0.07076446280991736,0.02140625,0.0,0.0006275,0.0006992187500000003,0.0006175
old,original,43,F,1,0.201525,0.24059999999999998,0.03907499999999997,0.8405813429472734,0.7621820410665029,1.1028616493916181,1.0,0.05785123966942149,0.0175,0.0,0.0006934374999999997,0.0007647656249999998,0.0005828906249999996
old,original,43,F,2,1.5048000000000001,1.4984,0.006400000000000183,0.8901892430278885,0.9262857883145487,0.9610308764940239,1.0,0.06921487603305786,0.0209375,0.0,0.0006275,0.000603046875,0.0005585937500000001
old,original,-,B_E,1,0.2558714285714286,0.24059999999999998,0.015271428571428602,0.7929247408742678,0.9879281302638967,0.8026137899954936,1.0,0.05965909090909091,0.018046875,0.0,0.0006934374999999997,0.0005565624999999999,0.0005498437499999999
old,original,-,B_E,2,1.5133714285714286,1.4984,0.014971428571428635,0.7721613545816732,0.9934326445619093,0.7772659362549801,1.0,0.05371900826446281,0.01625,0.0,0.0006275,0.000487734375,0.00048453125
old,shorter,29,E,1,0.23726666666666668,0.24059999999999998,0.0033333333333332993,0.8666065795403333,0.9640305802732171,0.8989409643983776,1.0,0.06714876033057851,0.0203125,0.0,0.0006934374999999997,0.0006233593749999997,0.0006009374999999996
old,shorter,29,E,2,1.224025,1.2268000000000001,0.002775000000000194,0.9661480594973499,0.8903418938080983,1.0851427594460592,1.0,0.07799586776859505,0.02359375,0.0,0.00091390625,0.00099171875,0.00088296875
old,shorter,29,F,1,0.22393333333333335,0.24059999999999998,0.016666666666666635,0.8333708877872918,0.8591173054587693,0.9700315457413248,1.0,0.060950413223140494,0.0184375,0.0,0.0006934374999999997,0.0006726562499999996,0.000577890625
old,shorter,29,F,2,1.2276375,1.2268000000000001,0.0008374999999998245,0.9593947683364678,0.8831444759206795,1.0863395452214057,1.0,0.08006198347107438,0.02421875,0.0,0.00091390625,0.0009928125000000004,0.000876796875
old,shorter,43,E,1,0.23711000000000002,0.24059999999999998,0.0034899999999999654,0.8755069851284363,0.9471054235222427,0.9244028841820638,1.0,0.0699896694214876,0.021171875,0.0,0.0006934374999999997,0.0006410156249999997,0.0006071093749999998
old,shorter,43,E,2,1.22236,1.2268000000000001,0.0044400000000002215,0.9649512737220038,0.8953045685279188,1.0777910753975037,1.0,0.07902892561983471,0.02390625,0.0,0.00091390625,0.000985,0.0008818750000000001
old,shorter,43,F,1,0.21036666666666667,0.24059999999999998,0.030233333333333307,0.8737043713384407,0.806133056133056,1.0838215412347907,1.0,0.06327479338842976,0.019140625,0.0,0.0006934374999999997,0.0007515624999999998,0.0006058593749999997
old,shorter,43,F,2,1.24922,1.2268000000000001,0.022419999999999884,0.8137288425371861,0.9528528528528528,0.8539921354077624,1.0,0.07773760330578512,0.023515625,0.0,0.00091390625,0.0007804687500000003,0.0007436718750000003
old,shorter,-,B_E,1,0.2558714285714286,0.24059999999999998,0.015271428571428602,0.7929247408742678,0.9879281302638967,0.8026137899954936,1.0,0.05965909090909091,0.018046875,0.0,0.0006934374999999997,0.0005565624999999999,0.0005498437499999999
old,shorter,-,B_E,2,1.2481,1.2268000000000001,0.021299999999999875,0.7743203966490001,0.9956034293251265,0.7777397845785607,1.0,0.06430785123966942,0.019453125,0.0,0.00091390625,0.0007107812500000003,0.0007076562500000003
old,shorter,29,E_C,1,0.23622,0.24059999999999998,0.004379999999999967,0.8828301036502928,0.955609756097561,0.9238395673726902,1.0,0.06740702479338843,0.020390625,0.0,0.0006934374999999997,0.0006406249999999996,0.0006121874999999997
old,shorter,29,E_C,2,1.2252750000000001,1.2268000000000001,0.0015249999999999986,0.9681142075568476,0.913159167876149,1.060181227560267,1.0,0.07722107438016529,0.023359375,0.0,0.00091390625,0.0009689062500000003,0.0008847656250000002
old,shorter,29,E_R,1,0.23518333333333336,0.24059999999999998,0.005416666666666625,0.88609734114466,0.9524097844514413,0.930374042361424,1.0,0.0684400826446281,0.020703125,0.0,0.0006934374999999997,0.0006451562499999997,0.0006144531249999999
old,shorter,29,E_R,2,1.226525,1.2268000000000001,0.0002750000000000252,0.9657206360061549,0.9127413751312918,1.0580441101042914,1.0,0.07799586776859505,0.02359375,0.0,0.00091390625,0.000966953125,0.000882578125
old,shorter,29,E_I,1,0.239025,0.24059999999999998,0.001574999999999993,0.8641279855790894,0.9678233438485802,0.8928571428571429,1.0,0.0668904958677686,0.020234375,0.0,0.0006934374999999997,0.0006191406249999998,0.0005992187499999996
old,shorter,29,E_I,2,1.2252750000000001,1.2268000000000001,0.0015249999999999986,0.9634980338519403,0.9124099409050427,1.0559924773465554,1.0,0.07722107438016529,0.023359375,0.0,0.00091390625,0.0009650781250000004,0.0008805468749999998
old,shorter,43,E_C,1,0.23672,0.24059999999999998,0.003879999999999967,0.8957863902658856,0.94486036838978,0.948062190175755,1.0,0.07024793388429752,0.02125,0.0,0.0006934374999999997,0.0006574218749999998,0.0006211718749999998
old,shorter,43,E_C,2,1.2260166666666668,1.2268000000000001,0.0007833333333333581,0.9612754316977264,0.9234622649256795,1.0409471704564888,1.0,0.07773760330578512,0.023515625,0.0,0.00091390625,0.0009513281250000004,0.0008785156250000003
old,shorter,43,E_R,1,0.2373,0.24059999999999998,0.0032999999999999696,0.8921811626858945,0.9498620606932947,0.9392744479495271,1.0,0.07076446280991736,0.02140625,0.0,0.0006934374999999997,0.0006513281249999999,0.0006186718749999998
old,shorter,43,E_R,2,1.2260166666666668,1.2268000000000001,0.0007833333333333581,0.959394768336468,0.9242361854566418,1.038040690716362,1.0,0.07825413223140495,0.023671875,0.0,0.00091390625,0.0009486718750000001,0.0008767968750000002
old,shorter,43,E_I,1,0.23685,0.24059999999999998,0.0037499999999999756,0.8986029743127534,0.9449117403151281,0.9509914375844978,1.0,0.07128099173553719,0.0215625,0.0,0.0006934374999999997,0.0006594531249999999,0.0006231249999999997
old,shorter,43,E_I,2,1.2245125000000001,1.2268000000000001,0.002287499999999998,0.9623012480765943,0.9176652808347598,1.0486407932979998,1.0,0.07851239669421488,0.02375,0.0,0.00091390625,0.0009583593750000001,0.000879453125
refined,original,29,E,1,0.23453333333333334,0.24143333333333333,0.0068999999999999895,0.8869870777601451,0.9199388666823419,0.964180457946044,1.0,0.06973140495867769,0.02109375,0.0,0.0006892187499999996,0.0006645312499999996,0.0006113281249999997
refined,original,29,E,2,1.4919666666666667,1.49965,0.007683333333333264,0.9857321652065081,0.890044072776585,1.1075093867334167,1.0,0.06766528925619834,0.02046875,0.0,0.00062421875,0.0006913281249999999,0.0006153125
refined,original,29,F,1,0.23120000000000002,0.24143333333333333,0.010233333333333317,0.841645885286783,0.9064827249420097,0.9284742688732712,1.0,0.06611570247933884,0.02,0.0,0.0006892187499999996,0.0006399218749999995,0.0005800781249999996
refined,original,29,F,2,1.5026374999999998,1.49965,0.0029874999999999208,0.9083854818523153,0.9075903463798923,1.0008760951188986,1.0,0.06740702479338843,0.020390625,0.0,0.00062421875,0.000624765625,0.0005670312499999999
