Case,Seed,Method,S (x 10^-3),Phase RMS,T RMS / 0.45 (%),V RMS (x 10^-3)
Original,29,E,1.030078125,0.020042062839986767,1.0600719518901736,1.295806378420051
Original,29,F/projected,1.2249999999999999,0.023986713579712493,1.0930770446400033,2.6037742743953523
Original,43,E,1.1316406249999997,0.021619161166716246,1.0330845552147927,2.3572941029588814
Original,43,F/projected,1.2525000000000002,0.02448208540577694,1.0446690661100184,4.64752889807411
Original,--,B_E,1.4084375000000002,0.023769782205783657,1.3278255127362866,2.5584498695059184
Earlier pulse,29,E,1.086171875,0.01900241378176963,1.1021722601211525,1.5681013239324562
Earlier pulse,29,F/projected,1.2612500000000002,0.023818465166233878,1.1691428007149964,3.7235134756986397
Earlier pulse,43,E,1.0735156249999998,0.018619221717954475,1.0960980041449084,1.0802508400533872
Earlier pulse,43,F/projected,1.197734375,0.0233632244353989,1.1408821604033101,4.585264153895475
Earlier pulse,--,B_E,1.5754687500000002,0.02552352964250399,1.2800189053165365,3.005663306483679
