case,device,field,coarse,fine,difference
single_9V,A,voltage,6.776419348634434,6.776419348634388,4.618527782440651e-14
single_9V,A,temperature,331.1076721343126,331.10767213430864,3.979039320256561e-12
single_9V,A,resistance,36570.309304868,36570.309304879265,-1.1263182386755943e-08
single_9V,A,g,0.9356610741332558,0.9356610741333768,-1.2101430968414206e-13
single_9V,A,delta,1.0,1.0,0.0
single_9V,A,reversed,0.0,0.0,0.0
single_9V,A,Tr,324.9,324.9,0.0
single_9V,A,gr,0.9970282893828744,0.9970282893828744,0.0
single_9V,A,Tpr,0.0,0.0,0.0
single_9V,A,T_last,331.1029239764918,331.1030226276177,-9.865112588158809e-05
single_12p5V,A,voltage,2.6310463079520794,2.5979289200083717,0.033117387943707666
single_12p5V,A,temperature,369.6638817315791,369.2719758903594,0.3919058412197387
single_12p5V,A,resistance,1286.316817278625,1286.3168266387731,-9.360148169434979e-06
single_12p5V,A,g,4.2967399971338693e-08,4.359441380108464e-08,-6.270138297459482e-10
single_12p5V,A,delta,-1.0,-1.0,0.0
single_12p5V,A,reversed,1.0,1.0,0.0
single_12p5V,A,Tr,369.9663099160783,369.955124366389,0.0111855496892872
single_12p5V,A,gr,4.26793729801922e-08,4.29214227493091e-08,-2.4204976911690324e-10
single_12p5V,A,Tpr,-7.193570640130645,-7.193570640855569,7.249241207318846e-10
single_12p5V,A,T_last,369.6638817315791,369.2719758903594,0.3919058412197387
single_15p8V,A,voltage,2.4681686818193014,2.4770348012981023,-0.008866119478800893
single_15p8V,A,temperature,338.33789219673014,338.37690236481393,-0.03901016808379154
single_15p8V,A,resistance,2221.6020796364387,2231.0662207895807,-9.464141153142009
single_15p8V,A,g,0.03473861938038503,0.035152614191742426,-0.0004139948113573988
single_15p8V,A,delta,-1.0,-1.0,0.0
single_15p8V,A,reversed,1.0,1.0,0.0
single_15p8V,A,Tr,338.39808547062717,338.4247259789151,-0.026640508287925968
single_15p8V,A,gr,0.03469394249196589,0.035116731113597865,-0.0004227886216319754
single_15p8V,A,Tpr,-2.6108494701566656,-2.6623136482258474,0.0514641780691818
single_15p8V,A,T_last,338.3377443477907,338.37463895945285,-0.03689461166214869
pair_excitation,A,voltage,6.173035781669115,6.161041578241719,0.011994203427395433
pair_excitation,A,temperature,335.6173560876176,335.73780292249205,-0.12044683487442853
pair_excitation,A,resistance,14419.842669730737,14100.412187531872,319.4304821988644
pair_excitation,A,g,0.4304576386116554,0.4223383791405152,0.008119259471140228
pair_excitation,A,delta,1.0,1.0,0.0
pair_excitation,A,reversed,1.0,1.0,0.0
pair_excitation,A,Tr,328.46696756695843,328.4881690959143,-0.021201528955884896
pair_excitation,A,gr,0.5927132461395825,0.5901230035029688,0.002590242636613782
pair_excitation,A,Tpr,7.193570639999962,7.193570639999962,0.0
pair_excitation,A,T_last,335.6173560876176,335.73780292249205,-0.12044683487442853
pair_excitation,B,voltage,5.519241682118155,5.520275630149429,-0.0010339480312744342
pair_excitation,B,temperature,330.4794538258486,330.50002830003785,-0.02057447418923175
pair_excitation,B,resistance,28865.93880878062,28807.435347236227,58.50346154439103
pair_excitation,B,g,0.7097620000411716,0.7089532425081162,0.0008087575330554264
pair_excitation,B,delta,1.0,1.0,0.0
pair_excitation,B,reversed,1.0,1.0,0.0
pair_excitation,B,Tr,327.19835615397966,327.2041378549169,-0.005781700937234291
pair_excitation,B,gr,0.734308568464167,0.7337378660573619,0.0005707024068051236
pair_excitation,B,Tpr,7.193570639999962,7.193570639999962,0.0
pair_excitation,B,T_last,330.4794538258486,330.50002830003785,-0.02057447418923175
pair_inhibition,A,voltage,2.1869376753214174,2.2050998017918215,-0.01816212647040416
pair_inhibition,A,temperature,358.40231133861806,358.4922003755455,-0.08988903692744543
pair_inhibition,A,resistance,1286.34983211927,1286.3505202409783,-0.0006881217082082003
pair_inhibition,A,g,2.936428662170254e-06,3.0080235966511992e-06,-7.159493448094523e-08
pair_inhibition,A,delta,-1.0,-1.0,0.0
pair_inhibition,A,reversed,1.0,1.0,0.0
pair_inhibition,A,Tr,361.8644920692751,361.7946829315378,0.0698091377373089
pair_inhibition,A,gr,2.565560158207525e-06,2.6577282837281224e-06,-9.21681255205975e-08
pair_inhibition,A,Tpr,-7.193570640003031,-7.193570639990696,-1.233502189279534e-11
pair_inhibition,A,T_last,358.40231133861806,358.4922003755455,-0.08988903692744543
pair_inhibition,B,voltage,2.5057066440720877,2.501805174325575,0.0039014697465127313
pair_inhibition,B,temperature,339.6989951256549,339.6608421538742,0.03815297178067567
pair_inhibition,B,resistance,2463.042525157034,2460.760298905265,2.282226251769316
pair_inhibition,B,g,0.04649362731982293,0.04632342034621201,0.0001702069736109202
pair_inhibition,B,delta,1.0,1.0,0.0
pair_inhibition,B,reversed,1.0,1.0,0.0
pair_inhibition,B,Tr,336.8866884844965,336.8721233450696,0.014565139426906626
pair_inhibition,B,gr,0.05215335101007201,0.05183792508512336,0.0003154259249486535
pair_inhibition,B,Tpr,5.2517881048011645,5.279009950968884,-0.027221846167719832
pair_inhibition,B,T_last,339.6989951256549,339.6608421538742,0.03815297178067567
