case,device,interval,step,ordinal,time_s,height_A
single_12p5V,A,full,coarse,1,2.612e-06,0.005632069612627492
single_12p5V,A,full,coarse,2,5.531e-06,0.004779779804527826
single_12p5V,A,full,coarse,3,8.383000000000001e-06,0.004772851893541676
single_12p5V,A,full,coarse,4,1.1234000000000001e-05,0.004772591561836427
single_12p5V,A,full,coarse,5,1.4085000000000002e-05,0.0047725969666012405
single_12p5V,A,full,coarse,6,1.6936000000000002e-05,0.004772604773156223
single_12p5V,A,full,coarse,7,1.9787000000000002e-05,0.004772613376795493
single_12p5V,A,full,fine,1,2.611e-06,0.005631232459028424
single_12p5V,A,full,fine,2,5.5295e-06,0.004776394560901464
single_12p5V,A,full,fine,3,8.3805e-06,0.004771163731232572
single_12p5V,A,full,fine,4,1.1231000000000001e-05,0.004770763338459612
single_12p5V,A,full,fine,5,1.40815e-05,0.004770632661328441
single_12p5V,A,full,fine,6,1.6932e-05,0.004770621248195681
single_12p5V,A,full,fine,7,1.9782500000000002e-05,0.004770607691583953
single_12p5V,A,transient,coarse,1,2.612e-06,0.005632069612627492
single_12p5V,A,transient,coarse,2,5.531e-06,0.004779779804527826
single_12p5V,A,transient,coarse,3,8.383000000000001e-06,0.004772851893541676
single_12p5V,A,transient,fine,1,2.611e-06,0.005631232459028424
single_12p5V,A,transient,fine,2,5.5295e-06,0.004776394560901464
single_12p5V,A,transient,fine,3,8.3805e-06,0.004771163731232572
single_12p5V,A,tail,coarse,1,1.1234000000000001e-05,0.004772591561836427
single_12p5V,A,tail,coarse,2,1.4085000000000002e-05,0.0047725969666012405
single_12p5V,A,tail,coarse,3,1.6936000000000002e-05,0.004772604773156223
single_12p5V,A,tail,coarse,4,1.9787000000000002e-05,0.004772613376795493
single_12p5V,A,tail,fine,1,1.1231000000000001e-05,0.004770763338459612
single_12p5V,A,tail,fine,2,1.40815e-05,0.004770632661328441
single_12p5V,A,tail,fine,3,1.6932e-05,0.004770621248195681
single_12p5V,A,tail,fine,4,1.9782500000000002e-05,0.004770607691583953
single_15p8V,A,full,coarse,1,1.779e-06,0.0063062883863887675
single_15p8V,A,full,coarse,2,3.829e-06,0.0023141593889109456
single_15p8V,A,full,coarse,3,5.567e-06,0.0015990297056129549
single_15p8V,A,full,fine,1,1.7785000000000002e-06,0.006303339989004783
single_15p8V,A,full,fine,2,3.830000000000001e-06,0.002300331582722858
single_15p8V,A,full,fine,3,5.569500000000001e-06,0.00155831310429997
single_15p8V,A,transient,coarse,1,1.779e-06,0.0063062883863887675
single_15p8V,A,transient,coarse,2,3.829e-06,0.0023141593889109456
single_15p8V,A,transient,coarse,3,5.567e-06,0.0015990297056129549
single_15p8V,A,transient,fine,1,1.7785000000000002e-06,0.006303339989004783
