case,device,field,unaligned_rms,max_abs,relative_rms
single_9V,A,voltage,0.0001624520807187801,0.0004773864098961411,2.5098420593913778e-05
single_9V,A,device_current,5.610140776817682e-09,1.3996615023757894e-08,3.2322897452976666e-05
single_9V,A,temperature,0.0002540788251666096,0.0006864425906201177,7.69034399948756e-07
single_9V,A,resistance,0.6420625868726881,1.6899552467366448,1.6627509956933742e-05
single_12p5V,A,voltage,0.016583204673539596,0.12529811158081117,0.0034369215260298663
single_12p5V,A,device_current,3.972076604225144e-05,0.0008636425567626386,0.03505576674395728
single_12p5V,A,temperature,0.19461534858479992,2.137005076724563,0.0005770203070919642
single_12p5V,A,resistance,80.5837850633066,847.0855139066084,0.003315645230829297
single_15p8V,A,voltage,0.011749615047707933,0.04809468875348344,0.0038762467380296694
single_15p8V,A,device_current,7.986514251201599e-06,0.0003570237308239896,0.0068076388409925095
single_15p8V,A,temperature,0.07109573207502938,0.7626161390839457,0.00020978727614712753
single_15p8V,A,resistance,17.451415290939178,218.13168981438048,0.0013149602513348629
pair_excitation,A,voltage,0.017476495602516528,0.17061354233385995,0.0037969701868074838
pair_excitation,A,device_current,3.475220424264227e-05,0.0008679492472203764,0.0387911934257258
pair_excitation,A,temperature,0.17709143287995302,2.3848543796108856,0.0005281351924506595
pair_excitation,A,resistance,93.78413420032086,992.1985838116489,0.0038618203796828396
pair_excitation,B,voltage,0.007715685918950454,0.05462054475989486,0.0017818756032839523
pair_excitation,B,device_current,1.2592065126552186e-05,0.0002146288692928609,0.016260737869934306
pair_excitation,B,temperature,0.07125541432658046,0.6319971373108615,0.00021379775053996525
pair_excitation,B,resistance,56.93807092384628,257.6832266672968,0.0019387138907132225
pair_inhibition,A,voltage,0.011661069618222697,0.07475772932059677,0.002772434774596647
pair_inhibition,A,device_current,2.2382852834276866e-05,0.0003551036011299703,0.023362807413483094
pair_inhibition,A,temperature,0.10982739717937913,0.9877856425207483,0.00032695566985065544
pair_inhibition,A,resistance,68.8569825201578,460.1425393769109,0.0031123217811519005
pair_inhibition,B,voltage,0.011034427769162084,0.0662438440616242,0.0035175253673417916
pair_inhibition,B,device_current,9.996903866959229e-06,0.00027566252636793045,0.009603714566018523
pair_inhibition,B,temperature,0.06940429236704745,0.7517536428294989,0.00020528900333816128
pair_inhibition,B,resistance,24.879470032515865,273.37775614270595,0.0017205095015783447
