role,S,Ephi,ET,EI,EV,energy_error,strict_device_pass
B_L,0.0014917968750000003,0.028533365795171302,0.013541793751445728,1.3608350923134842,0.003136937078752054,0.04083593055255998,False
B_P,0.001487265625,0.028503359657125544,0.013278255127362866,1.0308312087234692,0.0031073382667593775,0.036743569509997784,False
B_logit,0.0014084375000000002,0.023769782205783657,0.013278255127362866,1.0308311924536173,0.0031073382667593775,0.031320208829265186,False
D_B,0.001676875,0.03542237218881261,0.24292720633803994,0.08419371650082333,0.010685983381743478,0.9630595984631153,False
P_U,0.0023590625000000005,0.04170723551343157,0.24295291946727487,0.07931922369180572,0.011488703635000088,1.0896397006440677,False
P_I,0.002253203125,0.03994638688775163,0.24294330624827848,0.07934459610832788,0.011549594812415095,1.1622078190224836,False
P_M,0.002251484375,0.03994246790503231,0.2429433071319081,0.07934502580392898,0.011549912127078869,1.162379172503666,False
dense_LF_ONLY,0.00034953125,0.006570375888844028,0.004001544062567924,0.003790590523837527,0.0005761281633015013,0.006067349347123467,True
warm_start,0.001188671875,0.0272683755530492,0.282209755984883,0.0803879379306552,0.010875804534305727,1.0674024965512448,False
native_reference_readout_check,0.0,0.0,0.0,1.3522978102960761e-17,0.0,1.0102947601890362e-17,True
