role,identity,S,Ephi,ET,EV,EI,energy_error,power_trace_NRMSE,input_power_NRMSE,bottom_current_NRMSE,current_balance_rms,power_defect_rms,electric_fv_rms,strict_device_pass
warm_start,REUSED_LF11_EVIDENCE,0.001188671875,0.0272683755530492,0.282209755984883,0.010875804534305727,0.0803879379306552,1.0674024965512448,1.1751638760155485,0.07478827729373515,12.062831691380447,6.281045605519666,0.4332253468009436,69.01714992483642,False
S1_fixed_fit,NEW_S1_OBSERVATION_ONLY_FIXED_ENDPOINT,0.001188671875,0.027268375553049198,0.01747538648379263,0.005738091065445664,0.07217788554949288,0.4920055381853457,0.576134119806625,0.06784358436490398,7.812535031667869,4.058409984616971,0.20935674318487255,48.73619471199245,False
B_logit_waveform,REUSED_LF11_EVIDENCE,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.0009028467303805178,0.004278272787713287,0.021874065910347292,0.028299562880663025,0.004348687467347112,0.607873457836437,0.31733058475285425,0.011681337916423513,9.616718809748843,False
D_B,REUSED_LF11_EVIDENCE,0.001676875,0.03542237218881261,0.24292720633803994,0.010685983381743478,0.08419371650082333,0.9630595984631153,1.0511406365004488,0.07768070398070587,10.621786583542114,5.539599132614712,0.39317254251851624,60.64407856249437,False
P_U,REUSED_LF11_EVIDENCE,0.0023590625000000005,0.04170723551343157,0.24295291946727487,0.011488703635000088,0.07931922369180572,1.0896397006440677,1.1026899619751034,0.07405804672179196,10.20268949117179,5.307062183987019,0.40074076240093787,50.08490747223682,False
P_I,REUSED_LF11_EVIDENCE,0.002253203125,0.03994638688775163,0.24294330624827848,0.011549594812415095,0.07934459610832788,1.1622078190224836,1.175548614820661,0.0740117085415414,10.533235982627126,5.479995424125729,0.4279123823920036,51.38317848102103,False
P_M,REUSED_LF11_EVIDENCE,0.002251484375,0.03994246790503231,0.2429433071319081,0.011549912127078869,0.07934502580392898,1.162379172503666,1.1757601136814961,0.07401282649799971,10.534975836084627,5.480897637281491,0.427987591328145,51.394113941457725,False
B_L,REUSED_LF11_EVIDENCE,0.0014917968750000003,0.028533365795171302,0.013541793751445728,0.003136937078752054,1.3608350923134842,0.04083593055255998,0.08716576505543734,1.386715960239338,0.6035280450924783,0.7104258831961905,0.4703984652666383,9.831036208592907,False
B_P,REUSED_LF11_EVIDENCE,0.001487265625,0.028503359657125544,0.013278255127362866,0.0031073382667593775,1.0308312087234692,0.036743569509997784,0.04958054437106393,0.8706743945033821,0.6085945814787594,0.5972865671670305,0.3023202502733911,9.752995671955189,False
B_logit,REUSED_LF11_EVIDENCE,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.0031073382667593775,1.0308311924536173,0.031320208829265186,0.04835511107747956,0.870674377079576,0.6088259755261966,0.5965804021343832,0.3023848823197505,9.775399796790627,False
dense_LF_ONLY,REUSED_LF11_EVIDENCE,0.00034953125,0.006570375888844028,0.004001544062567924,0.0005761281633015013,0.003790590523837527,0.006067349347123467,0.006510937819076131,0.0038336929813904976,0.25014093910889895,0.12942848561605988,0.002326559334520364,4.394469835723881,True
native_reference_readout_check,REUSED_LF11_EVIDENCE,0.0,0.0,0.0,0.0,1.3522978102960761e-17,1.0102947601890362e-17,1.274127202257157e-16,2.233263841573848e-14,2.7075042420692727e-14,1.405812621300337e-14,8.031902413040656e-15,9.500789474733687e-13,True
