step,source,head,raw_gradient_norm,adam_direction_norm,potential_effect,temperature_effect,phase_effect,phase_raw_effect
500,observation,potential,2.740769129677694,0.0012306967776467472,-4.790356662478878e-07,0.0,0.0,0.0
500,observation,temperature,7.878625610798594,0.0012599901570009067,0.0,-5.422080471795541e-07,0.0,0.0
500,observation,phase,2.77207362666836,0.0010508887054047405,0.0,0.0,-2.717372886039857e-07,3.257842089944939e-07
500,initial,potential,0.0,0.0,0.0,0.0,0.0,0.0
500,initial,temperature,0.0,0.0,0.0,0.0,0.0,0.0
500,initial,phase,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_heater,potential,4.981069910963661e-05,2.5857012021367662e-08,4.055480664343111e-12,0.0,0.0,0.0
500,bc_heater,temperature,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_heater,phase,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_phase_no_flux,potential,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_phase_no_flux,temperature,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_phase_no_flux,phase,0.2812358649286265,0.00020705193878600483,0.0,0.0,1.0391820950815125e-08,-3.490957929998861e-08
500,bc_thermal,potential,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_thermal,temperature,0.016423379797661487,4.239979434595588e-06,0.0,3.313262710750023e-10,0.0,0.0
500,bc_thermal,phase,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_top_potential,potential,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_top_potential,temperature,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_top_potential,phase,0.0,0.0,0.0,0.0,0.0,0.0
500,thermal,potential,0.0009789219889866096,6.972216465307031e-07,-3.713448047591894e-11,0.0,0.0,0.0
500,thermal,temperature,0.0010161918175628677,3.055206044719822e-07,0.0,-4.9103116518750275e-12,0.0,0.0
500,thermal,phase,0.0016454677316846932,5.471572463495118e-07,0.0,0.0,-1.1592427109980848e-10,9.833672041396079e-11
500,phase,potential,0.0,0.0,0.0,0.0,0.0,0.0
500,phase,temperature,0.0018826569556555756,3.84296847485941e-07,0.0,-6.205421786141658e-11,0.0,0.0
500,phase,phase,0.0007253953695640782,2.947978491486669e-07,0.0,0.0,3.609536736775906e-11,-4.4193173715269235e-11
500,electric_amplitude,potential,0.0,0.0,0.0,0.0,0.0,0.0
500,electric_amplitude,temperature,0.021741176953754996,3.232077871747111e-06,0.0,6.425285761952768e-10,0.0,0.0
500,electric_amplitude,phase,0.2505700925687356,8.355104363336408e-05,0.0,0.0,1.8084884337986927e-08,-1.513880094061833e-08
500,electric_shape,potential,0.17506752145487822,7.608821662607799e-05,1.5267511559746633e-08,0.0,0.0,0.0
500,electric_shape,temperature,0.0035460483966118454,1.2518911350201545e-06,0.0,-1.1524767317066811e-10,0.0,0.0
500,electric_shape,phase,0.42003692409302784,0.00015349797618341052,0.0,0.0,2.3735452448728984e-08,-2.1029812455478157e-08
500,bc_insulation_amplitude,potential,0.0,0.0,0.0,0.0,0.0,0.0
500,bc_insulation_amplitude,temperature,8.947073842097676e-06,1.8323434954164683e-09,0.0,1.6824801448136985e-13,0.0,0.0
500,bc_insulation_amplitude,phase,1.4801723868052435e-06,9.63134273054975e-10,0.0,0.0,1.859313047057175e-14,-6.798427135799698e-14
500,bc_insulation_shape,potential,0.002431664693649521,2.5511928290203245e-06,4.733434753749316e-11,0.0,0.0,0.0
500,bc_insulation_shape,temperature,2.4646586938317254e-21,6.586544954995098e-25,0.0,1.7845744702804578e-29,0.0,0.0
500,bc_insulation_shape,phase,7.775720701315668e-23,3.838085535240996e-26,0.0,0.0,-1.6581819734544106e-31,7.198743159670899e-31
500,historical_momentum,potential,,0.002676246483428632,2.49634763915646e-07,0.0,0.0,0.0
500,historical_momentum,temperature,,0.0019843558421674214,0.0,7.301627516162917e-07,0.0,0.0
500,historical_momentum,phase,,0.0036937272889104966,0.0,0.0,-2.1925289399254995e-07,-2.290285125644721e-07
500,total_proposal,potential,,0.0026021506092978545,-2.1411913542476926e-07,0.0,0.0,0.0
500,total_proposal,temperature,,0.0025274323708653003,0.0,1.8874651532933854e-07,0.0,0.0
500,total_proposal,phase,,0.003879300003926316,0.0,0.0,-4.388578351696061e-07,2.5731579296364066e-08
1000,observation,potential,2.903343188053801,0.0013751240896586114,-6.443545241331282e-07,0.0,0.0,0.0
1000,observation,temperature,5.104340092776674,0.0015003821060999554,0.0,-6.031396170090737e-07,0.0,0.0
1000,observation,phase,3.3851336256441704,0.0011908191489126104,0.0,0.0,-8.429742470367666e-07,-9.671878588585893e-07
1000,initial,potential,0.0,0.0,0.0,0.0,0.0,0.0
1000,initial,temperature,0.0,0.0,0.0,0.0,0.0,0.0
1000,initial,phase,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_heater,potential,3.4096385398750335e-05,1.4231475197046976e-08,3.905454592280392e-12,0.0,0.0,0.0
1000,bc_heater,temperature,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_heater,phase,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_phase_no_flux,potential,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_phase_no_flux,temperature,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_phase_no_flux,phase,0.37214192850581274,0.0002859491851436693,0.0,0.0,2.6097493081343287e-08,1.999529364122401e-08
1000,bc_thermal,potential,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_thermal,temperature,0.03611566189094618,9.924958747464162e-06,0.0,3.1060780897873576e-09,0.0,0.0
1000,bc_thermal,phase,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_top_potential,potential,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_top_potential,temperature,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_top_potential,phase,0.0,0.0,0.0,0.0,0.0,0.0
1000,thermal,potential,0.002340728842198162,1.1634192446647988e-06,-4.915615553632891e-10,0.0,0.0,0.0
1000,thermal,temperature,0.0021337386388195273,2.9549544215480766e-07,0.0,2.679775297500886e-10,0.0,0.0
1000,thermal,phase,0.0004531666924495236,1.8886182846620492e-07,0.0,0.0,-5.5952351334074557e-11,8.83130712653351e-12
1000,phase,potential,0.0,0.0,0.0,0.0,0.0,0.0
1000,phase,temperature,0.0017641647908761366,2.3283795498071844e-07,0.0,1.7112487823024633e-10,0.0,0.0
1000,phase,phase,0.000619334546755925,2.505685879736072e-07,0.0,0.0,8.858893459466279e-11,1.8385467567348116e-11
1000,electric_amplitude,potential,0.0,0.0,0.0,0.0,0.0,0.0
1000,electric_amplitude,temperature,0.018625590203878346,2.310657497672817e-06,0.0,1.9655630932064042e-09,0.0,0.0
1000,electric_amplitude,phase,0.07492523494886322,3.1475412594016637e-05,0.0,0.0,1.0642675480989385e-08,8.788891641004879e-09
1000,electric_shape,potential,0.15371481927093342,0.00010349121150638496,3.464349481860816e-08,0.0,0.0,0.0
1000,electric_shape,temperature,0.00241086229683576,9.056433340317147e-07,0.0,-9.81344564306211e-11,0.0,0.0
1000,electric_shape,phase,0.4499408396556037,0.0001828740299579219,0.0,0.0,6.576662526763664e-08,5.380477310599808e-08
1000,bc_insulation_amplitude,potential,0.0,0.0,0.0,0.0,0.0,0.0
1000,bc_insulation_amplitude,temperature,0.0010918312915717302,2.5857707142759387e-07,0.0,1.2706400323178365e-10,0.0,0.0
1000,bc_insulation_amplitude,phase,9.453056800477214e-05,4.302571728957503e-08,0.0,0.0,1.8078386124091676e-12,-1.6604073969484004e-11
1000,bc_insulation_shape,potential,0.018908631377237684,1.708751498263685e-05,1.085083342597621e-09,0.0,0.0,0.0
1000,bc_insulation_shape,temperature,3.7155120645495813e-19,7.89681850707361e-23,0.0,-4.2447609232334316e-26,0.0,0.0
1000,bc_insulation_shape,phase,4.77846995736577e-20,2.09583347503826e-23,0.0,0.0,-9.085141836115642e-28,7.483462263485599e-27
1000,historical_momentum,potential,,0.0022146127752757905,-2.274862790440244e-07,0.0,0.0,0.0
1000,historical_momentum,temperature,,0.0028978420509645575,0.0,1.5140456692678477e-06,0.0,0.0
1000,historical_momentum,phase,,0.0032458525846866073,0.0,0.0,-2.1062399065403928e-07,-5.142041142440315e-07
1000,total_proposal,potential,,0.0027080485748861493,-8.36599881116718e-07,0.0,0.0,0.0
1000,total_proposal,temperature,,0.003008316628921549,0.0,9.164457253965497e-07,0.0,0.0
1000,total_proposal,phase,,0.0037672697605882783,0.0,0.0,-9.510569994389635e-07,-1.3987924020136692e-06
1500,observation,potential,1.299592967528356,0.0007517817503708027,-4.898087800312916e-08,0.0,0.0,0.0
1500,observation,temperature,5.847742203847036,0.0012006005039450702,0.0,1.2353212899292718e-07,0.0,0.0
1500,observation,phase,1.5541959641619072,0.0007069909929956709,0.0,0.0,-4.6023623021647626e-08,2.600290077978792e-07
1500,initial,potential,0.0,0.0,0.0,0.0,0.0,0.0
1500,initial,temperature,0.0,0.0,0.0,0.0,0.0,0.0
1500,initial,phase,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_heater,potential,0.0003111277612903603,1.868200794105267e-07,-6.989359689575622e-12,0.0,0.0,0.0
1500,bc_heater,temperature,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_heater,phase,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_phase_no_flux,potential,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_phase_no_flux,temperature,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_phase_no_flux,phase,1.1972622151982864,0.0005363617224899835,0.0,0.0,1.7732080028864943e-08,-2.9473875414298776e-08
1500,bc_thermal,potential,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_thermal,temperature,0.039507799315388246,1.2021758156748105e-05,0.0,9.769869719891304e-10,0.0,0.0
1500,bc_thermal,phase,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_top_potential,potential,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_top_potential,temperature,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_top_potential,phase,0.0,0.0,0.0,0.0,0.0,0.0
1500,thermal,potential,0.006240557837293211,3.5334917327551165e-06,-4.1063488517828636e-11,0.0,0.0,0.0
1500,thermal,temperature,0.0007680299011189536,2.722326018900334e-07,0.0,3.8217261248282875e-11,0.0,0.0
1500,thermal,phase,0.009074100285275331,3.1488947058529505e-06,0.0,0.0,2.8453694192335043e-10,-1.3412010213369185e-09
1500,phase,potential,0.0,0.0,0.0,0.0,0.0,0.0
1500,phase,temperature,0.002935590274502589,4.2420130320593744e-07,0.0,1.6299058213487698e-10,0.0,0.0
1500,phase,phase,0.0006253411713017262,2.264036310715999e-07,0.0,0.0,-1.841738499929298e-11,8.170076151294214e-11
1500,electric_amplitude,potential,0.0,0.0,0.0,0.0,0.0,0.0
1500,electric_amplitude,temperature,0.5358164775440167,0.00011498817334657686,0.0,1.0404356297349547e-08,0.0,0.0
1500,electric_amplitude,phase,17.83512366204489,0.0057046203793298155,0.0,0.0,5.337920152293257e-07,-2.6253729183098215e-06
1500,electric_shape,potential,4.725588814512135,0.0030257808129460096,3.215458771383922e-08,0.0,0.0,0.0
1500,electric_shape,temperature,0.07055650034878158,2.582655129797239e-05,0.0,1.4217100622349795e-09,0.0,0.0
1500,electric_shape,phase,17.05084722442274,0.00567438317456655,0.0,0.0,-5.068301801485874e-07,2.3014849091158285e-06
1500,bc_insulation_amplitude,potential,0.0,0.0,0.0,0.0,0.0,0.0
1500,bc_insulation_amplitude,temperature,0.001937730089537552,5.002774700416533e-07,0.0,3.114572608948988e-11,0.0,0.0
1500,bc_insulation_amplitude,phase,0.00559878602274453,2.418198006227747e-06,0.0,0.0,8.061627681002081e-11,-1.4468822122603802e-11
1500,bc_insulation_shape,potential,0.011583429860251472,8.806810742397201e-06,-3.6740889505587283e-13,0.0,0.0,0.0
1500,bc_insulation_shape,temperature,5.103758644152378e-19,1.710467073277092e-22,0.0,5.646145950433844e-27,0.0,0.0
1500,bc_insulation_shape,phase,2.957606989434274e-22,1.3505061324891762e-24,0.0,0.0,-2.920123395256224e-30,9.445757031723074e-30
1500,historical_momentum,potential,,0.0011544679680581922,3.087009154815683e-08,0.0,0.0,0.0
1500,historical_momentum,temperature,,0.0022641436056995076,0.0,-1.2147793273442463e-06,0.0,0.0
1500,historical_momentum,phase,,0.0021644814018900093,0.0,0.0,-5.463591215358239e-08,3.480198289447694e-07
1500,total_proposal,potential,,0.003487707505421369,1.3995381001764427e-08,0.0,0.0,0.0
1500,total_proposal,temperature,,0.0027183973064264606,0.0,-1.0782117914502732e-06,0.0,0.0
1500,total_proposal,phase,,0.0030210957343453394,0.0,0.0,-5.561888423189281e-08,2.534129830524101e-07
