role,pool,Lobs,LBC,thermal,phase,J_Tphi,C,F,common_C_plus_F,role_functional
E0,lbfgs,5.937255597408749e-05,0.2803728502259995,0.011536777247715473,0.0010481653843067388,0.0041949808773407374,1.1207822811899786,0.0003614325420632723,1.121143713732042,
E0,audit,5.937255597408733e-05,0.2402159279760523,0.01894318957614047,0.0009041913343967693,0.006615793636845747,1.1034830146204506,0.0005700057239467023,1.1040530203443972,
D_E,lbfgs,3.200424817016725e-05,0.042308578632685806,0.017032875571729417,0.0005792872172509444,0.00587072092966012,0.5572672870129329,0.0005058115046036157,0.5577730985175365,0.5572672870129329
D_E,audit,3.200424817016722e-05,0.06201680397150302,0.018864771304421442,0.0003446281781471992,0.006403133160856213,0.5657574258145662,0.0005516832527172252,0.5663091090672835,0.5657574258145662
P_E,lbfgs,3.3155678762854994e-05,0.038647340961994445,0.017138070800219472,0.0006282980344858637,0.005922122944901779,0.5750833699396324,0.0005102402163377548,0.5755936101559701,0.5755936101559701
P_E,audit,3.3155678762855035e-05,0.059030740916738024,0.018947481542708918,0.00037304825667238187,0.0064401765997937665,0.5838643683243093,0.0005548748535119474,0.5844192431778212,0.5844192431778212
D_C,lbfgs,2.577923423788154e-05,0.03554146173927236,0.016660912071517875,0.0004883197262551777,0.005716410599257684,0.4495054139316539,0.0004925163844076612,0.44999793031606156,0.4495054139316539
D_C,audit,2.577923423788154e-05,0.05663873534909705,0.018546992080132246,0.0003035779833203463,0.006283523354484197,0.4585939431220862,0.000541377871682893,0.4591353209937691,0.4585939431220862
P1,lbfgs,2.5536857196464036e-05,0.03629302905024845,0.016551572272477787,0.0004886304190067168,0.005680067563828169,0.44574687516632927,0.0004893851292087311,0.446236260295538,0.446236260295538
P1,audit,2.5536857196464036e-05,0.05770216329192318,0.01852177826349295,0.00029942754405648634,0.006273735269183144,0.4549697513111754,0.0005405345466104473,0.45551028585778586,0.45551028585778586
P_kappa,lbfgs,2.565899970369164e-05,0.03503798955179534,0.015535764109487132,0.00048310599671218946,0.005339623368733107,0.4472634362813266,0.0004600530262834147,0.44772348930761,0.48997498504896586
P_kappa,audit,2.565899970369164e-05,0.0557015666160244,0.01810454729906691,0.00030395441819874804,0.0061361672390885524,0.45616513262371733,0.000528681915030576,0.4566938145387479,0.5052482211077098
