role,electric_fv_rms,current_balance_rms,power_defect_rms,input_power_NRMSE
E0,8.913132556820419e-13,1.2855263398918187e-14,7.262823413828227e-15,0.026414635900222996
D_E,8.974974773745939e-13,1.3221007148398615e-14,7.418147532930215e-15,0.007213228405111228
P_E,8.958356518140208e-13,1.274680191462038e-14,7.119203981190642e-15,0.006817306280445116
B_E,8.990076055430979e-13,1.3727447967273357e-14,7.73674058919217e-15,0.017562292993548282
F_raw/network,26.933238993330114,1.4648505472394528,0.085553103660655,0.04775500560735139
F_raw/projected,8.94440489707315e-13,1.3169781445818429e-14,7.345821462562409e-15,0.010651206579954898
F_bal/network,24.950222557086608,1.745491465060835,0.07803749210125417,0.05684199456125867
F_bal/projected,8.945113664791909e-13,1.3166152081424152e-14,7.393759320359789e-15,0.016505301125965825
V29_D_C,8.964901151364638e-13,1.3668450012763186e-14,7.745686738071887e-15,0.007195096241100779
V29_P1,8.954575496710202e-13,1.3205447967105952e-14,7.398252927229793e-15,0.007250885760440997
V29_P_kappa,8.975493174747302e-13,1.3564604675225956e-14,7.623738345032936e-15,0.007606102265400096
