protocol,seed,role,valid,S,Ephi,ET,EV,current_percent,power_percent,energy_percent,strict
Original,29,E/projected,True,0.001030078125,0.020042062839986767,0.010600719518901736,0.001295806378420051,0.8582725577119891,0.8624890741396128,0.27517159515824585,False
Original,29,F_raw/projected,True,0.001225,0.023986713579712493,0.010930770446400033,0.0026037742743953525,1.6878445249982992,1.7274338826615832,0.16092828994405844,False
Original,29,B_E,True,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.002558449869505918,1.7282289380764062,1.7562292993545878,1.1849409958004113,False
Shorter gap,29,E/projected,True,0.0010861718750000001,0.01900241378176963,0.011021722601211524,0.001568101323932456,0.9942974635242439,0.9993320589703839,0.287606086266471,False
Shorter gap,29,F_raw/projected,True,0.0012612500000000002,0.023818465166233878,0.011691428007149965,0.0037235134756986397,2.269913966446679,2.3353161120948642,0.7066266554761793,False
Shorter gap,29,B_E,True,0.0015754687500000003,0.02552352964250399,0.012800189053165364,0.003005663306483679,2.0031855675185706,2.0489387231699214,1.5059309720727836,False
Original,43,E/projected,True,0.0011316406249999998,0.021619161166716246,0.010330845552147926,0.0023572941029588812,1.5717843041700048,1.592750502299147,0.6568905729493913,False
Original,43,F_raw/projected,True,0.0012525000000000001,0.02448208540577694,0.010446690661100185,0.00464752889807411,3.0696582612248653,3.1757522576540977,1.219115596598246,False
Original,43,B_E,True,0.0014084375000000002,0.023769782205783657,0.013278255127362866,0.002558449869505918,1.7282289380764062,1.7562292993545878,1.1849409958004113,False
Shorter gap,43,E/projected,True,0.0010735156249999998,0.018619221717954475,0.010960980041449084,0.0010802508400533871,0.6821188750454754,0.6727584643777657,0.16271789511990614,False
Shorter gap,43,F_raw/projected,True,0.001197734375,0.0233632244353989,0.0114088216040331,0.004585264153895475,2.9917345965852444,3.0946863267700393,0.25736041848725977,False
Shorter gap,43,B_E,True,0.0015754687500000003,0.02552352964250399,0.012800189053165364,0.003005663306483679,2.0031855675185706,2.0489387231699214,1.5059309720727836,False
