comparison,full/A/passed,full/A/gain/S,full/A/gain/Ephi,full/A/noninferior/ET,full/A/noninferior/EI,full/A/noninferior/EV,full/A/relative_changes/S,full/A/relative_changes/Ephi,full/A/relative_changes/ET,full/A/relative_changes/EI,full/A/relative_changes/EV,full/B/passed,full/B/gain/bottom_current_NRMSE,full/B/gain/power_trace_NRMSE,full/B/noninferior/S,full/B/noninferior/Ephi,full/B/noninferior/ET,full/B/noninferior/EV,full/B/noninferior/EI,full/B/relative_changes/bottom_current_NRMSE,full/B/relative_changes/power_trace_NRMSE,full/B/relative_changes/S,full/B/relative_changes/Ephi,full/B/relative_changes/ET,full/B/relative_changes/EV,full/B/relative_changes/EI,full/B/claim_layer,A_w/passed,A_w/gain/S,A_w/gain/Ephi,A_w/noninferior/ET,A_w/noninferior/EI,A_w/noninferior/EV,A_w/relative_changes/S,A_w/relative_changes/Ephi,A_w/relative_changes/ET,A_w/relative_changes/EI,A_w/relative_changes/EV,outside_cost_flags/S,outside_cost_flags/Ephi,outside_cost_flags/ET,outside_cost_flags/EI,outside_cost_flags/EV,outside_cost_flags/bottom_current_NRMSE,outside_cost_flags/power_trace_NRMSE,continuous_effects/window/S/candidate_error,continuous_effects/window/S/control_error,continuous_effects/window/S/signed_difference,continuous_effects/window/S/relative_error_reduction,continuous_effects/window/Ephi/candidate_error,continuous_effects/window/Ephi/control_error,continuous_effects/window/Ephi/signed_difference,continuous_effects/window/Ephi/relative_error_reduction,continuous_effects/window/ET/candidate_error,continuous_effects/window/ET/control_error,continuous_effects/window/ET/signed_difference,continuous_effects/window/ET/relative_error_reduction,continuous_effects/window/EV/candidate_error,continuous_effects/window/EV/control_error,continuous_effects/window/EV/signed_difference,continuous_effects/window/EV/relative_error_reduction,continuous_effects/window/EI/candidate_error,continuous_effects/window/EI/control_error,continuous_effects/window/EI/signed_difference,continuous_effects/window/EI/relative_error_reduction,continuous_effects/window/bottom_current_NRMSE/candidate_error,continuous_effects/window/bottom_current_NRMSE/control_error,continuous_effects/window/bottom_current_NRMSE/signed_difference,continuous_effects/window/bottom_current_NRMSE/relative_error_reduction,continuous_effects/window/power_trace_NRMSE/candidate_error,continuous_effects/window/power_trace_NRMSE/control_error,continuous_effects/window/power_trace_NRMSE/signed_difference,continuous_effects/window/power_trace_NRMSE/relative_error_reduction,continuous_effects/outside/S/candidate_error,continuous_effects/outside/S/control_error,continuous_effects/outside/S/signed_difference,continuous_effects/outside/S/relative_error_reduction,continuous_effects/outside/Ephi/candidate_error,continuous_effects/outside/Ephi/control_error,continuous_effects/outside/Ephi/signed_difference,continuous_effects/outside/Ephi/relative_error_reduction,continuous_effects/outside/ET/candidate_error,continuous_effects/outside/ET/control_error,continuous_effects/outside/ET/signed_difference,continuous_effects/outside/ET/relative_error_reduction,continuous_effects/outside/EV/candidate_error,continuous_effects/outside/EV/control_error,continuous_effects/outside/EV/signed_difference,continuous_effects/outside/EV/relative_error_reduction,continuous_effects/outside/EI/candidate_error,continuous_effects/outside/EI/control_error,continuous_effects/outside/EI/signed_difference,continuous_effects/outside/EI/relative_error_reduction,continuous_effects/outside/bottom_current_NRMSE/candidate_error,continuous_effects/outside/bottom_current_NRMSE/control_error,continuous_effects/outside/bottom_current_NRMSE/signed_difference,continuous_effects/outside/bottom_current_NRMSE/relative_error_reduction,continuous_effects/outside/power_trace_NRMSE/candidate_error,continuous_effects/outside/power_trace_NRMSE/control_error,continuous_effects/outside/power_trace_NRMSE/signed_difference,continuous_effects/outside/power_trace_NRMSE/relative_error_reduction,continuous_effects/full/S/candidate_error,continuous_effects/full/S/control_error,continuous_effects/full/S/signed_difference,continuous_effects/full/S/relative_error_reduction,continuous_effects/full/Ephi/candidate_error,continuous_effects/full/Ephi/control_error,continuous_effects/full/Ephi/signed_difference,continuous_effects/full/Ephi/relative_error_reduction,continuous_effects/full/ET/candidate_error,continuous_effects/full/ET/control_error,continuous_effects/full/ET/signed_difference,continuous_effects/full/ET/relative_error_reduction,continuous_effects/full/EV/candidate_error,continuous_effects/full/EV/control_error,continuous_effects/full/EV/signed_difference,continuous_effects/full/EV/relative_error_reduction,continuous_effects/full/EI/candidate_error,continuous_effects/full/EI/control_error,continuous_effects/full/EI/signed_difference,continuous_effects/full/EI/relative_error_reduction,continuous_effects/full/bottom_current_NRMSE/candidate_error,continuous_effects/full/bottom_current_NRMSE/control_error,continuous_effects/full/bottom_current_NRMSE/signed_difference,continuous_effects/full/bottom_current_NRMSE/relative_error_reduction,continuous_effects/full/power_trace_NRMSE/candidate_error,continuous_effects/full/power_trace_NRMSE/control_error,continuous_effects/full/power_trace_NRMSE/signed_difference,continuous_effects/full/power_trace_NRMSE/relative_error_reduction
D_vs_P,False,False,False,True,True,True,-0.00123270493719598,-0.0022768950575746158,0.00693685303790015,0.008931142669620876,0.010029977196318558,False,False,False,True,True,True,True,True,0.008931142669610597,0.007042015416298111,-0.00123270493719598,-0.0022768950575746158,0.00693685303790015,0.010029977196318558,0.008931142669620876,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,-0.004410172445665036,-0.0035297392703276167,0.003723211432952863,0.007733322351449148,0.010420737535394877,False,False,False,False,False,False,False,0.007290377475247525,0.00732267172029703,-3.2294245049504545e-05,0.004410172445664995,0.08372554186835324,0.08402211803796795,-0.0002965761696147179,0.0035297392703276254,0.013099879478694463,0.013051286778545834,4.859270014862839e-05,-0.0037232114329528443,0.004515535102656693,0.00446896518936352,4.6569913293173504e-05,-0.010420737535394853,0.025084495538905512,0.024891997696745053,0.00019249784216045923,-0.007733322351449079,0.025084495538905665,0.02489199769674201,0.0001924978421636546,-0.007733322351578531,0.024857287943693022,0.02476325445088178,9.403349281124004e-05,-0.0037972994623043377,0.0012181470218120805,0.0012038590604026844,1.4287961409396085e-05,-0.011868466898954821,0.0243326926392658,0.024140727452088416,0.0001919651871773835,-0.00795192222597163,0.01382457800982579,0.01370251592812266,0.00012206208170312954,-0.00890800509507983,0.0033926320841909064,0.0033605011876986428,3.213089649226368e-05,-0.009561340614870462,0.024354900640557953,0.024107431711848842,0.0002474689287091103,-0.010265254783962785,0.024354900640555323,0.0241074317118502,0.0002474689287051239,-0.010265254783796696,0.024921701577924584,0.02466378041983882,0.00025792115808576446,-0.01045748679623748,0.003671328125,0.003675859375,-4.531249999999761e-06,0.0012327049371957388,0.05643497185988691,0.05656376160913257,-0.00012878974924565578,0.002276895057574446,0.013536471577675242,0.013443217950396878,9.32536272783644e-05,-0.006936853037900148,0.0038855520585571114,0.0038469670666040844,3.8584991953027024e-05,-0.010029977196318374,0.024730587551360598,0.024511670326602994,0.00021891722475760392,-0.008931142669620806,0.024730587551359415,0.024511670326602064,0.00021891722475735065,-0.008931142669610814,0.02488876620300785,0.02471472473044648,0.0001740414725613683,-0.007042015416298009
D_vs_L,False,False,False,True,True,True,0.018354786980453296,0.017160626790180093,0.006541517396614321,0.01915468127463435,0.021784348864287758,False,False,False,True,True,True,True,True,0.019154681274664576,0.020587827182601007,0.018354786980453296,0.017160626790180093,0.006541517396614321,0.021784348864287758,0.01915468127463435,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,0.021957169964760118,0.018130049370699258,0.0071517940211819,0.004642836825057723,0.010633242426093316,False,False,False,False,False,False,False,0.007290377475247525,0.0071337407178217824,0.0001566367574257427,-0.021957169964760048,0.08372554186835324,0.08223462407391231,0.001490917794440924,-0.018130049370699286,0.013099879478694463,0.013006857115739748,9.302236295471479e-05,-0.007151794021181823,0.004515535102656693,0.004468025504303467,4.750959835322661e-05,-0.010633242426093314,0.025084495538905512,0.024968570540132733,0.00011592499877277965,-0.004642836825057728,0.025084495538905665,0.024968570540130058,0.00011592499877560725,-0.004642836825171415,0.024857287943693022,0.024737158322497014,0.0001201296211960079,-0.004856241757031476,0.0012181470218120805,0.0012132969798657718,4.850041946308659e-06,-0.003997407087294569,0.0243326926392658,0.02410419573505699,0.00022849690420881016,-0.009479548984763886,0.01382457800982579,0.013739795002352733,8.478300747305663e-05,-0.006170616625541969,0.0033926320841909064,0.0032757672807905746,0.00011686480340033188,-0.03567555121685184,0.024354900640557953,0.023508205033903197,0.0008466956066547557,-0.036017024925283136,0.024354900640555323,0.023508205033902184,0.0008466956066531389,-0.03601702492521586,0.024921701577924584,0.02401405303032621,0.0009076485475983734,-0.037796557975954714,0.003671328125,0.0036051562500000007,6.617187499999939e-05,-0.01835478698045323,0.05643497185988691,0.05548285135453666,0.0009521205053502554,-0.017160626790180267,0.013536471577675242,0.013448497994088579,8.797358358666324e-05,-0.006541517396614349,0.0038855520585571114,0.0038027124440454573,8.283961451165415e-05,-0.021784348864287706,0.024730587551360598,0.024265784189334835,0.0004648033620257633,-0.019154681274634155,0.024730587551359415,0.024265784189332947,0.0004648033620264676,-0.019154681274664576,0.02488876620300785,0.02438669709760786,0.0005020691053999882,-0.020587827182600993
D_vs_R,False,False,False,True,True,True,-0.001381274172298217,-0.0008542487376107107,0.008504305022601395,0.025660329760894125,0.028109839098111624,False,False,False,True,True,True,True,True,0.025660329760951027,0.02552042832025052,-0.001381274172298217,-0.0008542487376107107,0.008504305022601395,0.028109839098111624,0.025660329760894125,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,-0.003831417624521135,-0.0022769349350468936,0.007258282696791309,0.021848459538516593,0.02694378755237227,False,False,False,False,False,False,False,0.007290377475247525,0.007318417388613862,-2.8039913366337092e-05,0.003831417624521105,0.08372554186835324,0.08391661453962938,-0.00019107267127614624,0.0022769349350468815,0.013099879478694463,0.01300548201363149,9.439746506297204e-05,-0.007258282696791296,0.004515535102656693,0.0043970616088141136,0.00011847349384257969,-0.026943787552372367,0.025084495538905512,0.024548156142677045,0.000536339396228467,-0.021848459538516662,0.025084495538905665,0.02454815614267577,0.0005363393962298964,-0.02184845953857595,0.024857287943693022,0.024359902552367092,0.0004973853913259295,-0.020418201191761298,0.0012181470218120805,0.0012076604446308724,1.0486577181208082e-05,-0.008683382177358201,0.0243326926392658,0.024072986130130602,0.0002597065091351977,-0.01078829638048684,0.01382457800982579,0.01369766963355393,0.00012690837627185939,-0.009264961096811852,0.0033926320841909064,0.0032953682153968053,9.726386879410111e-05,-0.029515326493609884,0.024354900640557953,0.023646904868030776,0.0007079957725271771,-0.029940314661828893,0.024354900640555323,0.023646904868026963,0.0007079957725283602,-0.029940314661883738,0.024921701577924584,0.024174223537149972,0.0007474780407746122,-0.030920457057324713,0.003671328125,0.00367640625,-5.078124999999874e-06,0.0013812741722979416,0.05643497185988691,0.056483222581473314,-4.8250721586401424e-05,0.0008542487376106411,0.013536471577675242,0.013422324039927502,0.00011414753774774064,-0.008504305022601466,0.0038855520585571114,0.003779316091328951,0.00010623596722816051,-0.0281098390981116,0.024730587551360598,0.024111869040626625,0.0006187185107339732,-0.025660329760894163,0.024730587551359415,0.024111869040624134,0.0006187185107352812,-0.025660329760951006,0.02488876620300785,0.024269400702016598,0.0006193655009912521,-0.025520428320250588
D_vs_I,False,False,False,True,True,True,-0.002356487771739366,-0.0023760252115505695,0.004678269597721221,0.0010822850248081608,0.0010487102568616613,False,False,False,True,True,True,True,True,0.0010822850247017837,-0.000864126329360727,-0.002356487771739366,-0.0023760252115505695,0.004678269597721221,0.0010487102568616613,0.0010822850248081608,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,-0.0050932889979680256,-0.0031296454751295736,0.0031254326663607513,-0.007209607886709722,-0.006301345554285656,False,False,False,False,False,False,False,0.007290377475247525,0.007327699566831684,-3.732209158415888e-05,0.005093288997968015,0.08372554186835324,0.08398839577114178,-0.0002628539027885457,0.0031296454751296165,0.013099879478694463,0.01305906425268701,4.081522600745194e-05,-0.0031254326663607834,0.004515535102656693,0.004544169484837897,-2.8634382181203823e-05,0.006301345554285631,0.025084495538905512,0.025266658237404704,-0.00018216269849919212,0.007209607886709768,0.025084495538905665,0.025266658237402772,-0.00018216269849710698,0.0072096078866277225,0.024857287943693022,0.02515923485066171,-0.0003019469069686885,0.012001434414081413,0.0012181470218120805,0.0012073982802013423,1.0748741610738192e-05,-0.008902399305178443,0.0243326926392658,0.02424215583710505,9.053680216074972e-05,-0.003734684438509106,0.01382457800982579,0.013747223239350218,7.73547704755722e-05,-0.0056269378280080495,0.0033926320841909064,0.003358728555924875,3.390352826603124e-05,-0.010094155482206046,0.024354900640557953,0.024101100466627588,0.0002538001739303651,-0.010530646693158285,0.024354900640555323,0.024101100466632726,0.000253800173922597,-0.010530646692833656,0.024921701577924584,0.024646791266231705,0.0002749103116928796,-0.011154000077467696,0.003671328125,0.00368,-8.671874999999999e-06,0.0023564877717391353,0.05643497185988691,0.05656938213804874,-0.00013441027816182838,0.0023760252115503366,0.013536471577675242,0.013473439196704552,6.303238097069008e-05,-0.004678269597721441,0.0038855520585571114,0.0038814815090867138,4.070549470397682e-06,-0.0010487102568614848,0.024730587551360598,0.02470385094342943,2.673660793116664e-05,-0.0010822850248082272,0.024730587551359415,0.024703850943430875,2.6736607928540268e-05,-0.0010822850247018678,0.02488876620300785,0.024910291842060634,-2.1525639052784318e-05,0.000864126329360726
D_vs_RI,False,False,False,True,True,True,0.01820033367278368,0.015909766106488577,0.005493458504026831,0.014874842314044562,0.01824766351046544,False,False,False,True,True,True,True,True,0.014874842314001794,0.016358868095341823,0.01820033367278368,0.015909766106488577,0.005493458504026831,0.01824766351046544,0.014874842314044562,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,0.020601532255881273,0.016539450616233964,0.004306069758647861,0.00019667981285369324,0.007402772425938582,False,False,False,False,False,False,False,0.007290377475247525,0.007143216274752476,0.0001471612004950492,-0.02060153225588124,0.08372554186835324,0.08236329816575065,0.0013622437026025863,-0.016539450616233964,0.013099879478694463,0.013043712343431909,5.616713526255396e-05,-0.00430606975864789,0.004515535102656693,0.004482353261528931,3.318184112776224e-05,-0.007402772425938675,0.025084495538905512,0.025079562895168838,4.932643736674236e-06,-0.00019667981285365066,0.025084495538905665,0.025079562895168977,4.932643736688114e-06,-0.0001966798128543168,0.024857287943693022,0.02483982425049104,1.746369320198074e-05,-0.0007030522046320709,0.0012181470218120805,0.0012077915268456376,1.0355494966442919e-05,-0.008573909268504432,0.0243326926392658,0.024070367230702213,0.0002623254085635865,-0.010898271972726192,0.01382457800982579,0.013739144916733871,8.543309309191893e-05,-0.00621822490480195,0.0033926320841909064,0.003288245905087704,0.00010438617910320247,-0.03174524719750793,0.024354900640557953,0.02360101080179967,0.0007538898387582822,-0.03194311655078752,0.024354900640555323,0.023601010801799223,0.0007538898387560999,-0.031943116550695594,0.024921701577924584,0.024114256409410142,0.0008074451685144424,-0.033484141281642454,0.003671328125,0.0036057031249999995,6.562500000000058e-05,-0.018200333672784064,0.05643497185988691,0.0555511658049868,0.0008838060549001131,-0.015909766106488643,0.013536471577675242,0.013462515805736623,7.395577193861948e-05,-0.005493458504026938,0.0038855520585571114,0.0038159204266292692,6.96316319278422e-05,-0.01824766351046536,0.024730587551360598,0.02436811567323089,0.00036247187812970746,-0.014874842314044567,0.024730587551359415,0.02436811567323075,0.00036247187812866316,-0.014874842314001713,0.02488876620300785,0.02448816750096296,0.0004005987020448895,-0.016358868095341927
D_vs_RIM,False,False,False,True,True,True,0.018045927209705263,0.01813772581337562,0.008361492020989642,0.013112247008530448,0.014448990937711166,False,False,False,True,True,True,True,True,0.01311224700849336,0.015070792739476082,0.018045927209705263,0.01813772581337562,0.008361492020989642,0.014448990937711166,0.013112247008530448,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,0.022511526986710082,0.019550369273996473,0.011912053212449989,-0.008015729820752875,-0.003493305983298253,False,False,False,False,False,False,False,0.007290377475247525,0.007129873143564357,0.00016050433168316846,-0.022511526986709995,0.08372554186835324,0.08212006428674308,0.0016054775816101569,-0.01955036927399645,0.013099879478694463,0.012945669969151119,0.00015420950954334392,-0.011912053212449925,0.004515535102656693,0.00453136454553612,-1.58294428794269e-05,0.0034933059832982227,0.025084495538905512,0.02528719082851269,-0.00020269528960717778,0.008015729820752826,0.025084495538905665,0.0252871908285133,-0.00020269528960763575,0.008015729820770812,0.024857287943693022,0.025052263783638905,-0.0001949758399458837,0.0077827633314805356,0.0012181470218120805,0.0012177537751677852,3.9324664429527326e-07,-0.00032292787944032675,0.0243326926392658,0.024163324809271528,0.00016936782999427136,-0.007009293271151407,0.01382457800982579,0.013739138951314633,8.543905851115738e-05,-0.006218661796340674,0.0033926320841909064,0.0032705378725802364,0.00012209421161067007,-0.037331538837783285,0.024354900640557953,0.02345847998994399,0.000896420650613964,-0.03821307480272518,0.024354900640555323,0.023458479989942698,0.0008964206506126247,-0.03821307480267033,0.024921701577924584,0.023948102686751623,0.0009735988911729609,-0.040654531338366384,0.003671328125,0.0036062500000000005,6.50781249999996e-05,-0.018045927209705326,0.05643497185988691,0.055429604884547234,0.0010053669753396777,-0.018137725813375916,0.013536471577675242,0.013424225027222155,0.0001122465504530875,-0.00836149202098957,0.0038855520585571114,0.0038302093976804903,5.5342660876621114e-05,-0.014448990937711015,0.024730587551360598,0.024410510902798676,0.0003200766485619219,-0.013112247008530531,0.024730587551359415,0.024410510902798402,0.0003200766485610129,-0.01311224700849345,0.02488876620300785,0.024519241791834023,0.00036952441117382717,-0.01507079273947598
D_vs_G,False,False,False,True,True,True,0.013741478988695908,0.011714194052941206,0.007684300200367465,0.006797256773478587,0.008946923307210686,False,False,False,True,True,True,True,True,0.006797256773521434,0.006606570034724755,0.013741478988695908,0.011714194052941206,0.007684300200367465,0.008946923307210686,0.006797256773478587,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,0.015324122700708254,0.012233377592155155,0.0066722738794194325,-0.0016776052226889302,0.0034542170918297334,False,False,False,False,False,False,False,0.007290377475247525,0.007180344987623763,0.00011003248762376204,-0.015324122700708154,0.08372554186835324,0.08271367425910706,0.001011867609246181,-0.012233377592155259,0.013099879478694463,0.0130130528262305,8.682665246396298e-05,-0.006672273879419377,0.004515535102656693,0.004499991156291548,1.554394636514491e-05,-0.003454217091829692,0.025084495538905512,0.025126648135045532,-4.2152596140019455e-05,0.0016776052226888938,0.025084495538905665,0.02512664813504292,-4.2152596137254306e-05,0.0016776052225790927,0.024857287943693022,0.02493946780794235,-8.217986424932655e-05,0.0032951731320888245,0.0012181470218120805,0.0012092334312080535,8.913590604026989e-06,-0.007371273712737159,0.0243326926392658,0.024149728715298746,0.00018296392396705344,-0.007576231026195535,0.01382457800982579,0.013710754562951892,0.000113823446873898,-0.008301763870929735,0.0033926320841909064,0.0033403113230376213,5.232076115328516e-05,-0.015663438552100395,0.024354900640557953,0.023960549835681876,0.00039435080487607715,-0.016458337040697213,0.024354900640555323,0.023960549835680075,0.00039435080487524796,-0.016458337040663906,0.024921701577924584,0.024499159958835753,0.0004225416190888308,-0.01724718805864356,0.003671328125,0.0036215625,4.97656249999999e-05,-0.013741478988696043,0.05643497185988691,0.055781536121192105,0.0006534357386948075,-0.011714194052941496,0.013536471577675242,0.01343324647906458,0.0001032250986106615,-0.007684300200367478,0.0038855520585571114,0.0038510965926936216,3.445546586348979e-05,-0.008946923307210586,0.024730587551360598,0.024563622303278472,0.00016696524808212584,-0.006797256773478422,0.024730587551359415,0.024563622303276248,0.00016696524808316668,-0.006797256773521498,0.02488876620300785,0.024725416010496794,0.00016335019251105531,-0.006606570034724868
P_vs_D,False,False,False,True,True,True,0.001234226374141001,0.0022820911396113316,-0.006889064609137961,-0.008852083449410797,-0.009930375753955509,False,False,False,True,True,True,True,True,-0.0088520834494007,-0.006992772206616456,0.001234226374141001,0.0022820911396113316,-0.006889064609137961,-0.009930375753955509,-0.008852083449410797,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,0.004429708222811616,0.0035422424626530653,-0.0037094005504141594,-0.007673977013486248,-0.010313265700398236,False,False,False,False,False,False,False,0.00732267172029703,0.007290377475247525,3.2294245049504545e-05,-0.004429708222811524,0.08402211803796795,0.08372554186835324,0.0002965761696147179,-0.0035422424626530002,0.013051286778545834,0.013099879478694463,-4.859270014862839e-05,0.0037094005504141325,0.00446896518936352,0.004515535102656693,-4.6569913293173504e-05,0.010313265700398255,0.024891997696745053,0.025084495538905512,-0.00019249784216045923,0.007673977013486266,0.02489199769674201,0.025084495538905665,-0.0001924978421636546,0.007673977013613609,0.02476325445088178,0.024857287943693022,-9.403349281124004e-05,0.003782934527058801,0.0012038590604026844,0.0012181470218120805,-1.4287961409396085e-05,0.011729258581728241,0.024140727452088416,0.0243326926392658,-0.0001919651871773835,0.007889188016438786,0.01370251592812266,0.01382457800982579,-0.00012206208170312954,0.008829353172037036,0.0033605011876986428,0.0033926320841909064,-3.213089649226368e-05,0.009470787192630836,0.024107431711848842,0.024354900640557953,-0.0002474689287091103,0.010160950042924943,0.0241074317118502,0.024354900640555323,-0.0002474689287051239,0.010160950042762407,0.02466378041983882,0.024921701577924584,-0.00025792115808576446,0.01034925955113064,0.003675859375,0.003671328125,4.531249999999761e-06,-0.0012342263741407233,0.05656376160913257,0.05643497185988691,0.00012878974924565578,-0.0022820911396113086,0.013443217950396878,0.013536471577675242,-9.32536272783644e-05,0.006889064609137963,0.0038469670666040844,0.0038855520585571114,-3.8584991953027024e-05,0.00993037575395539,0.024511670326602994,0.024730587551360598,-0.00021891722475760392,0.008852083449410797,0.024511670326602064,0.024730587551359415,-0.00021891722475735065,0.008852083449401027,0.02471472473044648,0.02488876620300785,-0.0001740414725613683,0.006992772206616427
P_vs_L,False,False,False,True,True,True,0.019611667316777315,0.01948188004413947,-0.00039261214851071563,0.010133038988133622,0.011637646340554619,False,False,False,True,True,True,True,True,0.010133038988173871,0.013451088990267434,0.019611667316777315,0.01948188004413947,-0.00039261214851071563,0.011637646340554619,0.010133038988133622,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,0.0264841420439143,0.02173651286408321,0.0034158646020891205,-0.0030667692115013854,0.00021031327129803263,False,False,False,False,False,False,False,0.00732267172029703,0.0071337407178217824,0.00018893100247524726,-0.02648414204391436,0.08402211803796795,0.08223462407391231,0.001787493964055642,-0.02173651286408318,0.013051286778545834,0.013006857115739748,4.44296628060864e-05,-0.0034158646020892025,0.00446896518936352,0.004468025504303467,9.39685060053104e-07,-0.0002103132712980571,0.024891997696745053,0.024968570540132733,-7.657284338767958e-05,0.0030667692115013967,0.02489199769674201,0.024968570540130058,-7.657284338804735e-05,0.0030667692115164957,0.02476325445088178,0.024737158322497014,2.6096128384767853e-05,-0.0010549363853582516,0.0012038590604026844,0.0012132969798657718,-9.437919463087426e-06,0.007778738115816863,0.024140727452088416,0.02410419573505699,3.653171703142666e-05,-0.0015155750240734012,0.01370251592812266,0.013739795002352733,-3.7279074230072914e-05,0.0027132190999712424,0.0033605011876986428,0.0032757672807905746,8.47339069080682e-05,-0.025866888470666538,0.024107431711848842,0.023508205033903197,0.0005992266779456454,-0.02549010769139759,0.0241074317118502,0.023508205033902184,0.000599226677948015,-0.02549010769149951,0.02466378041983882,0.02401405303032621,0.0006497273895126089,-0.027056132036191505,0.003675859375,0.0036051562500000007,7.070312499999915e-05,-0.019611667316776993,0.05656376160913257,0.05548285135453666,0.0010809102545959112,-0.019481880044139643,0.013443217950396878,0.013448497994088579,-5.280043691701167e-06,0.00039261214851071813,0.0038469670666040844,0.0038027124440454573,4.425462255862713e-05,-0.01163764634055453,0.024511670326602994,0.024265784189334835,0.00024588613726815936,-0.010133038988133336,0.024511670326602064,0.024265784189332947,0.00024588613726911693,-0.010133038988173526,0.02471472473044648,0.02438669709760786,0.0003280276328386199,-0.013451088990267479
P_vs_R,False,False,False,True,True,True,-0.0001487526031705863,0.0014258929285254952,0.0015566537067069164,0.01658109893110049,0.017900322079528637,False,False,False,True,True,True,True,True,0.016581098931167246,0.018349197571775264,-0.0001487526031705863,0.0014258929285254952,0.0015566537067069164,0.017900322079528637,0.01658109893110049,limited device-function signal; separate from phase reconstruction and strict usability,False,False,False,True,True,True,0.0005813185361341137,0.0012572420719945503,0.0035219582685466107,0.014006817948751684,0.016352643411971336,False,False,False,False,False,False,False,0.00732267172029703,0.007318417388613862,4.254331683167453e-06,-0.0005813185361340789,0.08402211803796795,0.08391661453962938,0.00010550349833857164,-0.0012572420719945132,0.013051286778545834,0.01300548201363149,4.5804764914343654e-05,-0.003521958268546621,0.00446896518936352,0.0043970616088141136,7.190358054940619e-05,-0.0163526434119714,0.024891997696745053,0.024548156142677045,0.00034384155406800773,-0.014006817948751582,0.02489199769674201,0.02454815614267577,0.0003438415540662418,-0.014006817948680528,0.02476325445088178,0.024359902552367092,0.00040335189851468944,-0.01655802594643374,0.0012038590604026844,0.0012076604446308724,-3.801384228188003e-06,0.0031477260392923645,0.024140727452088416,0.024072986130130602,6.774132195781421e-05,-0.002813997465525242,0.01370251592812266,0.01369766963355393,4.846294568729842e-06,-0.00035380431112597144,0.0033605011876986428,0.0032953682153968053,6.513297230183743e-05,-0.019765005924837098,0.024107431711848842,0.023646904868030776,0.0004605268438180668,-0.01947514257735583,0.0241074317118502,0.023646904868026963,0.0004605268438232363,-0.01947514257757743,0.02466378041983882,0.024174223537149972,0.0004895568826888477,-0.02025119367066819,0.003675859375,0.00367640625,-5.468750000001132e-07,0.0001487526031705988,0.05656376160913257,0.056483222581473314,8.053902765925436e-05,-0.001425892928525574,0.013443217950396878,0.013422324039927502,2.0893910469376234e-05,-0.0015566537067071007,0.0038469670666040844,0.003779316091328951,6.765097527513348e-05,-0.01790032207952863,0.024511670326602994,0.024111869040626625,0.0003998012859763693,-0.016581098931100602,0.024511670326602064,0.024111869040624134,0.00039980128597793055,-0.016581098931166993,0.02471472473044648,0.024269400702016598,0.00044532402842988386,-0.018349197571775333
