arm,cycle,event_time,pre_roi_fraction,peak_roi_fraction,peak_full_domain_fraction,peak_outside_roi_fraction,recovery_fraction,peak_time_index,recall,precision,mass_ratio,reference_event_time,timing_absolute,support_window,support_measure,teacher_active_target_mass,predicted_active_target_mass,true_positive_target_mass,reference_event_present,false_positive_event,false_negative_target_mass,false_positive_target_mass
D,1,0.22472,0.0,0.062241735537190084,0.018828125,0.0,1.0,166,0.8369761153672827,0.8732808275537792,0.9584272194682291,0.24059999999999998,0.015879999999999977,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006646093749999998,0.0005803906249999999,True,False,0.00011304687499999987,8.421874999999998e-05
D,2,1.22715,0.0,0.07954545454545454,0.0240625,0.0,1.0,609,0.6431013848521118,0.8141774891774893,0.7898786117285008,1.2268000000000001,0.00034999999999985043,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0007218750000000002,0.0005877343750000003,True,False,0.00032617187499999975,0.00013414062499999993
P,1,0.22555,0.0,0.062241735537190084,0.018828125,0.0,1.0,165,0.8368634520054077,0.8770811193765494,0.9541460117169899,0.24059999999999998,0.01504999999999998,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006616406249999999,0.0005803124999999997,True,False,0.00011312500000000005,8.132812500000024e-05
P,2,1.2255500000000001,0.0,0.0803202479338843,0.024296875,0.0,1.0,632,0.6602838091981537,0.8245969894309808,0.800735168404856,1.2268000000000001,0.0012499999999999734,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0007317968750000005,0.0006034375000000001,True,False,0.00031046874999999987,0.00012835937500000033
L,1,0.22715000000000002,0.0,0.06198347107438017,0.01875,0.0,1.0,165,0.8332582244254169,0.8807907586042634,0.94603424966201,0.24059999999999998,0.013449999999999962,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006560156249999998,0.0005778124999999998,True,False,0.00011562499999999995,7.820312500000004e-05
L,2,1.22805,0.0,0.07954545454545454,0.0240625,0.0,1.0,634,0.6476320738587796,0.8335350423588959,0.7769704222944092,1.2268000000000001,0.0012499999999999734,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0007100781249999999,0.0005918750000000003,True,False,0.0003220312499999997,0.0001182031249999996
R,1,0.226525,0.0,0.062241735537190084,0.018828125,0.0,1.0,165,0.835173501577287,0.8806129722024234,0.9484001802613788,0.24059999999999998,0.014074999999999976,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006576562499999996,0.0005791406249999997,True,False,0.00011429687500000003,7.851562499999992e-05
R,2,1.22805,0.0,0.0803202479338843,0.024296875,0.0,1.0,624,0.6559240895879638,0.8343845150065247,0.7861172850059839,1.2268000000000001,0.0012499999999999734,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0007184375,0.000599453125,True,False,0.00031445312499999995,0.00011898437499999995
I,1,0.22472,0.0,0.062241735537190084,0.018828125,0.0,1.0,167,0.8347228481297883,0.8768047337278105,0.9520054078413701,0.24059999999999998,0.015879999999999977,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006601562499999998,0.0005788281249999998,True,False,0.00011460937499999991,8.132812500000002e-05
I,2,1.2243,0.0,0.07980371900826447,0.024140625,0.0,1.0,607,0.6595144469140027,0.8176133955065708,0.8066336125833478,1.2268000000000001,0.0025000000000001688,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0007371875000000002,0.0006027343750000003,True,False,0.0003111718749999997,0.00013445312499999992
RI,1,0.22703333333333334,0.0,0.06198347107438017,0.01875,0.0,1.0,165,0.8341595313204144,0.8803804994054691,0.9474988733663816,0.24059999999999998,0.013566666666666644,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.00065703125,0.0005784374999999996,True,False,0.00011500000000000008,7.859375000000032e-05
RI,2,1.2302199999999999,0.0,0.07928719008264463,0.023984375,0.0,1.0,628,0.6472046503675843,0.8376853286125249,0.7726107026842196,1.2268000000000001,0.0034199999999997566,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0007060937500000001,0.0005914843750000001,True,False,0.0003224218749999999,0.00011460937500000002
RIM,1,0.226525,0.0,0.062241735537190084,0.018828125,0.0,1.0,168,0.8316809373591708,0.8805916736251936,0.9444569625957641,0.24059999999999998,0.014074999999999976,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006549218749999999,0.0005767187499999998,True,False,0.00011671874999999996,7.820312500000015e-05
RIM,2,1.22715,0.0,0.07877066115702479,0.023828125,0.0,1.0,617,0.6417336296802874,0.8249450549450549,0.7779107539750387,1.2268000000000001,0.00034999999999985043,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0007109375000000002,0.0005864843750000001,True,False,0.0003274218749999999,0.0001244531250000001
G,1,0.2262,0.0,0.062241735537190084,0.018828125,0.0,1.0,165,0.8344975214060387,0.8779186914780134,0.9505407841369987,0.24059999999999998,0.014399999999999968,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006934374999999997,0.0006591406249999998,0.0005786718749999998,True,False,0.00011476562499999996,8.046875000000003e-05
G,2,1.227775,0.0,0.07980371900826447,0.024140625,0.0,1.0,637,0.6521627628654468,0.8282488329171636,0.7873995554795695,1.2268000000000001,0.0009749999999999481,"[1.01, 1.36]",global trapezoid time times cell volume,0.00091390625,0.0007196093750000003,0.0005960156249999998,True,False,0.00031789062500000025,0.00012359375000000055
