arm,target,value_relative_change,gradient_norm_relative_change,passed
D,Pphi,1.7786967857667385e-13,7.531341230261207e-14,True
D,Ppsi,1.0944814843866755e-13,5.004044018962063e-13,True
D,Pzeta,2.0877779976954262e-13,2.29137966979575e-13,True
D,Iphi,9.04879618157043e-14,2.9853399951394437e-14,True
D,Izeta,1.0539263220460781e-13,1.1423415836737634e-13,True
D,Mzeta,8.458374919651756e-14,1.992717227016176e-13,True
P,Pphi,2.246627958962208e-13,6.261791450818879e-14,True
P,Ppsi,1.183732172999635e-13,5.568915355623864e-13,True
P,Pzeta,2.2454670011240483e-13,2.525079801965608e-13,True
P,Iphi,1.145655897752129e-13,1.772018165717241e-14,True
P,Izeta,1.136921890236392e-13,1.2760273082644694e-13,True
P,Mzeta,9.179509109974918e-14,2.1839863660531332e-13,True
L,Pphi,2.2782308435180395e-13,7.304516168085599e-15,True
L,Ppsi,1.186256362737353e-13,6.917104505238035e-13,True
L,Pzeta,2.25702914879395e-13,3.17016698307426e-13,True
L,Iphi,1.1576867203666407e-13,1.8784491103533872e-14,True
L,Izeta,1.1428127744729141e-13,1.5916174442409343e-13,True
L,Mzeta,9.089687264654875e-14,2.552048431497214e-13,True
R,Pphi,2.3381420745921744e-13,7.267164630672221e-14,True
R,Ppsi,1.2112381098525822e-13,5.749202023248269e-13,True
R,Pzeta,2.316509373628703e-13,2.649402722137129e-13,True
R,Iphi,1.1893692948164362e-13,2.120272271039513e-14,True
R,Izeta,1.1701640560179606e-13,1.3426440635256373e-13,True
R,Mzeta,9.416481793748188e-14,2.276981457185885e-13,True
I,Pphi,2.1296469764212108e-13,9.653737753756171e-14,True
I,Ppsi,1.1291667707033869e-13,7.446952685452997e-13,True
I,Pzeta,2.1454203522441407e-13,3.3990564409540074e-13,True
I,Iphi,1.0837753854164486e-13,6.111919026419942e-14,True
I,Izeta,1.085771389993663e-13,1.6987785401776732e-13,True
I,Mzeta,8.481912464474338e-14,2.657823998446457e-13,True
RI,Pphi,2.3537504557941354e-13,4.4517146597474527e-14,True
RI,Ppsi,1.200499273106139e-13,6.127249924134622e-13,True
RI,Pzeta,2.2939606118039616e-13,2.8101614333523445e-13,True
RI,Iphi,1.1940361660630578e-13,6.824671042779061e-15,True
RI,Izeta,1.1642404545182544e-13,1.4186229918368023e-13,True
RI,Mzeta,9.283510035333566e-14,2.358839039653427e-13,True
RIM,Pphi,2.2670993623943588e-13,2.8873748732385133e-13,True
RIM,Ppsi,1.2583802322968225e-13,3.4406429415776006e-13,True
RIM,Pzeta,2.4033468356724195e-13,1.589973921104103e-13,True
RIM,Iphi,1.1520362061506718e-13,1.327272859433566e-13,True
RIM,Izeta,1.2173074871116618e-13,8.099486372173693e-14,True
RIM,Mzeta,1.0060083035137508e-13,1.7031195219569212e-13,True
G,Pphi,2.232886112166571e-13,2.5439611016053607e-14,True
G,Ppsi,1.1787893946413614e-13,6.429400199951921e-13,True
G,Pzeta,2.2489141837777665e-13,2.94582177751648e-13,True
G,Iphi,1.1334414984887164e-13,1.1030044209025738e-15,True
G,Izeta,1.1415024254633572e-13,1.4797544373023666e-13,True
G,Mzeta,9.086941506864114e-14,2.432788970269527e-13,True
