arm,target,value_relative_change,gradient_norm_relative_change,passed
D,Pphi,3.552545241582953e-08,4.781738912370236e-07,True
D,Ppsi,2.524001160771593e-08,5.880351157006208e-07,True
D,Pzeta,4.808290405901695e-08,2.674234877524717e-07,True
D,Iphi,1.8085448980050627e-08,2.38023762863962e-07,True
D,Izeta,2.4432797755463513e-08,1.295624173324064e-07,True
D,Mzeta,4.242074564187127e-08,1.5959128911740785e-07,True
P,Pphi,3.842862032823837e-08,5.55025846632171e-07,True
P,Ppsi,2.645777423117368e-08,6.179953752058174e-07,True
P,Pzeta,5.0217201266182896e-08,2.783784259622568e-07,True
P,Iphi,1.9862129100481852e-08,2.787515475593217e-07,True
P,Izeta,2.5884761384924607e-08,1.3640790385948405e-07,True
P,Mzeta,4.439111798739049e-08,1.6717971247383588e-07,True
L,Pphi,4.277086572285766e-08,5.995290004748276e-07,True
L,Ppsi,2.8227424576594165e-08,6.366049886537086e-07,True
L,Pzeta,5.3737328004134333e-08,2.8997285479004417e-07,True
L,Iphi,2.20461698716407e-08,3.011623874843417e-07,True
L,Izeta,2.763622102544257e-08,1.4181917670781026e-07,True
L,Mzeta,4.6662346551400425e-08,1.732312188014367e-07,True
R,Pphi,3.8781488651315256e-08,5.606006739794581e-07,True
R,Ppsi,2.6644467779998115e-08,6.230657504079176e-07,True
R,Pzeta,5.0867533710457424e-08,2.849533056132561e-07,True
R,Iphi,2.010710714630226e-08,2.821546044576097e-07,True
R,Izeta,2.6296501296118976e-08,1.3994596511886838e-07,True
R,Mzeta,4.506903010198018e-08,1.712949700683171e-07,True
I,Pphi,4.3687470343618936e-08,5.805164766212796e-07,True
I,Ppsi,2.903837808379476e-08,6.398622976283787e-07,True
I,Pzeta,5.5033852409981014e-08,2.906017662560702e-07,True
I,Iphi,2.242330221569415e-08,2.9016341320673156e-07,True
I,Izeta,2.8192010602155304e-08,1.416839929672358e-07,True
I,Mzeta,4.706174378013308e-08,1.7292788424953337e-07,True
RI,Pphi,4.1320175988087294e-08,6.10499826754094e-07,True
RI,Ppsi,2.7131189620078457e-08,6.271668745306574e-07,True
RI,Pzeta,5.187218649215767e-08,2.856159666653579e-07,True
RI,Iphi,2.1347450052013713e-08,3.071740745925051e-07,True
RI,Izeta,2.6733502556475662e-08,1.3993949149617695e-07,True
RI,Mzeta,4.561988805552212e-08,1.712171951143805e-07,True
RIM,Pphi,3.435133001167225e-08,5.274846469038768e-07,True
RIM,Ppsi,2.3477004852462303e-08,5.979320789736764e-07,True
RIM,Pzeta,4.4786159478456065e-08,2.7273378275363416e-07,True
RIM,Iphi,1.7658453725166374e-08,2.6502606848722284e-07,True
RIM,Izeta,2.2964255041862762e-08,1.3320597663537744e-07,True
RIM,Mzeta,4.144807327173069e-08,1.646617529886666e-07,True
G,Pphi,4.098748768905841e-08,5.884219554840317e-07,True
G,Ppsi,2.7641471713580958e-08,6.356085377033908e-07,True
G,Pzeta,5.2638596882089824e-08,2.8947496811229066e-07,True
G,Iphi,2.1097511621550217e-08,2.9536560300400807e-07,True
G,Izeta,2.703829107876495e-08,1.4149200561299091e-07,True
G,Mzeta,4.593932656310378e-08,1.7309704791332115e-07,True
