reference,id,S,heating_FN_integral,heating_FP_integral,subsequent_FN_integral,subsequent_FP_integral,W_FN_integral,W_FP_integral,W_duration
old,shorter/29/E,0.008899868502475247,0.0005175781250000004,0.0002969726562500002,0.0001410156249999998,0.008033300781249999,0.0006585937500000001,0.0083302734375,1.01
old,shorter/29/D_E,0.00903078589108911,0.0005336914062500003,0.00027919921875000015,0.00016533203124999976,0.00814287109375,0.0006990234375000001,0.008422070312499998,1.01
old,shorter/29/F,0.007848081683168319,0.0022566406250000017,0.0,0.005669921874999998,0.0,0.007926562500000001,0.0,1.01
old,shorter/43/E,0.007946704826732674,0.0004493164062500003,0.0003617187500000001,0.0001012695312499998,0.0071138671875,0.0005505859375000001,0.0074755859375,1.01
old,shorter/43/D_E,0.007550471844059406,0.0004618164062500002,0.0003240234375000001,0.0001108398437499998,0.0067292968750000005,0.00057265625,0.007053320312500001,1.01
old,shorter/43/F,0.007848081683168319,0.0022566406250000017,0.0,0.005669921874999998,0.0,0.007926562500000001,0.0,1.01
old,shorter/B_E,0.007848081683168319,0.0022566406250000017,0.0,0.005669921874999998,0.0,0.007926562500000001,0.0,1.01
refined,shorter/29/E,0.008890199566831682,0.0005154296875000004,0.0002983398437500002,0.00014296874999999979,0.00802236328125,0.0006583984375000001,0.008320703125,1.01
refined,shorter/29/D_E,0.009021503712871286,0.0005313476562500004,0.00028037109375000013,0.00016767578124999975,0.008132324218749999,0.0006990234375,0.0084126953125,1.01
refined,shorter/29/F,0.007857363861386139,0.0022531250000000017,0.0,0.005682812499999999,0.0,0.0079359375,0.0,1.01
refined,shorter/43/E,0.007936649133663367,0.0004479492187500003,0.0003638671875000001,0.0001022460937499998,0.007101953124999999,0.0005501953125000001,0.0074658203125,1.01
refined,shorter/43/D_E,0.007540416150990099,0.00046044921875000025,0.00032617187500000007,0.00011181640624999979,0.0067173828125000005,0.0005722656250000001,0.0070435546875,1.01
refined,shorter/43/F,0.007857363861386139,0.0022531250000000017,0.0,0.005682812499999999,0.0,0.0079359375,0.0,1.01
refined,shorter/B_E,0.007857363861386139,0.0022531250000000017,0.0,0.005682812499999999,0.0,0.0079359375,0.0,1.01
spatial,shorter/29/E,0.00892423422029703,0.0004917968750000003,0.0003034179687500002,0.0001296874999999998,0.00808857421875,0.0006214843750000001,0.008391992187499999,1.01
spatial,shorter/29/D_E,0.009042001856435646,0.0005049804687500002,0.0002827148437500001,0.00015029296874999976,0.00819443359375,0.0006552734375,0.0084771484375,1.01
spatial,shorter/29/F,0.007750232054455445,0.0022244140625000018,0.0,0.005603320312499998,0.0,0.007827734375,0.0,1.01
spatial,shorter/43/E,0.008008199257425741,0.0004332031250000002,0.00037783203125000013,9.90234374999998e-05,0.00717822265625,0.0005322265624999999,0.007556054687500001,1.01
spatial,shorter/43/D_E,0.007611579517326733,0.00044472656250000013,0.0003391601562500001,0.0001093749999999998,0.0067944335937500005,0.0005541015624999999,0.00713359375,1.01
spatial,shorter/43/F,0.007750232054455445,0.0022244140625000018,0.0,0.005603320312499998,0.0,0.007827734375,0.0,1.01
spatial,shorter/B_E,0.007750232054455445,0.0022244140625000018,0.0,0.005603320312499998,0.0,0.007827734375,0.0,1.01
