model,residual,start,end,sample_mass,weighted_square_contribution,conditional_mean_square,fraction_of_residual_square
parent29,rphi,0.0,0.35,0.14,0.0019958774078043776,0.014256267198602696,0.28491450977582355
parent29,rphi,0.35,1.01,0.264,0.0030123281772827413,0.011410334004858868,0.4300143899411947
parent29,rphi,1.01,1.36,0.14,0.001754148552945303,0.012529632521037877,0.2504073512141115
parent29,rphi,1.36,2.5,0.45600000000000007,0.00024282579953823275,0.0005325127182855981,0.03466374906887017
old_E29,rphi,0.0,0.35,0.14,0.00017651711580679818,0.0012608365414771298,0.0019883787022539124
old_E29,rphi,0.35,1.01,0.264,0.0012814178717498188,0.004853855574809919,0.014434543603486335
old_E29,rphi,1.01,1.36,0.14,0.008017592680303815,0.05726851914502725,0.09031424774871037
old_E29,rphi,1.36,2.5,0.45600000000000007,0.07929886707229065,0.17390102428133913,0.8932628299455494
old_D_E29,rphi,0.0,0.35,0.14,0.00022251862686437855,0.0015894187633169895,0.0022193662887922483
old_D_E29,rphi,0.35,1.01,0.264,0.0011944986564492493,0.004524616122913823,0.011913744424402082
old_D_E29,rphi,1.01,1.36,0.14,0.009603366428083748,0.06859547448631248,0.0957824880089632
old_D_E29,rphi,1.36,2.5,0.45600000000000007,0.08924185239991637,0.19570581666648323,0.8900844012778424
parent29,rpsi,0.0,0.35,0.14,0.43717480726241775,3.1226771947315553,0.021363982148964244
parent29,rpsi,0.35,1.01,0.264,0.32812387180483504,1.2428934538061933,0.016034850186780542
parent29,rpsi,1.01,1.36,0.14,2.0225048185727728,14.446462989805518,0.09883633759858096
parent29,rpsi,1.36,2.5,0.45600000000000007,17.675366908239226,38.76176953561233,0.8637648300656742
old_E29,rpsi,0.0,0.35,0.14,0.36044919694001315,2.5746371210000936,0.015147800998436253
old_E29,rpsi,0.35,1.01,0.264,0.24032750453621937,0.9103314565765885,0.010099712370204801
old_E29,rpsi,1.01,1.36,0.14,5.17018213951668,36.929872425119136,0.21727580707608496
old_E29,rpsi,1.36,2.5,0.45600000000000007,18.024521240718173,39.527458861224055,0.7574766795552741
old_D_E29,rpsi,0.0,0.35,0.14,0.3459223934369462,2.4708742388353295,0.015070579033461855
old_D_E29,rpsi,0.35,1.01,0.264,0.2447116951685946,0.9269382392749794,0.010661197460530868
old_D_E29,rpsi,1.01,1.36,0.14,4.673572649862027,33.38266178472876,0.20361054191540756
old_D_E29,rpsi,1.36,2.5,0.45600000000000007,17.689283812152937,38.79228906173889,0.7706576815905998
parent29,rzeta,0.0,0.35,0.14,0.4371741830276926,3.12267273591209,0.04579649379651285
parent29,rzeta,0.35,1.01,0.264,0.32810172285961364,1.2428095562864152,0.034370530326155294
parent29,rzeta,1.01,1.36,0.14,2.0199323974020182,14.428088552871557,0.2115994610348185
parent29,rzeta,1.36,2.5,0.45600000000000007,6.760810327966263,14.826338438522505,0.7082335148425133
old_E29,rzeta,0.0,0.35,0.14,0.36044805178567285,2.5746289413262344,0.025424227693663207
old_E29,rzeta,0.35,1.01,0.264,0.24028447102939632,0.9101684508689254,0.016948481403737236
old_E29,rzeta,1.01,1.36,0.14,5.164451638465076,36.88894027475054,0.36427494535973276
old_E29,rzeta,1.36,2.5,0.45600000000000007,8.412161012335956,18.447721518280602,0.5933523455428669
old_D_E29,rzeta,0.0,0.35,0.14,0.3459213291851143,2.4708666370365306,0.025805726152526676
old_D_E29,rzeta,0.35,1.01,0.264,0.24467139582140235,0.9267855902325847,0.0182524825884465
old_D_E29,rzeta,1.01,1.36,0.14,4.668384356175718,33.34560254411227,0.34826140542996686
old_D_E29,rzeta,1.36,2.5,0.45600000000000007,8.145851255773696,17.86370889424056,0.60768038582906
