comparison,component,difference
Coarse–medium,PHASE_FIELD_ROI_RMS,0.1152960304912704
Coarse–medium,TEMPERATURE_FIELD_ROI_RMS,0.0130287653584634
Coarse–medium,CURRENT_TRACE_RMS,0.01215757720605362
Coarse–medium,EVENT_TIME,0.004030508652763309
Coarse–medium,PHASE_REGION_SYMMETRIC_DIFFERENCE,0.011318407960199
Coarse–medium,RECOVERY,0.04467247985355854
Medium–fine,PHASE_FIELD_ROI_RMS,0.04408964531898038
Medium–fine,TEMPERATURE_FIELD_ROI_RMS,0.00427421508951941
Medium–fine,CURRENT_TRACE_RMS,0.003844966812482553
Medium–fine,EVENT_TIME,0.00149081679700165
Medium–fine,PHASE_REGION_SYMMETRIC_DIFFERENCE,0.00381857855361596
Medium–fine,RECOVERY,0.01822783750769874
Medium–half-dt,PHASE_FIELD_ROI_RMS,0.02424065270554774
Medium–half-dt,TEMPERATURE_FIELD_ROI_RMS,0.003186475894980421
Medium–half-dt,CURRENT_TRACE_RMS,0.00267206765168098
Medium–half-dt,EVENT_TIME,0.001178511301977587
Medium–half-dt,PHASE_REGION_SYMMETRIC_DIFFERENCE,0.001982543640897756
Medium–half-dt,RECOVERY,0.008583334221694189
Fine replay,PHASE_FIELD_ROI_RMS,0
Fine replay,TEMPERATURE_FIELD_ROI_RMS,0
Fine replay,CURRENT_TRACE_RMS,0
Fine replay,EVENT_TIME,0
Fine replay,PHASE_REGION_SYMMETRIC_DIFFERENCE,0
Fine replay,RECOVERY,0
