control,cycle,roi_peak,event_time
nominal,1,0.07024793388429754,0.2378
nominal,2,0.06611570247933886,1.4942000000000002
zero drive,1,0.0,
zero drive,2,0.0,
Joule off,1,0.0,
Joule off,2,0.0,
conductivity ratio 1,1,0.09090909090909093,0.2328
conductivity ratio 1,2,0.09090909090909093,1.4771
latent off,1,0.07644628099173556,0.23420000000000002
latent off,2,0.07024793388429754,1.4892
wide heater,1,0.02272727272727273,0.3092
wide heater,2,0.002066115702479338,
narrow interface,1,0.057851239669421496,0.24113333333333334
narrow interface,2,0.05578512396694216,1.4784
